ATHLETE NAME	,SPORT,GENDER,AGE,TEAM
KyleChalmers,Aquatics - Swimming and Para Swimming,Male,24,Australia
BlakeCochrane,Aquatics - Swimming and Para Swimming,Male,31,Australia
EllieCole,Aquatics - Swimming and Para Swimming,Female,30,Australia
AbbeyConnor,Aquatics - Swimming and Para Swimming,Female,17,Australia
IsaacCooper,Aquatics - Swimming and Para Swimming,Male,18,Australia
KatjaDedekind,Aquatics - Swimming and Para Swimming,Female,20,Australia
ElizabethDekkers,Aquatics - Swimming and Para Swimming,Female,18,Australia
JoshuaEdwards-Smith,Aquatics - Swimming and Para Swimming,Male,19,Australia
JennaForrester,Aquatics - Swimming and Para Swimming,Female,19,Australia
BowenGough,Aquatics - Swimming and Para Swimming,Male,24,Australia
JasmineGreenwood,Aquatics - Swimming and Para Swimming,Female,17,Australia
BrendenHall,Aquatics - Swimming and Para Swimming,Male,29,Australia
BenjaminHance,Aquatics - Swimming and Para Swimming,Male,22,Australia
AbbeyHarkin,Aquatics - Swimming and Para Swimming,Female,24,Australia
MegHarris,Aquatics - Swimming and Para Swimming,Female,20,Australia
KirraleeHayes,Aquatics - Swimming and Para Swimming,Female,18,Australia
TimothyHodge,Aquatics - Swimming and Para Swimming,Male,21,Australia
ChelseaHodges,Aquatics - Swimming and Para Swimming,Female,21,Australia
MackHorton,Aquatics - Swimming and Para Swimming,Male,26,Australia
ZacIncerti,Aquatics - Swimming and Para Swimming,Male,26,Australia
JackIreland,Aquatics - Swimming and Para Swimming,Male,22,Australia
ShaynaJack,Aquatics - Swimming and Para Swimming,Female,23,Australia
BraedanJason,Aquatics - Swimming and Para Swimming,Male,24,Australia
BronteJob,Aquatics - Swimming and Para Swimming,Female,19,Australia
EllaJones,Aquatics - Swimming and Para Swimming,Female,21,Australia
JennaJones,Aquatics - Swimming and Para Swimming,Female,21,Australia
MitchellLarkin,Aquatics - Swimming and Para Swimming,Male,29,Australia
Se-BomLee,Aquatics - Swimming and Para Swimming,Male,21,Australia
MatthewLevy,Aquatics - Swimming and Para Swimming,Male,35,Australia
JadeLucy,Aquatics - Swimming and Para Swimming,Female,25,Australia
WilliamMartin,Aquatics - Swimming and Para Swimming,Male,21,Australia
AshleighMcConnell,Aquatics - Swimming and Para Swimming,Female,26,Australia
EmmaMcKeon,Aquatics - Swimming and Para Swimming,Female,28,Australia
KayleeMcKeown,Aquatics - Swimming and Para Swimming,Female,21,Australia
TaylorMcKeown,Aquatics - Swimming and Para Swimming,Female,27,Australia
MadeleineMcTernan,Aquatics - Swimming and Para Swimming,Female,21,Australia
KiahMelverton,Aquatics - Swimming and Para Swimming,Female,25,Australia
JoelMundie,Aquatics - Swimming and Para Swimming,Male,17,Australia
TomNowakowski,Aquatics - Swimming and Para Swimming,Male,21,Australia
MollieO'Callaghan,Aquatics - Swimming and Para Swimming,Female,18,Australia
LaniPallister,Aquatics - Swimming and Para Swimming,Female,20,Australia
LakeishaPatterson,Aquatics - Swimming and Para Swimming,Female,23,Australia
ColPearse,Aquatics - Swimming and Para Swimming,Male,19,Australia
AlexPerkins,Aquatics - Swimming and Para Swimming,Female,22,Australia
KierenPollard,Aquatics - Swimming and Para Swimming,Male,23,Australia
EllaRamsay,Aquatics - Swimming and Para Swimming,Female,18,Australia
Alex AnthonySaffy,Aquatics - Swimming and Para Swimming,Male,16,Australia
LiamSchluter,Aquatics - Swimming and Para Swimming,Male,23,Australia
SamShort,Aquatics - Swimming and Para Swimming,Male,18,Australia
CodySimpson,Aquatics - Swimming and Para Swimming,Male,25,Australia
BrendonSmith,Aquatics - Swimming and Para Swimming,Male,22,Australia
FlynnSoutham,Aquatics - Swimming and Para Swimming,Male,17,Australia
KeiraStephens,Aquatics - Swimming and Para Swimming,Female,19,Australia
RubyStorm,Aquatics - Swimming and Para Swimming,Female,18,Australia
JennaStrauch,Aquatics - Swimming and Para Swimming,Female,25,Australia
ZacStubblety-Cook,Aquatics - Swimming and Para Swimming,Male,23,Australia
OscarStubbs,Aquatics - Swimming and Para Swimming,Male,21,Australia
MatthewTemple,Aquatics - Swimming and Para Swimming,Male,23,Australia
JacobTempleton,Aquatics - Swimming and Para Swimming,Male,27,Australia
BriannaThrossell,Aquatics - Swimming and Para Swimming,Female,26,Australia
AriarneTitmus,Aquatics - Swimming and Para Swimming,Female,21,Australia
HarrisonVig,Aquatics - Swimming and Para Swimming,Male,19,Australia
IsabellaVincent,Aquatics - Swimming and Para Swimming,Female,16,Australia
SamWilliamson,Aquatics - Swimming and Para Swimming,Male,24,Australia
MadisonWilson,Aquatics - Swimming and Para Swimming,Female,28,Australia
MatthewWilson,Aquatics - Swimming and Para Swimming,Male,23,Australia
ElijahWinnington,Aquatics - Swimming and Para Swimming,Male,22,Australia
BradleyWoodward,Aquatics - Swimming and Para Swimming,Male,24,Australia
William XuYang,Aquatics - Swimming and Para Swimming,Male,23,Australia
JoshuaYong,Aquatics - Swimming and Para Swimming,Male,21,Australia
Mst MoriumAkter,Aquatics - Swimming and Para Swimming,Female,24,Bangladesh
Mst SoniaKhatun,Aquatics - Swimming and Para Swimming,Female,22,Bangladesh
Md Mahamudun NobiNahid,Aquatics - Swimming and Para Swimming,Male,25,Bangladesh
SukumarRajbonashi,Aquatics - Swimming and Para Swimming,Male,28,Bangladesh
Md AsifReza,Aquatics - Swimming and Para Swimming,Male,25,Bangladesh
JackKirby,Aquatics - Swimming and Para Swimming,Male,22,Barbados
AdaraStoddard,Aquatics - Swimming and Para Swimming,Female,16,Barbados
DanielleTitus,Aquatics - Swimming and Para Swimming,Female,19,Barbados
DanielleTreasure,Aquatics - Swimming and Para Swimming,Female,18,Barbados
Luis SebastianWeekes,Aquatics - Swimming and Para Swimming,Male,22,Barbados
EmmaHarvey,Aquatics - Swimming and Para Swimming,Female,21,Bermuda
JackHarvey,Aquatics - Swimming and Para Swimming,Male,19,Bermuda
MaddyMoore,Aquatics - Swimming and Para Swimming,Female,22,Bermuda
MaxineEgner,Aquatics - Swimming and Para Swimming,Female,18,Botswana
JamesFreeman,Aquatics - Swimming and Para Swimming,Male,21,Botswana
AdrianRobinson,Aquatics - Swimming and Para Swimming,Male,22,Botswana
NorahMilanesi,Aquatics - Swimming and Para Swimming,Female,19,Cameroon
CharlyNdjoume,Aquatics - Swimming and Para Swimming,Male,35,Cameroon
JavierAcevedo,Aquatics - Swimming and Para Swimming,Male,24,Canada
SophieAngus,Aquatics - Swimming and Para Swimming,Female,23,Canada
JeremyBagshaw,Aquatics - Swimming and Para Swimming,Male,30,Canada
KatrinaBellio,Aquatics - Swimming and Para Swimming,Female,18,Canada
NicholasBennett,Aquatics - Swimming and Para Swimming,Male,18,Canada
CamilleBerube,Aquatics - Swimming and Para Swimming,Female,27,Canada
Eric GeorgesBrown,Aquatics - Swimming and Para Swimming,Male,19,Canada
StephenCalkins,Aquatics - Swimming and Para Swimming,Male,23,Canada
TessaCieplucha,Aquatics - Swimming and Para Swimming,Female,23,Canada
JamesDergousoff,Aquatics - Swimming and Para Swimming,Male,25,Canada
AlexanderElliot,Aquatics - Swimming and Para Swimming,Male,26,Canada
CollynGagne,Aquatics - Swimming and Para Swimming,Male,21,Canada
RuslanGaziev,Aquatics - Swimming and Para Swimming,Male,22,Canada
Mary-SophieHarvey,Aquatics - Swimming and Para Swimming,Female,22,Canada
PatrickHussey,Aquatics - Swimming and Para Swimming,Male,21,Canada
EllaJansen,Aquatics - Swimming and Para Swimming,Female,16,Canada
DanielleKisser,Aquatics - Swimming and Para Swimming,Female,25,Canada
FinlayKnox,Aquatics - Swimming and Para Swimming,Male,21,Canada
JoshuaLiendo Edwards,Aquatics - Swimming and Para Swimming,Male,19,Canada
MargaretMacneil,Aquatics - Swimming and Para Swimming,Female,22,Canada
KylieMasse,Aquatics - Swimming and Para Swimming,Female,26,Canada
SummerMcIntosh,Aquatics - Swimming and Para Swimming,Female,15,Canada
AurelieRivard,Aquatics - Swimming and Para Swimming,Female,26,Canada
KatarinaRoxon,Aquatics - Swimming and Para Swimming,Female,29,Canada
KaterineSavard,Aquatics - Swimming and Para Swimming,Female,29,Canada
RebeccaSmith,Aquatics - Swimming and Para Swimming,Female,22,Canada
Nicolas GuyTurbide,Aquatics - Swimming and Para Swimming,Male,25,Canada
MabelZavaros,Aquatics - Swimming and Para Swimming,Female,22,Canada
James RichardAllison,Aquatics - Swimming and Para Swimming,Male,16,Cayman Islands
Harper JeanBarrowman,Aquatics - Swimming and Para Swimming,Female,16,Cayman Islands
SierrahBroadbelt,Aquatics - Swimming and Para Swimming,Female,13,Cayman Islands
RayaEmbury-Brown,Aquatics - Swimming and Para Swimming,Female,17,Cayman Islands
Kyra StephanieRabess,Aquatics - Swimming and Para Swimming,Female,17,Cayman Islands
BedeAitu,Aquatics - Swimming and Para Swimming,Male,20,Cook Islands
LaniheiConnolly,Aquatics - Swimming and Para Swimming,Female,16,Cook Islands
Kirsten AndreaFisher-Marsters,Aquatics - Swimming and Para Swimming,Female,24,Cook Islands
Wesley TikiarikiRoberts,Aquatics - Swimming and Para Swimming,Male,25,Cook Islands
NikolasAntoniou,Aquatics - Swimming and Para Swimming,Male,18,Cyprus
AnnaHadjiloizou,Aquatics - Swimming and Para Swimming,Female,17,Cyprus
FilipposIakovidis,Aquatics - Swimming and Para Swimming,Male,24,Cyprus
MarkosIakovidis,Aquatics - Swimming and Para Swimming,Male,21,Cyprus
ChristosManoli,Aquatics - Swimming and Para Swimming,Male,20,Cyprus
SofoklisMougis,Aquatics - Swimming and Para Swimming,Male,19,Cyprus
PanayiotisPanaretos,Aquatics - Swimming and Para Swimming,Male,20,Cyprus
WarrenLawrence,Aquatics - Swimming and Para Swimming,Male,19,Dominica
FreyaAnderson,Aquatics - Swimming and Para Swimming,Female,21,England
Jessica-JaneApplegate,Aquatics - Swimming and Para Swimming,Female,25,England
AdamBarrett,Aquatics - Swimming and Para Swimming,Male,30,England
Lewis EdwardBurras,Aquatics - Swimming and Para Swimming,Male,22,England
GregButler,Aquatics - Swimming and Para Swimming,Male,21,England
JordanCatchpole,Aquatics - Swimming and Para Swimming,Male,22,England
Imogen LouiseClark,Aquatics - Swimming and Para Swimming,Female,23,England
FreyaColbert,Aquatics - Swimming and Para Swimming,Female,18,England
LaurenCox,Aquatics - Swimming and Para Swimming,Female,20,England
TomDean,Aquatics - Swimming and Para Swimming,Male,22,England
ReeceDunn,Aquatics - Swimming and Para Swimming,Male,26,England
LouiseFiddes,Aquatics - Swimming and Para Swimming,Female,21,England
LukeGreenbank,Aquatics - Swimming and Para Swimming,Male,24,England
JamesGuy,Aquatics - Swimming and Para Swimming,Male,26,England
ThomasHamer,Aquatics - Swimming and Para Swimming,Male,23,England
GraceHarvey,Aquatics - Swimming and Para Swimming,Female,23,England
HollyHibbott,Aquatics - Swimming and Para Swimming,Female,22,England
IsabellaHindley,Aquatics - Swimming and Para Swimming,Female,25,England
JamesHollis,Aquatics - Swimming and Para Swimming,Male,28,England
AnnaHopkin,Aquatics - Swimming and Para Swimming,Female,26,England
JamieIngram,Aquatics - Swimming and Para Swimming,Male,24,England
MichaelJones,Aquatics - Swimming and Para Swimming,Male,28,England
CameronKurle,Aquatics - Swimming and Para Swimming,Male,25,England
JayLelliott,Aquatics - Swimming and Para Swimming,Male,27,England
JoeLitchfield,Aquatics - Swimming and Para Swimming,Male,24,England
PoppyMaskill,Aquatics - Swimming and Para Swimming,Female,17,England
James DavidMcFadzen,Aquatics - Swimming and Para Swimming,Male,23,England
EdwardMildred,Aquatics - Swimming and Para Swimming,Male,19,England
AdamPeaty,Aquatics - Swimming and Para Swimming,Male,27,England
WilliamPerry,Aquatics - Swimming and Para Swimming,Male,21,England
Jacob Thomas TaylorPeters,Aquatics - Swimming and Para Swimming,Male,21,England
BenjaminProud,Aquatics - Swimming and Para Swimming,Male,27,England
RebeccaRedfern,Aquatics - Swimming and Para Swimming,Female,22,England
MollyRenshaw,Aquatics - Swimming and Para Swimming,Female,26,England
TobyRobinson,Aquatics - Swimming and Para Swimming,Male,25,England
HannahRussell,Aquatics - Swimming and Para Swimming,Female,25,England
LauraStephens,Aquatics - Swimming and Para Swimming,Female,23,England
MaisieSummers-Newton,Aquatics - Swimming and Para Swimming,Female,20,England
AliceTai,Aquatics - Swimming and Para Swimming,Female,23,England
Luke ThomasTurley,Aquatics - Swimming and Para Swimming,Male,22,England
Tamrynvan Selm,Aquatics - Swimming and Para Swimming,Female,18,England
SarahVasey,Aquatics - Swimming and Para Swimming,Female,25,England
JacobWhittle,Aquatics - Swimming and Para Swimming,Male,17,England
JamesWilby,Aquatics - Swimming and Para Swimming,Male,28,England
MasonWilby,Aquatics - Swimming and Para Swimming,Male,22,England
Brodie PaulWilliams,Aquatics - Swimming and Para Swimming,Male,23,England
AliciaWilson,Aquatics - Swimming and Para Swimming,Female,22,England
AbbieWood,Aquatics - Swimming and Para Swimming,Female,23,England
SimangaDlamini,Aquatics - Swimming and Para Swimming,Male,24,Eswatini
HayleyHoy,Aquatics - Swimming and Para Swimming,Female,14,Eswatini
HanselMcCaig,Aquatics - Swimming and Para Swimming,Male,19,Fiji
KeleraMudunasoko,Aquatics - Swimming and Para Swimming,Female,15,Fiji
Epeli Herbert JordanRabua,Aquatics - Swimming and Para Swimming,Male,23,Fiji
CheyenneRova,Aquatics - Swimming and Para Swimming,Female,27,Fiji
RosemarieRova,Aquatics - Swimming and Para Swimming,Female,19,Fiji
TaichiVakasama,Aquatics - Swimming and Para Swimming,Male,22,Fiji
TemafaYalimaiwai,Aquatics - Swimming and Para Swimming,Male,20,Fiji
DavidYoung,Aquatics - Swimming and Para Swimming,Male,17,Fiji
NubiaAdjei,Aquatics - Swimming and Para Swimming,Female,19,Ghana
ZairaForson,Aquatics - Swimming and Para Swimming,Female,17,Ghana
AbekuJackson,Aquatics - Swimming and Para Swimming,Male,22,Ghana
KowJackson,Aquatics - Swimming and Para Swimming,Male,18,Ghana
UnilezTakyi,Aquatics - Swimming and Para Swimming,Female,17,Ghana
JohnpaulBalloqui,Aquatics - Swimming and Para Swimming,Male,22,Gibraltar
AidanCarroll,Aquatics - Swimming and Para Swimming,Male,22,Gibraltar
JordanGonzalez,Aquatics - Swimming and Para Swimming,Male,26,Gibraltar
AsiaKent,Aquatics - Swimming and Para Swimming,Female,15,Gibraltar
Matt DylanSavitz,Aquatics - Swimming and Para Swimming,Male,23,Gibraltar
TillyCollymore,Aquatics - Swimming and Para Swimming,Female,14,Grenada
ZackaryGresham,Aquatics - Swimming and Para Swimming,Male,17,Grenada
JonathanBeck,Aquatics - Swimming and Para Swimming,Male,24,Guernsey
Charlie-JoeHallett,Aquatics - Swimming and Para Swimming,Male,20,Guernsey
RonnyHallett,Aquatics - Swimming and Para Swimming,Male,18,Guernsey
Laurale Cras,Aquatics - Swimming and Para Swimming,Female,19,Guernsey
SamuelLowe,Aquatics - Swimming and Para Swimming,Male,18,Guernsey
OrlaRabey,Aquatics - Swimming and Para Swimming,Female,20,Guernsey
MollyStaples,Aquatics - Swimming and Para Swimming,Female,17,Guernsey
TatianaTostevin,Aquatics - Swimming and Para Swimming,Female,19,Guernsey
Patrice RuthMahaica,Aquatics - Swimming and Para Swimming,Female,16,Guyana
PaulMahaica,Aquatics - Swimming and Para Swimming,Male,16,Guyana
Aleka KylelaPersaud,Aquatics - Swimming and Para Swimming,Female,16,Guyana
SekhelTzedeq,Aquatics - Swimming and Para Swimming,Male,18,Guyana
