,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
174,Chicago,81.77,13.65,63.7,7.28,5.46,6.37,3.91,1.8,0.72,2.77,4.14,2.11,10.87,9.49,12.03,4.62,1.46,4.4,3.77,3.16,2.78,1.5,2.2,12.74,1.77,1.82,12.97,2.28,95.55,2.96,1.27,21.84,0.77,20930.0,19844.31,124.43,0.2,62.17,47.3,21.5,13.2,1158.99,16985.69,44.55,36.55,75.57,99.11,1707.98,1155.58,3192.88,1958.47,3864.72,1924.93,3859.74
175,Knoxville,70.86,11.83,40.95,7.28,3.18,4.1,3.73,1.1,0.7,2.51,3.25,1.67,10.28,6.97,12.7,6.52,1.4,5.85,5.21,3.95,3.34,1.82,2.12,11.83,2.58,3.49,4.78,1.53,40.95,2.28,1.13,13.65,0.56,20020.0,17345.28,128.26,0.16,55.72,24.84,6.82,10.92,485.33,12285.0,37.59,36.4,67.42,75.08,910.0,739.38,1471.17,1228.5,2017.8,904.59,2633.26
176,Charleston,81.81,14.1,56.42,6.37,4.55,7.28,4.4,2.21,0.84,2.66,4.29,2.0,12.04,11.54,12.44,5.14,1.73,7.35,4.65,3.74,3.12,2.38,1.36,13.65,1.66,1.8,6.82,1.82,27.3,5.46,2.83,41.35,0.55,27300.0,23212.96,184.13,0.09,56.7,31.92,11.38,10.01,932.75,12588.33,47.11,33.77,76.21,120.27,1574.02,1221.32,2555.0,1680.47,4492.1,2304.22,3609.5
177,Memphis,62.12,12.28,36.4,6.37,4.55,5.57,4.4,1.71,0.9,2.31,4.46,2.47,10.43,5.26,7.34,3.34,1.39,2.2,2.0,1.57,1.8,1.14,1.82,11.83,1.8,2.73,4.78,1.59,45.5,1.82,1.69,24.57,0.55,25429.04,19430.47,128.94,0.03,63.98,34.41,22.75,10.92,819.0,10175.62,44.59,27.76,68.53,98.44,874.76,709.95,1183.35,828.65,915.84,421.74,2844.39
178,Roanoke,0.0,10.92,50.05,6.37,4.55,3.64,3.94,1.62,0.61,2.0,2.0,1.7,6.89,5.68,8.03,4.84,1.0,4.01,2.94,1.2,2.0,0.77,0.91,13.65,2.23,2.28,6.82,1.59,57.78,2.5,1.18,27.3,0.56,20702.5,19489.17,142.43,0.09,56.15,30.03,15.17,10.92,667.33,5915.0,41.68,35.94,66.43,73.94,861.92,534.62,1394.58,980.07,1367.96,909.42,2446.34
179,Tampa,75.0,13.15,48.22,7.28,3.64,5.46,3.34,1.66,0.88,2.52,4.73,2.28,10.91,12.09,13.77,5.75,1.55,3.7,6.02,3.73,2.69,1.66,2.03,8.18,1.71,1.87,5.81,1.82,59.15,2.28,1.38,18.2,0.6,20020.0,18817.09,144.58,0.07,52.29,25.84,17.8,11.38,787.3,12054.77,36.95,29.16,65.77,82.96,1305.28,920.93,2073.95,1507.1,2660.94,1302.73,3420.69
180,Modesto,0.0,13.65,63.7,7.28,4.55,5.0,3.24,1.7,0.96,3.06,5.35,2.71,9.35,9.02,10.69,4.7,1.58,6.01,5.0,3.01,2.0,2.0,2.07,11.38,2.24,3.18,6.0,1.82,31.85,3.64,1.41,29.49,0.81,17289.55,20702.27,194.2,0.32,63.7,30.03,0.0,9.1,500.5,9100.0,42.47,27.3,69.01,70.98,954.59,845.39,1697.15,1621.32,6063.2,8369.96,3115.84
181,Sarasota,79.08,13.65,50.05,6.37,3.87,5.46,4.37,2.15,0.74,2.06,6.35,2.64,17.05,13.54,14.44,5.39,1.72,4.01,4.26,4.26,3.69,2.17,2.05,13.65,1.88,3.03,7.28,1.36,45.5,3.95,1.41,14.36,0.58,19630.98,17779.12,130.11,0.09,56.19,30.1,14.33,10.01,1107.17,15879.5,41.28,31.29,68.76,86.55,1435.39,1094.68,2369.79,1713.83,3205.47,1451.2,2456.94
182,Riverside,68.78,10.92,51.87,6.36,5.46,7.28,3.79,2.1,0.76,2.55,3.07,1.94,9.35,10.69,10.36,2.67,1.57,2.0,3.34,3.74,1.65,1.14,2.12,11.15,2.61,2.73,8.19,1.82,50.05,2.37,1.47,32.76,0.81,16380.0,19716.67,158.46,0.12,54.37,37.92,13.65,11.38,758.33,8190.0,43.57,33.52,77.91,92.52,1362.65,1296.39,1808.62,1766.92,2794.42,2349.75,3216.24
183,Bellevue,86.42,13.65,63.7,8.19,4.55,7.28,3.61,1.65,0.87,2.88,5.51,3.07,12.53,11.83,14.71,4.0,1.67,4.67,5.11,2.25,2.7,2.3,1.67,13.65,3.9,4.32,8.33,2.5,90.09,4.55,2.83,27.3,0.81,19878.95,19919.9,164.22,0.23,53.8,41.6,27.3,13.54,1446.8,21536.67,44.03,30.03,69.62,104.24,1936.32,1568.0,3283.58,2341.5,6029.36,4091.26,6142.48
