,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
0,Turin,65.63,15.0,60.0,8.0,4.0,4.0,1.41,1.98,1.1,1.56,1.75,2.8,12.37,9.04,14.47,1.58,1.49,1.54,1.82,0.92,0.96,1.02,0.33,6.0,1.25,1.72,5.6,1.7,38.0,5.0,1.5,25.25,1.59,21000.0,25656.25,157.64,0.2,28.62,39.3,20.86,8.0,494.17,34875.0,74.63,31.92,76.41,120.91,568.75,420.31,1107.24,765.17,3435.42,1976.0,1413.44
1,Milan,75.78,15.0,60.0,8.0,5.0,5.0,1.51,2.54,1.23,2.01,2.41,3.11,14.31,9.94,18.4,2.06,2.0,2.28,2.58,1.33,1.36,1.28,0.39,7.0,1.46,2.24,5.7,2.0,39.0,6.0,1.4,30.0,1.6,23800.0,25113.89,178.6,0.2,29.4,63.3,25.79,10.0,633.33,12290.91,86.12,35.83,90.99,138.49,1167.0,748.08,2507.87,1514.29,8549.13,3786.26,1651.84
2,Chemnitz,0.0,8.5,40.0,7.75,3.0,3.75,3.0,2.08,0.68,1.27,2.06,1.74,8.63,6.67,9.0,2.22,1.49,1.73,2.08,1.28,1.27,0.79,0.34,4.99,0.79,1.21,6.0,2.3,55.8,3.5,2.0,24.0,1.39,26250.0,23250.0,165.91,0.1,30.43,24.2,18.0,15.0,195.0,3000.0,52.5,24.0,68.75,88.75,385.0,332.0,850.0,675.0,3000.0,1516.67,1962.5
3,Dublin,77.85,15.0,62.5,8.5,5.75,6.0,3.29,1.86,0.97,1.46,1.63,2.94,9.65,8.63,8.94,2.17,1.96,2.33,2.6,1.82,1.23,1.02,1.55,12.0,2.6,2.95,13.5,3.0,130.0,4.0,1.5,30.0,1.44,25000.0,25873.27,155.11,0.29,53.66,42.22,17.58,12.0,1080.62,9076.54,80.68,34.7,83.3,97.38,1709.85,1434.79,3035.56,2372.22,5587.01,4026.59,2490.81
4,Bonn,66.01,9.5,55.0,7.5,3.5,3.5,2.61,2.06,0.74,1.15,2.26,1.78,8.27,8.44,11.11,2.57,1.45,2.07,2.4,1.0,1.49,0.84,0.39,4.99,0.81,1.26,6.4,3.0,95.0,3.5,1.9,37.2,1.43,24505.0,23822.5,227.78,0.1,32.31,35.29,18.25,12.0,545.0,14333.33,87.44,35.5,72.88,100.43,784.62,586.15,1507.69,1138.46,7433.33,4933.33,2431.83
5,Modena,69.59,15.0,50.0,8.0,5.0,5.0,1.55,2.57,1.17,2.17,2.1,3.03,13.25,11.75,15.25,2.37,1.77,2.23,2.17,1.67,1.87,1.57,0.29,4.0,1.55,1.88,5.5,1.5,31.0,4.5,1.1,28.0,1.56,25818.35,19677.9,150.37,0.03,30.38,56.43,19.67,8.5,480.0,14500.0,81.0,31.23,93.75,95.0,612.5,500.0,1033.33,783.33,2950.0,1533.33,1461.11
6,Lille,68.83,12.75,40.0,8.0,5.0,4.5,2.88,2.45,1.14,1.37,1.68,2.73,13.62,11.62,13.72,2.48,2.42,2.3,2.23,1.45,1.62,1.34,0.34,5.5,2.22,2.58,10.0,1.65,58.0,8.0,1.9,28.2,1.49,24000.0,22500.0,112.6,0.05,27.67,25.67,30.0,11.0,539.58,5000.0,81.75,30.89,68.89,90.83,621.15,473.33,1350.0,907.78,3025.0,2375.0,1860.25
7,Helsinki,71.82,13.0,70.0,8.0,6.25,7.0,4.08,2.73,1.0,2.35,2.12,2.18,6.78,9.87,11.93,2.2,1.63,1.93,2.82,0.99,1.27,2.21,1.53,14.0,2.46,3.15,8.0,2.8,59.7,6.0,1.0,47.4,1.55,24000.0,25073.09,84.06,0.07,23.04,38.92,25.88,15.0,343.91,3022.42,87.36,36.4,89.31,126.08,1003.25,778.67,1901.14,1343.26,7631.85,4562.01,2481.31
8,Freiburg,64.59,10.0,55.0,7.49,3.5,3.1,2.49,2.24,0.72,1.47,2.16,1.8,9.83,8.33,11.33,2.54,1.57,1.97,2.49,1.0,1.38,0.75,0.42,4.99,0.81,1.18,6.4,2.4,60.0,4.0,2.8,36.1,1.47,18000.0,28840.0,223.36,0.1,33.33,36.83,16.67,10.25,319.75,4300.0,78.17,32.25,75.6,128.0,875.5,606.25,1925.0,1327.78,7700.0,5600.0,2450.0
9,Strasbourg,73.3,12.0,60.0,8.25,5.0,4.75,2.62,2.53,0.94,1.15,1.78,2.52,15.33,8.1,15.87,2.58,1.82,2.17,3.29,1.88,2.0,1.2,0.54,6.5,1.88,2.18,9.3,1.8,51.0,4.0,0.75,24.0,1.45,22500.0,27500.0,228.27,0.24,31.55,34.67,19.0,10.0,1000.0,24000.0,79.38,48.33,80.71,96.25,625.62,452.5,1272.5,907.14,4875.0,3079.5,2045.24
10,Hamburg,68.5,12.0,50.0,8.0,4.0,3.75,3.07,2.55,0.83,1.53,2.18,2.24,8.57,8.14,10.93,2.21,1.64,2.47,2.59,1.54,1.51,1.03,0.54,5.0,0.85,1.24,6.4,3.3,90.0,3.5,2.0,30.0,1.42,20000.0,20885.0,235.58,0.11,30.75,41.81,21.5,12.0,290.0,14731.25,77.16,33.81,89.24,120.5,876.84,655.56,1769.64,1300.0,6402.94,3908.82,2428.21
11,Frankfurt,68.29,10.0,55.0,8.0,4.0,4.0,2.82,2.45,0.75,1.19,2.03,2.07,8.59,8.07,10.0,2.28,1.58,1.84,2.33,1.49,1.45,1.0,0.56,5.0,0.88,1.22,6.4,2.75,90.65,3.5,2.0,33.0,1.45,25000.0,21172.5,276.05,0.1,31.77,46.86,21.25,12.0,441.22,12080.0,73.69,36.28,87.49,103.17,1049.68,819.38,1996.79,1484.0,6652.38,4363.16,2789.77
12,Tartu,48.92,6.0,40.0,6.0,3.5,4.0,2.67,1.7,0.78,0.8,1.38,1.51,7.9,5.33,8.5,1.08,1.05,1.45,2.38,0.44,0.34,1.35,0.68,8.0,1.27,1.87,4.5,1.5,15.34,2.8,0.65,13.2,1.37,19685.0,18865.0,175.72,0.02,25.12,35.91,27.17,7.0,204.0,10600.0,67.92,29.2,72.81,88.0,377.89,287.78,670.0,451.54,2068.81,1392.05,1032.52
13,Munich,71.85,13.0,62.5,8.0,3.9,4.0,3.06,2.87,0.92,1.69,1.85,2.59,11.83,7.53,12.55,2.31,1.74,1.95,2.69,1.54,1.36,0.92,0.61,5.0,0.97,1.19,7.0,3.3,60.0,3.7,2.0,30.0,1.42,25000.0,21436.92,252.17,0.1,35.61,35.16,22.74,12.0,558.52,11969.53,81.91,35.45,86.48,127.38,1255.56,901.55,2270.69,1730.51,11114.71,7765.15,2727.8
14,Nuremberg,66.08,10.0,49.0,8.0,3.4,3.4,2.93,2.56,0.8,1.48,2.21,2.29,9.49,8.49,12.15,2.41,1.6,2.13,2.67,1.22,1.29,0.94,0.53,4.99,0.91,1.22,6.4,3.1,79.0,3.5,2.0,24.0,1.43,20000.0,20583.33,225.75,0.12,32.66,26.35,22.29,12.0,305.5,13750.0,75.42,33.57,81.89,107.0,721.9,542.11,1165.17,938.33,4644.44,3637.5,2280.56
15,Toulouse,69.73,13.0,50.0,8.0,6.0,5.0,2.52,2.27,0.89,1.41,1.85,3.01,12.87,9.25,16.33,2.25,2.0,1.85,2.77,1.53,2.19,1.12,0.78,8.0,1.67,2.29,10.0,1.7,51.0,5.5,2.5,36.55,1.49,21000.0,20800.0,139.78,0.11,25.76,34.33,10.92,10.0,497.5,22000.0,77.37,31.71,81.0,126.88,612.48,461.54,1160.95,855.26,4344.44,2775.0,2310.31
16,Madrid,59.02,12.0,50.0,8.0,3.0,3.5,1.86,1.93,0.83,1.12,1.12,1.89,12.05,6.39,11.63,1.86,1.78,1.62,1.88,1.19,1.4,1.05,0.75,5.0,1.06,1.75,5.0,1.5,54.8,3.0,1.1,25.0,1.36,20000.0,23051.92,132.44,0.18,42.12,37.62,12.07,9.0,461.0,8410.0,74.92,28.98,74.49,91.8,992.79,732.95,1734.91,1196.46,5170.73,3140.47,1639.67
17,Salzburg,72.84,11.5,50.0,7.6,4.0,3.95,3.11,2.8,1.08,1.96,2.27,3.27,15.47,11.0,19.5,2.66,1.76,2.83,2.83,2.43,2.2,1.36,0.73,4.95,1.07,1.6,5.6,2.3,52.0,3.55,1.94,23.5,1.22,21000.0,19166.67,168.12,0.08,29.25,39.45,20.0,10.95,343.0,12500.0,74.0,32.67,74.17,112.8,754.44,648.75,1508.33,1191.67,6625.0,4560.0,1912.5
18,Trieste,73.34,13.5,50.0,8.25,5.0,5.0,1.51,2.4,1.22,2.31,2.33,3.34,17.75,11.75,22.0,2.0,2.15,1.78,3.5,1.33,2.07,1.25,0.47,6.0,1.48,2.15,5.55,1.3,35.0,4.0,1.2,25.0,1.58,26500.0,29433.33,145.76,0.06,28.43,41.4,14.75,8.0,537.5,13200.0,83.88,34.25,91.43,157.14,501.25,381.67,845.0,637.22,2542.5,1456.25,1475.0
19,Grenoble,73.64,13.5,60.0,8.0,5.75,4.5,3.0,2.38,1.12,1.5,1.93,4.33,16.0,10.0,16.5,2.17,2.0,1.93,3.5,0.9,2.1,1.0,0.89,6.0,1.75,1.93,10.0,1.62,57.0,2.65,1.9,27.0,1.52,23000.0,25000.0,135.41,0.25,28.08,30.38,8.0,11.2,1100.0,6166.67,66.55,31.28,103.33,102.5,569.23,440.83,1175.0,810.0,2566.67,2383.33,1822.25
20,Nice,76.09,15.0,52.5,8.75,6.9,5.0,3.4,3.15,1.04,1.47,1.6,2.74,13.0,13.33,15.0,3.0,2.14,3.17,3.0,2.33,2.17,1.25,0.95,6.5,2.34,1.58,10.0,1.5,31.21,4.0,2.08,25.8,1.53,23615.0,28500.0,124.09,0.28,26.06,39.2,18.33,12.0,883.33,14333.33,70.45,32.5,81.36,111.11,794.76,629.41,1883.32,1377.78,6797.92,4766.67,1873.38
21,Ancona,0.0,15.0,50.0,7.5,4.0,4.5,1.21,1.85,1.01,1.5,1.57,2.15,13.25,7.99,15.25,2.37,1.6,2.23,1.7,1.29,1.87,1.57,0.24,4.0,1.5,1.3,5.0,1.3,37.5,4.5,1.09,28.0,1.55,23075.0,34300.0,150.37,0.12,29.8,49.17,15.0,8.0,335.0,14500.0,81.0,17.0,58.33,83.33,491.67,375.0,833.33,725.0,3000.0,1833.33,1233.33
22,Oldenburg,0.0,10.0,30.0,7.0,3.5,3.0,2.66,1.67,0.68,1.15,1.8,1.81,4.33,5.33,10.39,2.3,1.61,1.95,1.75,1.13,1.31,0.82,0.33,4.5,0.8,1.23,6.4,2.5,55.0,3.2,2.05,30.0,1.42,18000.0,21450.0,168.08,0.1,28.0,39.67,10.0,8.0,100.0,13333.33,50.0,32.5,65.0,80.0,550.0,400.0,1033.33,630.0,3750.0,3000.0,2166.67
23,Marseille,71.97,13.5,50.0,8.0,6.0,5.0,2.24,2.0,1.03,1.52,1.75,2.92,13.0,8.0,23.67,2.4,1.78,2.44,2.21,1.8,1.75,1.2,0.44,5.0,1.57,2.1,10.0,1.8,48.5,7.0,1.51,28.0,1.46,20000.0,18333.33,112.86,0.27,27.33,28.98,16.0,10.75,750.0,16333.33,57.5,29.41,83.33,156.0,586.92,510.64,1156.25,1066.67,3125.0,2625.0,1552.78
24,Amsterdam,78.63,16.0,70.0,8.7,5.0,4.57,3.29,2.57,1.04,1.6,2.03,3.08,13.5,8.42,14.55,2.31,1.78,1.88,2.48,1.59,1.27,1.05,0.96,7.0,1.31,1.93,7.0,3.2,97.5,5.0,2.35,43.94,1.69,25505.0,28216.5,180.66,0.16,41.91,35.86,27.7,12.0,1648.7,13420.81,88.09,39.35,100.16,141.62,1597.36,1236.46,2795.9,2016.36,7576.63,4952.82,2918.0
25,Lisbon,49.05,8.0,35.0,6.0,2.0,2.5,1.51,1.36,0.65,1.07,0.92,1.64,7.48,4.98,8.77,1.48,1.11,1.19,1.54,0.99,1.04,0.91,0.56,4.0,1.08,2.21,5.0,1.6,35.0,3.5,0.47,14.8,1.55,26000.0,25180.32,108.8,0.21,33.02,32.84,12.33,7.0,421.41,8303.45,81.61,29.76,76.31,89.55,900.33,640.74,1696.82,1142.22,4431.67,2432.04,976.71
26,Vigo,53.8,9.0,40.0,7.0,2.0,2.75,1.44,1.62,0.83,0.9,1.0,1.88,7.67,5.75,10.5,1.86,2.0,1.68,2.12,1.3,1.44,1.0,0.52,5.0,0.78,1.33,5.0,1.33,45.0,3.67,1.0,20.31,1.31,20000.0,19750.0,165.95,0.21,41.78,34.5,10.2,8.0,240.0,7126.67,63.33,23.33,61.67,76.67,488.33,407.5,887.5,592.86,3551.75,1533.33,1252.12
27,Karlsruhe,60.22,8.2,40.0,8.0,3.5,3.5,2.6,2.55,0.72,1.21,2.09,1.87,8.81,8.58,9.66,2.29,1.47,1.7,2.21,1.04,1.18,0.84,0.35,5.0,0.84,1.17,6.4,2.6,64.0,3.5,2.2,30.0,1.44,22233.0,23811.0,176.97,0.1,29.07,37.12,17.25,12.0,306.43,14400.0,76.36,31.88,85.0,113.0,597.33,473.75,1222.22,924.44,4344.0,3647.5,2276.25
28,Cologne,65.37,9.0,60.0,7.89,3.9,4.0,2.65,2.62,0.76,1.37,2.21,2.07,7.98,7.45,10.44,2.35,1.69,1.96,2.42,1.14,1.29,0.87,0.48,4.99,0.86,1.29,6.4,3.0,95.3,3.5,1.9,30.0,1.46,20000.0,21749.75,224.32,0.09,30.12,30.67,23.58,11.0,440.0,11933.33,89.42,28.0,79.48,121.11,822.96,604.04,1473.33,1075.0,5437.5,4037.5,2270.19
29,Munster,62.69,9.5,50.0,8.0,3.9,3.0,2.8,1.73,0.68,1.4,2.17,1.99,8.34,8.06,11.04,2.36,1.52,2.23,2.49,1.3,1.39,0.79,0.45,5.0,0.79,1.25,6.4,3.05,65.0,3.5,2.2,26.4,1.44,19750.0,16500.0,234.31,0.1,28.74,23.75,15.0,9.0,300.0,12000.0,87.5,28.75,79.75,99.75,750.0,532.5,1550.0,877.5,5700.0,2400.0,2800.0
30,Martin,0.0,6.0,30.0,5.2,1.5,1.65,1.93,1.3,0.68,0.73,1.4,2.4,10.0,4.73,6.85,1.2,1.7,1.5,1.5,0.9,0.63,1.0,0.65,3.65,0.65,1.03,3.7,0.7,12.5,1.5,1.1,10.0,1.34,13900.0,15900.0,175.0,0.07,17.06,27.67,5.0,5.5,225.0,5000.0,47.0,25.0,57.5,70.0,445.0,373.33,725.0,757.5,1250.0,950.0,638.33
31,Granada,55.65,10.0,31.0,8.0,2.5,3.0,1.64,2.04,0.85,1.0,1.0,2.2,11.5,6.7,12.25,1.36,1.25,1.33,1.27,1.14,1.16,1.02,0.69,6.0,0.86,1.47,5.25,1.4,55.0,5.0,1.15,25.0,1.36,21000.0,19750.0,125.24,0.21,48.83,35.75,13.0,8.0,362.5,6975.0,73.75,31.0,73.15,93.33,511.19,405.83,835.0,603.61,2291.67,1783.33,1287.5
32,Patras,53.38,8.0,25.0,7.0,3.0,3.0,2.9,1.88,1.07,0.78,1.65,3.16,7.05,5.42,8.5,1.59,1.5,0.82,1.27,0.73,0.85,0.78,0.39,6.0,1.35,2.22,4.5,1.2,42.0,3.6,1.29,12.0,1.63,18000.0,19600.0,161.01,0.63,25.89,30.0,12.5,8.0,300.0,5666.67,68.12,27.5,78.33,91.43,218.67,185.42,400.22,375.67,1372.0,1177.4,782.73
33,Augsburg,67.41,12.0,60.0,8.0,3.55,3.9,2.78,2.18,0.72,1.5,2.21,1.82,9.24,8.62,12.4,2.67,1.66,1.94,2.27,1.2,1.74,0.92,0.53,4.99,0.91,1.3,6.4,2.7,61.5,3.45,1.6,24.0,1.49,20000.0,22166.67,214.92,0.11,34.42,35.31,17.67,12.0,402.5,15000.0,92.33,51.25,102.5,139.88,736.88,508.75,1357.14,1057.14,5050.0,4080.0,2381.86
34,Galway,75.21,14.5,60.0,8.0,5.0,5.0,3.0,1.69,0.96,1.41,1.64,2.87,7.78,8.8,10.87,2.75,2.55,2.55,2.62,1.62,1.73,0.95,1.04,9.0,2.67,3.3,12.7,2.4,67.5,4.0,1.14,27.0,1.44,30000.0,31730.0,124.47,0.39,50.36,50.03,18.33,9.85,750.0,10700.0,82.75,36.0,86.11,105.0,1023.91,807.5,1764.0,1405.26,3708.33,3025.0,2221.4
35,Bordeaux,72.82,12.0,40.0,9.0,5.75,5.0,2.49,2.75,1.01,1.45,2.25,2.23,12.0,13.33,19.67,2.5,3.0,2.5,5.45,1.7,1.75,1.0,0.95,5.0,1.75,2.25,10.0,1.7,42.0,7.0,1.66,33.6,1.44,20000.0,22000.0,148.95,0.08,25.83,26.85,15.0,10.0,433.33,3600.0,79.44,32.86,86.0,128.0,656.79,515.42,1255.56,931.25,5833.33,4000.0,1950.0
36,Como,81.36,15.0,70.0,8.0,5.0,5.0,1.34,2.62,1.3,2.08,2.23,4.33,17.88,9.26,22.35,1.9,2.27,2.27,2.2,2.14,1.7,1.07,0.51,5.0,1.5,2.2,5.35,1.5,80.0,3.7,3.0,40.0,1.63,23500.0,25166.67,194.75,0.12,31.53,36.0,35.0,9.9,650.0,16000.0,99.67,49.67,96.67,163.33,712.5,462.5,1275.0,1075.0,3700.0,2150.0,1550.0
37,Ulm,65.26,10.0,52.5,7.0,3.5,3.5,3.18,3.3,0.7,1.9,2.19,1.97,8.16,9.99,10.71,2.41,1.49,1.85,2.34,1.25,1.34,0.74,0.37,4.99,0.77,1.23,6.4,2.3,59.3,2.5,3.2,24.0,1.36,26000.0,37500.0,194.27,0.1,30.0,48.75,16.33,8.75,558.89,9370.0,70.5,31.25,86.25,103.33,755.0,605.0,1375.0,1050.0,4833.33,4100.0,2500.0
38,Bologna,68.83,15.0,55.0,8.0,5.0,4.0,1.42,2.38,1.17,2.05,2.01,3.32,16.25,9.46,15.94,1.87,1.8,2.05,2.02,1.08,1.1,1.17,0.44,5.5,1.41,1.85,5.5,1.5,36.0,5.0,1.2,24.0,1.56,22000.0,22425.17,141.95,0.15,29.0,48.54,18.38,9.0,529.63,13250.0,74.33,28.0,84.88,121.67,695.59,549.69,1353.85,988.8,3510.85,2303.57,1446.14
39,Thessaloniki,56.37,12.0,37.5,7.0,4.0,5.0,3.39,1.85,1.12,0.9,1.49,3.44,7.39,6.71,8.36,1.29,1.58,1.29,1.3,0.88,0.78,0.93,0.81,7.0,1.22,2.31,4.5,1.0,30.0,3.5,1.0,11.86,1.58,19000.0,18508.95,164.41,0.45,29.78,31.87,10.88,8.0,293.91,6857.14,74.87,29.51,75.98,93.75,368.87,290.66,583.28,469.92,1783.33,1298.33,675.28
40,Potsdam,64.51,15.0,55.0,10.0,3.15,3.5,2.73,2.0,0.68,1.33,2.39,1.79,8.84,8.74,10.08,2.59,1.49,1.67,2.34,1.0,1.29,0.71,0.37,4.99,0.79,1.21,6.4,2.45,61.37,3.5,2.1,30.0,1.34,21500.0,25000.0,160.71,0.11,46.66,22.5,20.0,12.0,150.0,20000.0,80.0,46.66,85.0,120.0,712.5,513.33,1350.0,966.67,4500.0,3500.0,2364.98
41,Luxembourg,81.04,17.0,70.0,9.0,5.0,4.5,3.21,2.7,1.4,2.56,1.45,3.7,14.0,11.0,17.62,2.6,1.87,2.5,2.5,2.38,2.26,1.05,1.1,10.0,2.15,2.24,5.25,2.0,25.0,3.0,3.5,30.0,1.19,21150.0,24521.0,227.89,0.2,47.86,42.96,31.0,10.35,1398.75,15333.33,90.83,40.56,80.94,125.0,1555.56,1258.93,2860.87,2269.57,9728.09,7092.5,3651.96
42,Toulon,0.0,12.0,51.0,7.5,3.0,2.0,1.67,1.6,0.9,1.3,1.58,2.86,16.2,10.2,16.8,2.1,1.8,2.12,2.1,1.5,1.6,1.27,0.47,6.0,1.8,3.17,10.0,1.4,31.0,3.4,1.82,22.2,1.53,27500.0,22916.67,110.51,0.12,17.33,38.5,21.0,10.35,250.0,7860.0,65.0,38.33,75.0,90.0,540.0,472.0,1250.0,1112.5,5551.75,2988.75,1915.67
43,Bratislava,47.54,6.0,36.0,6.0,2.0,2.3,2.13,1.71,0.77,1.0,1.22,1.87,7.75,5.65,8.73,1.55,1.58,1.52,2.21,0.96,0.99,0.99,0.62,5.25,0.8,1.44,3.9,0.9,27.0,3.5,0.8,15.0,1.34,16940.0,16561.82,185.2,0.09,15.45,28.39,12.64,8.0,428.64,10525.0,60.0,26.77,66.18,81.0,615.29,474.85,1028.85,781.79,3418.0,2560.0,1089.84
44,Essen,62.15,12.0,52.5,8.0,3.0,3.0,2.74,1.84,0.67,1.03,2.27,1.8,7.17,7.13,10.41,2.41,1.66,2.1,2.2,1.0,1.47,0.81,0.29,4.0,0.78,1.24,6.45,2.8,75.5,4.0,2.0,31.8,1.44,18037.5,19506.67,207.18,0.12,34.18,23.85,21.75,10.0,310.0,10200.0,73.33,53.32,70.55,88.74,517.91,400.0,1014.29,826.67,2133.33,1933.33,1821.85
45,Catania,55.59,10.0,48.0,8.5,3.5,3.5,1.42,1.58,1.0,1.03,2.0,1.82,7.5,6.37,10.96,1.6,1.14,0.94,1.22,0.98,1.2,0.74,0.61,5.0,0.92,2.03,5.1,1.0,30.0,5.0,1.0,18.0,1.57,23308.36,19142.02,200.06,0.08,31.43,39.68,22.06,7.0,283.33,4071.01,78.24,24.52,71.72,100.05,464.44,344.04,850.0,522.91,2325.0,1386.87,1231.57
46,Heidelberg,68.17,14.0,50.0,8.49,4.0,3.0,2.87,2.67,0.76,1.32,2.21,1.83,9.02,8.66,10.59,2.33,1.49,1.88,2.32,1.33,1.39,0.79,0.42,4.99,0.84,1.24,6.4,2.6,77.5,3.0,2.7,30.0,1.42,20650.0,22623.33,266.01,0.1,32.08,29.11,26.0,13.0,450.0,19000.0,80.8,30.0,93.5,117.5,764.23,535.42,1588.0,1159.17,5850.0,3240.0,2293.75
47,Rome,69.73,15.0,60.0,8.0,5.0,4.0,1.24,1.87,1.28,1.6,2.12,3.09,12.77,8.83,15.55,1.99,1.72,2.02,2.26,1.38,1.41,1.26,0.44,6.0,1.17,1.69,5.7,1.5,35.0,4.25,1.43,34.1,1.58,22000.0,24237.5,175.69,0.17,29.43,62.05,17.65,9.0,470.95,11647.83,83.09,30.08,77.82,115.48,943.68,653.49,1820.59,1147.38,6690.0,3033.33,1488.44
48,Braga,51.24,6.0,30.0,6.0,1.5,2.0,1.01,1.16,0.55,1.19,0.86,1.7,10.25,5.85,15.63,1.64,1.1,1.27,1.59,1.25,0.99,0.74,0.92,4.5,0.82,2.27,5.5,1.55,36.38,3.25,0.47,15.0,1.56,25443.0,23695.0,99.56,0.21,30.79,32.29,9.5,6.25,247.5,5700.0,80.73,37.33,75.45,73.33,503.68,358.86,811.76,594.12,1481.25,1027.4,916.54
49,Berlin,63.28,9.0,40.0,8.0,3.5,3.5,2.79,2.0,0.9,1.33,1.83,1.98,8.46,7.15,11.41,2.17,1.47,2.21,2.28,1.54,1.41,1.14,0.53,5.0,0.94,1.49,6.7,2.85,81.0,3.9,2.0,30.0,1.44,20000.0,21609.89,233.42,0.1,31.59,26.55,19.43,12.0,144.4,6558.19,82.8,34.3,84.35,106.21,925.85,674.21,1711.9,1224.55,5795.06,3762.96,2494.92
50,Antwerp,70.12,15.0,75.0,8.0,4.0,3.0,2.83,2.15,0.82,1.63,1.81,1.83,10.23,9.42,13.87,2.17,1.75,1.9,2.09,1.5,1.44,1.02,0.84,6.5,1.39,1.74,6.7,2.05,50.0,3.5,2.0,35.0,1.47,24725.0,21127.5,134.55,0.19,48.43,25.64,24.43,11.0,345.0,12125.0,82.94,37.29,85.43,125.26,712.71,604.59,1140.91,928.75,2764.75,2203.3,2084.2
51,Eindhoven,73.14,15.0,60.0,8.0,5.0,3.5,2.78,2.62,1.0,1.16,1.94,2.68,11.85,8.57,15.05,2.29,1.82,1.7,2.62,1.59,1.33,1.1,0.86,6.0,1.25,1.83,7.0,4.0,75.0,3.25,3.0,36.0,1.63,25000.0,26344.48,173.98,0.14,40.05,25.19,21.08,12.25,1354.85,5440.0,84.2,32.21,84.65,117.87,1126.0,868.44,1564.97,1255.17,3617.22,2684.38,2595.77
52,Lyon,72.14,12.0,50.0,9.0,6.0,4.0,2.84,2.2,1.05,1.18,1.67,2.76,17.0,9.4,14.5,2.45,1.96,2.3,2.4,1.78,2.25,0.95,0.71,7.0,1.23,3.12,9.75,1.9,64.0,5.0,1.77,30.0,1.51,25000.0,18666.67,160.45,0.1,31.16,42.45,11.67,11.8,501.3,7333.33,75.59,41.25,88.81,116.67,670.77,506.82,1345.62,992.31,4871.11,2816.67,2116.22
53,Palermo,52.34,7.0,45.0,7.0,4.0,4.0,1.41,1.7,0.88,1.09,1.95,1.94,6.92,6.75,10.5,1.7,1.42,1.03,1.12,0.86,1.12,1.12,0.26,4.0,0.83,1.43,5.45,1.4,32.0,10.0,0.84,18.0,1.56,21500.0,19500.0,123.54,0.1,27.17,36.78,20.25,7.5,283.33,10500.0,78.71,29.75,80.0,96.67,462.5,330.0,750.0,556.67,2277.67,1450.0,1149.33
54,Groningen,73.09,15.0,60.0,8.0,4.25,3.5,3.13,2.32,0.86,1.12,1.89,2.23,10.36,8.6,14.75,2.57,1.94,1.64,2.49,1.37,1.25,1.06,0.86,6.0,1.09,1.67,7.0,2.5,100.0,3.1,2.35,42.25,1.64,28580.0,26010.0,186.5,0.15,40.23,30.06,13.3,12.0,750.0,14500.0,85.36,35.0,96.12,141.0,718.0,627.08,1262.5,1016.67,2920.0,2475.0,2150.0
55,Murcia,50.77,10.0,32.5,7.0,2.0,2.25,1.4,1.5,0.74,1.01,0.94,1.62,9.46,6.6,11.0,1.25,1.71,0.99,1.67,1.25,1.89,0.95,0.44,5.5,0.72,1.19,5.08,1.45,25.0,3.1,1.5,20.0,1.32,23000.0,19437.5,130.72,0.16,31.58,31.12,6.25,7.25,326.67,5333.33,65.56,30.62,63.18,73.12,500.0,385.0,730.77,566.67,2400.0,1475.0,1227.85
