Date;CMAX RTS;CMAX BSE-SENSEX;CMAX Shangai Composite Index;CMAX Ibovespa
ago-02;0,850840873;0,89302445;0,908665642;0,739827549
set-02;0,853805654;0,839724801;0,89616799;0,614480154
ott-02;0,916653887;0,82792346;0,862419121;0,724577781
nov-02;0,9230435;0,906383783;0,820473801;0,748877646
dic-02;0,917727342;0,948058977;0,783518779;0,802964441
gen-03;0,883197874;0,912435984;0,865561301;0,779662225
feb-03;0,979476563;0,921778244;0,872555922;0,732630229
mar-03;0,920947707;0,878758236;0,871776818;0,850546963
apr-03;1;0,876382774;0,878044276;0,959648452
mag-03;1;0,941808193;0,909681664;1
giu-03;1;1;0,857602899;0,966547459
lug-03;0,907668169;1;0,88606881;1
ago-03;1;1;0,85321189;1
set-03;1;1;0,864404851;1
ott-03;0,893226501;1;0,855379189;1
nov-03;0,934082807;1;0,886414678;1
dic-03;1;1;0,949741794;1
gen-04;1;0,975459664;1;0,982685735
feb-04;1;0,970636861;1;0,978368412
mar-04;1;0,957465051;1;0,995772621
apr-04;0,838506098;0,968509783;0,916152777;0,881768304
mag-04;0,772021896;0,815148614;0,893369392;0,878980032
giu-04;0,775011293;0,821286666;0,80336698;0,951115309
lug-04;0,717814152;0,885486432;0,795925632;1
ago-04;0,776778359;0,889213167;0,770581413;1
set-04;0,839223554;0,95626788;0,801954502;1
ott-04;0,881766003;0,971452118;0,758225101;0,991697139
