Date,Team,Acquired,Relinquished,Notes
2011-03-26,Nets,Damion James,,activated from IL
2011-03-26,Pistons,,Tracy McGrady,sore back (DNP)
2011-03-26,Raptors,,Andrea Bargnani,sore right ankle (DNP)
2011-03-26,Raptors,,Reggie Evans,placed on IL
2011-03-26,Raptors,Joey Dorsey,,activated from IL
2011-03-27,Celtics,,Rajon Rondo,right finger injury (DNP)
2011-03-27,Celtics,,Troy Murphy,sprained right ankle (DNP)
2011-03-27,Hawks,,Joe Johnson,placed on IL with sprained right thumb
2011-03-27,Hawks,Josh Powell,,activated from IL
2011-03-27,Heat,,Mario Chalmers,placed on IL with sprained right knee
2011-03-27,Heat,Zydrunas Ilgauskas,,activated from IL
2011-03-27,Hornets,,David Andersen,placed on IL
2011-03-27,Rockets,,Terrence Williams,placed on IL with abdominal injury (out for season)
2011-03-27,Rockets,Chase Budinger,,activated from IL
2011-03-27,Timberwolves,,Nikola Pekovic,hip injury (DNP)
2011-03-27,Wizards,,Trevor Booker,sore right foot (DNP)
2011-03-28,76ers,,Tony Battie,illness (DTD)
2011-03-28,Bobcats,Eduardo Najera,,activated from IL
2011-03-28,Bucks,,Chris Douglas-Roberts,placed on IL with right ankle injury
2011-03-28,Bucks,Drew Gooden,,activated from IL
2011-03-28,Bucks,Michael Redd,,activated from IL
2011-03-28,Celtics,,Troy Murphy,sprained right ankle (DNP)
2011-03-28,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
2011-03-28,Jazz,,Kyrylo Fesenko,migraine headache (DNP)
2011-03-28,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-28,Magic,,Jameer Nelson,sprained left knee (DNP)
2011-03-28,Spurs,, Tony Parker,bruised left patella (DNP)
2011-03-28,Spurs,,Antonio McDyess,bruised lower back (DNP)
2011-03-28,Spurs,,Manu Ginobili,placed on IL with bruised left quadriceps
2011-03-28,Spurs,Chris Quinn,,activated from IL
2011-03-28,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-28,Wizards,,Trevor Booker,sore right foot (DNP)
2011-03-29,Cavaliers,,Samardo Samuels,wrist injury (DTD)
2011-03-29,Heat,,Mike Miller,bruised left knee (DNP)
2011-03-29,Nets,,Damion James,sore right foot (DNP)
2011-03-29,Thunder,,Nick Collison,sprained left ankle (DNP)
2011-03-29,Warriors,,Acie Law,placed on IL with right wrist injury (out for season)
2011-03-29,Warriors,Jeremy Lin,,activated from IL
2011-03-30,Bobcats,,Shaun Livingston,placed on IL with tailbone injury (out for season)
2011-03-30,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-03-30,Bucks,,Larry Sanders ,back spasms (DNP)
2011-03-30,Bulls,,Joakim Noah,placed on IL with sprained right ankle
2011-03-30,Bulls,Brian Scalabrine,,activated from IL
2011-03-30,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
2011-03-30,Hawks,,Josh Powell,placed on IL
2011-03-30,Hawks,Joe Johnson,,activated from IL
2011-03-30,Heat,,Mike Miller,bruised left knee (DNP)
2011-03-30,Hornets,,Didier Mbenga ,placed on IL
2011-03-30,Hornets,David Andersen,,activated from IL
2011-03-30,Kings,,Marquis Daniels,surgery on back (out for season)
2011-03-30,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-03-30,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-30,Nets,,Ben Uzoh,sore left knee (DNP)
2011-03-30,Nets,,Damion James,placed on IL with sore right foot
2011-03-30,Nets,Deron Williams,,activated from IL
2011-03-30,Nuggets,,Melvin Ely,placed on IL
2011-03-30,Nuggets,Wilson Chandler,,activated from IL
2011-03-30,Pacers,,James Posey,placed on IL
2011-03-30,Pacers,Mike Dunleavy Jr.,,activated from IL
2011-03-30,Raptors,,Joey Dorsey,placed on IL
2011-03-30,Raptors,Linas Kleiza,,activated from IL
2011-03-30,Raptors,Reggie Evans,,activated from IL
2011-03-30,Thunder,Nate Robinson,,activated from IL
2011-03-30,Timberwolves,,Nikola Pekovic,placed on IL with hip injury
2011-03-30,Timberwolves,Kevin Love,,activated from IL
2011-03-30,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-30,Wizards,,Trevor Booker,placed on IL with sore right foot (out for season)
2011-03-30,Wizards,Andray Blatche,,activated from IL
2011-03-30,Thunder,,Cole Aldrich,placed on IL
2011-03-31,Bobcats,,Joel Przybilla,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate)
2011-03-31,Celtics,,Avery Bradley,placed on IL
2011-03-31,Celtics,,Troy Murphy,placed on IL with sprained right ankle
2011-03-31,Celtics,Jermaine O'Neal,,activated from IL
2011-03-31,Celtics,Von Wafer,,activated from IL
2011-03-31,Lakers,Theo Ratliff,,activated from IL
2011-03-31,Spurs,,Chris Quinn,placed on IL
2011-03-31,Spurs,,Danny Green,placed on IL
2011-03-31,Spurs,Manu Ginobili,,activated from IL
2011-03-31,Spurs,Tim Duncan,,activated from IL
2011-03-31,Lakers,,Derrick Caracter,placed on IL
2011-04-01,76ers,Tony Battie,,returned to lineup
2011-04-01,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-01,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-01,Bucks,,Jon Brockman,placed on IL with sprained left shoulder
2011-04-01,Bucks,Chris Douglas-Roberts,,activated from IL
2011-04-01,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
2011-04-01,Celtics,,Nenad Krstic,placed on IL with right knee injury
2011-04-01,Celtics,Avery Bradley,,activated from IL
2011-04-01,Clippers,,Chris Kaman,placed on IL with illness
2011-04-01,Clippers,Brian Cook,,activated from IL
2011-04-01,Heat,,Mike Miller,placed on IL with sprained right knee / bruised left knee (CBC)
2011-04-01,Jazz,,Andrei Kirilenko,placed on IL with nerve damage in left knee (out for season)
2011-04-01,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-01,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-01,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-04-01,Magic,,Gilbert Arenas,flu (DNP)
2011-04-01,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-01,Nets,,Kris Humphries,placed on IL with sprained ankle (out for season)
2011-04-01,Nuggets,,Kosta Koufos,placed on IL
2011-04-01,Nuggets,Arron Afflalo,,activated from IL
2011-04-01,Pacers,,Lance Stephenson,placed on IL
2011-04-01,Pacers,James Posey,,activated from IL
2011-04-01,Pistons,,Tracy McGrady,placed on IL with sore back
2011-04-01,Pistons,Ben Wallace,,activated from IL
2011-04-01,Suns,,Steve Nash,flu-like symptoms (DNP)
2011-04-01,Timberwolves,Nikola Pekovic,,activated from IL
2011-04-01,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-01,Heat,Dexter Pittman,,activated from IL
2011-04-02,Bucks,,Carlos Delfino,bruised right chest/ribs (DNP)
2011-04-02,Clippers,,Ryan Gomes,sore knee (DNP)
2011-04-02,Mavericks,Corey Brewer,,activated from IL
2011-04-02,Raptors,,Andrea Bargnani,sore right ankle (DNP)
2011-04-02,Raptors,,Jose Calderon,placed on IL with sore/strained left hamstring
2011-04-02,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
2011-04-02,Timberwolves,,Kevin Love,strained left groin (DNP)
2011-04-03,Blazers,Luke Babbitt,,activated from IL
2011-04-03,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-03,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-03,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-03,Celtics,,Avery Bradley,placed on IL
2011-04-03,Celtics,Shaquille O'Neal,,activated from IL
2011-04-03,Heat,,Dexter Pittman,placed on IL (out for season)
2011-04-03,Heat,,Jamaal Magloire,placed on IL
2011-04-03,Heat,Mario Chalmers,,activated from IL
2011-04-03,Heat,Mike Miller,,activated from IL
2011-04-03,Hornets,Didier Mbenga ,,activated from IL
2011-04-03,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-03,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-03,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-04-03,Magic,,Gilbert Arenas,flu (DNP)
2011-04-03,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-03,Magic,,Ryan Anderson,placed on IL (out for season)
2011-04-03,Mavericks,,Tyson Chandler,placed on IL with sore back
2011-04-03,Nuggets,,Arron Afflalo,hamstring injury (DTD)
2011-04-03,Nuggets,,Chris Andersen,placed on IL with sprained right ankle
2011-04-03,Nuggets,Kosta Koufos,,activated from IL
2011-04-03,Pistons,,DaJuan Summers,placed on IL
2011-04-03,Pistons,Tracy McGrady,,activated from IL
2011-04-03,Raptors,,Andrea Bargnani,placed on IL with sore right ankle
2011-04-03,Raptors,Joey Dorsey,,activated from IL
2011-04-03,Suns,,Steve Nash,flu (DNP)
2011-04-03,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-03,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-05,76ers,,Lou Williams,placed on IL with strained right hamstring (out for season)
2011-04-05,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-05,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-05,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-05,Bulls,,Brian Scalabrine,placed on IL
2011-04-05,Bulls,Joakim Noah,,activated from IL
2011-04-05,Cavaliers,,Samardo Samuels,strained left groin (DNP)
2011-04-05,Celtics,,Shaquille O'Neal,placed on IL with strained right calf muscle
2011-04-05,Celtics,,Von Wafer,placed on IL with strained right calf
2011-04-05,Celtics,Nenad Krstic,,activated from IL
2011-04-05,Celtics,Troy Murphy,,activated from IL
2011-04-05,Clippers,,Ryan Gomes,placed on IL with knee injury (out for season)
2011-04-05,Clippers,Chris Kaman,,activated from IL
2011-04-05,Hawks,,Josh Smith,placed on IL with swelling in right knee / sprained right knee
2011-04-05,Hawks,Josh Powell,,activated from IL
2011-04-05,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-05,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-05,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-05,Knicks,,Roger Mason Jr.,placed on IL
2011-04-05,Knicks,Ronny Turiaf,,activated from IL
2011-04-05,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-05,Nets,,Anthony Morrow,left knee tendinitis (DTD)
2011-04-05,Nuggets,,Arron Afflalo,placed on IL with hamstring injury
2011-04-05,Nuggets,Melvin Ely,,activated from IL
2011-04-05,Pistons,,Charlie Villanueva,placed on IL with sore back
2011-04-05,Pistons,DaJuan Summers,,activated from IL
2011-04-05,Raptors,,Leandro Barbosa,placed on IL with sore right pinky finger (out for season)
2011-04-05,Raptors,Andrea Bargnani,,activated from IL
2011-04-05,Spurs,,James Anderson,placed on IL
2011-04-05,Spurs,Danny Green,,activated from IL
2011-04-05,Timberwolves,,Darko Milicic,placed on IL with sprained left ankle
2011-04-05,Timberwolves,,Kevin Love,strained left groin (DNP)
2011-04-05,Wizards,,Cartier Martin,stress fracture in left foot (DTD)
2011-04-05,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-05,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-06,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-06,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-06,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-06,Heat,,Dwyane Wade,placed on IL with bruised right thigh
2011-04-06,Heat,Jamaal Magloire,,activated from IL
2011-04-06,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-06,Magic,,Jason Richardson,left knee tendinitis (DNP)
2011-04-06,Mavericks,,Jason Kidd,rest (DNP)
2011-04-06,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-06,Nets,,Damion James,sore right foot (DNP)
2011-04-06,Nets,,Deron Williams,placed on IL with sore right wrist (out for season)
2011-04-06,Nets,Damion James,,activated from IL
2011-04-06,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
2011-04-06,Pistons,,Ben Wallace,placed on IL with sore right knee (out for season)
2011-04-06,Pistons,Charlie Villanueva,,activated from IL
2011-04-06,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-04-06,Raptors,,Andrea Bargnani,placed on IL with sore right ankle (out for season)
2011-04-06,Raptors,Jose Calderon,,activated from IL
2011-04-06,Timberwolves,,Kevin Love,placed on IL with strained left groin (out for season)
2011-04-06,Timberwolves,Darko Milicic,,activated from IL
2011-04-06,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-06,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-07,Blazers,,Marcus Camby,strained/sore neck (DNP)
2011-04-07,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-07,Jazz,,Raja Bell,placed on IL with sprained right foot (out for season)
2011-04-07,Jazz,,Ronnie Price,strained left calf (DNP)
2011-04-07,Jazz,Devin Harris,,activated from IL
2011-04-07,Warriors,,Acie Law,surgery on right wrist to remove bone spur (out for season)
2011-04-08,Blazers,,Marcus Camby,strained/sore neck (DNP)
2011-04-08,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-08,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-08,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-08,Bucks,,Andrew Bogut,placed on IL with loose particles and scar tissue in right elbow (out for season)
2011-04-08,Bucks,,Chris Douglas-Roberts,placed on IL
2011-04-08,Bucks,Ersan Ilyasova,,activated from IL
2011-04-08,Bucks,Jon Brockman,,activated from IL
2011-04-08,Cavaliers,,Samardo Samuels,strained left groin (DNP)
2011-04-08,Cavaliers,Semih Erden,,activated from IL
2011-04-08,Celtics,,Jermaine O'Neal,placed on IL for rest
2011-04-08,Celtics,Avery Bradley,,activated from IL
2011-04-08,Clippers,,Chris Kaman,sprained right knee (DNP)
2011-04-08,Hawks,,Jason Collins,placed on IL with sprained left ankle (out for season)
2011-04-08,Hawks,Pape Sy,,activated from IL
2011-04-08,Heat,,Jamaal Magloire,placed on IL
2011-04-08,Heat,Dwyane Wade,,activated from IL
2011-04-08,Knicks,,Amar'e Stoudemire,placed on IL with sprained ankle
2011-04-08,Knicks,,Andy Rautins,surgery on knee (date approximate)
2011-04-08,Knicks,Roger Mason Jr.,,activated from IL
2011-04-08,Mavericks,,Jason Kidd,placed on IL for rest
2011-04-08,Mavericks,Tyson Chandler,,activated from IL
2011-04-08,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-08,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
2011-04-08,Pistons,,Will Bynum,strained right knee (DNP)
2011-04-08,Raptors,,Jose Calderon,sore/strained left hamstring (DNP)
2011-04-08,Suns,,Steve Nash,strained right hamstring (DNP)
2011-04-08,Wizards,,Hamady N'Diaye,strained patella tendon nin left knee (DNP)
2011-04-08,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-09,Bucks,,Jon Brockman,separated left shoulder (DNP)
2011-04-09,Cavaliers,,Samardo Samuels,placed on IL with strained left groin (out for season)
2011-04-09,Clippers,,Chris Kaman,sprained right knee (DNP)
2011-04-09,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-09,Jazz,,Ronnie Price,strained left calf (DNP)
2011-04-09,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
2011-04-09,Nuggets,,Wilson Chandler,sore left ankle (DNP)
2011-04-09,Rockets,,Kyle Lowry,sore left foot / knee (CBC) (DNP)
2011-04-09,Rockets,,Luis Scola,sore left knee (DNP)
2011-04-09,Spurs,,Antonio McDyess,placed on IL for rest
2011-04-09,Spurs,James Anderson,,activated from IL
2011-04-09,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
2011-04-09,Wizards,,Hamady N'Diaye,strained patella tendon nin left knee (DNP)
2011-04-09,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-10,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-10,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-10,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-10,Celtics,,Avery Bradley,placed on IL
2011-04-10,Celtics,Jermaine O'Neal,,activated from IL
2011-04-10,Heat,,Erick Dampier,placed on IL with knee injury / rest
2011-04-10,Heat,Jamaal Magloire,,activated from IL
2011-04-10,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-10,Mavericks,,Ian Mahinmi,placed on IL
2011-04-10,Mavericks,Jason Kidd,,activated from IL
2011-04-10,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-10,Nets,,Damion James,sore right foot (DNP)
2011-04-10,Pacers,,James Posey,placed on IL
2011-04-10,Pacers,T.J. Ford,,activated from IL
2011-04-10,Pistons,,DaJuan Summers,ill (DNP)
2011-04-10,Pistons,,Will Bynum,strained right knee (DNP)
2011-04-10,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-04-10,Raptors,,Jose Calderon,sore/strained left hamstring (DNP)
2011-04-10,Raptors,,Sonny Weems,sore right knee (DTD)
2011-04-10,Thunder,,Robert Vaden,placed on IL
2011-04-10,Rockets,,Marcus Cousin ,placed on IL
2011-04-11,76ers,,Andre Iguodala,placed on IL with right knee tendinitis (out for season)
2011-04-11,76ers,Darius Songaila,,activated from IL
2011-04-11,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-11,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-11,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-11,Cavaliers,,Anthony Parker,back spasms (DNP)
2011-04-11,Celtics,,Kevin Garnett,placed on IL for rest (out for season)
2011-04-11,Celtics,,Paul Pierce,rest (DNP)
2011-04-11,Celtics,,Rajon Rondo,placed on IL for rest
2011-04-11,Celtics,,Ray Allen,rest (DNP)
2011-04-11,Celtics,Avery Bradley,,activated from IL
2011-04-11,Celtics,Von Wafer,,activated from IL
2011-04-11,Hawks,,Pape Sy,placed on IL
2011-04-11,Hawks,Josh Smith,,activated from IL
2011-04-11,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-11,Jazz,,Ronnie Price,strained left calf (DNP)
2011-04-11,Kings,,Tyreke Evans,sprained left ankle (DNP)
2011-04-11,Magic,,Gilbert Arenas,sore left knee (DNP)
2011-04-11,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-11,Mavericks,,Brendan Haywood,placed on IL
2011-04-11,Mavericks,Ian Mahinmi,,activated from IL
2011-04-11,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-11,Nets,,Damion James,sore right foot (DNP)
2011-04-11,Nets,,Deron Williams,surgery on right wrist to remove bone fragments and scar tissue (out for season)
2011-04-11,Nets,,Mario West,separated left shoulder (DNP)
2011-04-11,Nuggets,,Al Harrington,right Achilles tendon injury / rest (DNP)
2011-04-11,Nuggets,,Danilo Gallinari,sprained right ankle (DNP)
2011-04-11,Nuggets,,Timofey Mozgov,placed on IL with sprained left knee and ankle
2011-04-11,Nuggets,,Wilson Chandler,placed on IL with sore left ankle
2011-04-11,Nuggets,Arron Afflalo,,activated from IL
2011-04-11,Nuggets,Chris Andersen,,activated from IL
2011-04-11,Pistons,,Tracy McGrady,rest (DNP)
2011-04-11,Pistons,,Will Bynum,strained right knee (DNP)
2011-04-11,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-04-11,Raptors,,Linas Kleiza,placed on IL recovering from microfracture surgery on right knee to repair cartilage damage (out for season)
2011-04-11,Raptors,,Reggie Evans,sore left index finger (DNP)
2011-04-11,Raptors,,Sonny Weems,sore right knee (DNP)
2011-04-11,Raptors,Solomon Alabi,,activated from IL
2011-04-11,Rockets,,Kyle Lowry,sore left foot (DNP)
2011-04-11,Rockets,,Luis Scola,sore left knee (DNP)
2011-04-11,Suns,,Vince Carter,bruised left hip / knee injury (DNP)
2011-04-11,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
2011-04-11,Warriors,,Monta Ellis,concussion (DNP)
2011-04-11,Wizards,,Hamady N'Diaye,strained patella tendon nin left knee (DNP)
2011-04-11,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-11,Hawks,,Magnum Rolle,placed on IL
2011-04-11,Rockets,Hasheem Thabeet,,activated from IL
2011-04-12,Blazers,,Luke Babbitt,placed on IL
2011-04-12,Bucks,,Andrew Bogut,arthroscopic surgery on right elbow to remove loose particles and scar tissue (out for season)
2011-04-12,Grizzlies,,Tony Allen,rest (DNP)
2011-04-12,Grizzlies,,Zach Randolph,left elbow injury / rest (DNP)
2011-04-12,Hornets,,David West,surgery on left knee to repair torn ACL (out for season)
2011-04-12,Lakers,,Andrew Bynum,hyperextended right knee (left game)
2011-04-12,Lakers,,Matt Barnes,sore right knee (DNP)
2011-04-12,Lakers,,Steve Blake,chicken pox (DNP)
2011-04-12,Spurs,, Tony Parker,rest (DNP)
2011-04-12,Spurs,,Manu Ginobili,placed on IL for rest
2011-04-12,Spurs,,Tim Duncan,rest (DNP)
2011-04-12,Spurs,Chris Quinn,,activated from IL
2011-04-13,Blazers,,Brandon Roy,rest (DNP)
2011-04-13,Blazers,,Gerald Wallace,rest (DNP)
2011-04-13,Blazers,,LaMarcus Aldridge,rest (DNP)
2011-04-13,Blazers,,Marcus Camby,rest (DNP)
2011-04-13,Blazers,,Nicolas Batum,placed on IL for rest
2011-04-13,Blazers,Luke Babbitt,,activated from IL
2011-04-13,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-13,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-13,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-13,Bulls,,Ronnie Brewer,sprained left thumb (DNP)
2011-04-13,Cavaliers,,Baron Davis,back spasms (DNP)
2011-04-13,Cavaliers,,Semih Erden,sore right heel (DNP)
2011-04-13,Celtics,,Delonte West,sprained right ankle (DNP)
2011-04-13,Celtics,,Jermaine O'Neal,rest (DNP)
2011-04-13,Celtics,,Paul Pierce,rest (DNP)
2011-04-13,Celtics,,Ray Allen,rest (DNP)
2011-04-13,Clippers,,Chris Kaman,placed on IL with sprained right knee (out for season)
2011-04-13,Clippers,Willie Warren,,activated from IL
2011-04-13,Grizzlies,,Mike Conley Jr.,rest (DNP)
2011-04-13,Grizzlies,,Tony Allen,knee injury / rest (DNP)
2011-04-13,Grizzlies,,Zach Randolph,rest (DNP)
2011-04-13,Hawks,,Hilton Armstrong,placed on IL
2011-04-13,Hawks,Pape Sy,,activated from IL
2011-04-13,Heat,,Chris Bosh,rest (DNP)
2011-04-13,Heat,,Dwyane Wade,rest (DNP)
2011-04-13,Heat,,LeBron James,rest (DNP)
2011-04-13,Heat,,Mike Miller,thumb injury (DTD)
2011-04-13,Jazz,,C.J. Miles,partial muscle tear / left knee injury (CBC) (DNP)
2011-04-13,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-13,Jazz,,Ronnie Price,strained left calf (DNP)
2011-04-13,Knicks,,Carmelo Anthony,placed on IL for rest
2011-04-13,Knicks,,Chauncey Billups,rest (DNP)
2011-04-13,Knicks,Amar'e Stoudemire,,activated from IL
2011-04-13,Lakers,,Andrew Bynum,placed on IL with hyperextended right knee (out for season)
2011-04-13,Lakers,,Matt Barnes,placed on IL with sore right knee (out for season)
2011-04-13,Magic,,Gilbert Arenas,sore left knee / rest (DNP)
2011-04-13,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-13,Mavericks,Brendan Haywood,,activated from IL
2011-04-13,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-13,Nets,,Damion James,sore right foot (DNP)
2011-04-13,Nets,,Mario West,left shoulder injury (DNP)
2011-04-13,Nuggets,,Arron Afflalo,hamstring injury / rest (DNP)
2011-04-13,Nuggets,,Danilo Gallinari,sprained right ankle (DNP)
2011-04-13,Nuggets,,Kenyon Martin,rest (DNP)
2011-04-13,Nuggets,,Nene Hilario ,placed on IL for groin injury / rest (out for season)
2011-04-13,Nuggets,,Raymond Felton,rest (DNP)
2011-04-13,Nuggets,Wilson Chandler,,activated from IL
2011-04-13,Pacers,,Danny Granger,placed on IL for rest
2011-04-13,Pacers,James Posey,,activated from IL
2011-04-13,Pistons,,Tracy McGrady,rest (DNP)
2011-04-13,Pistons,,Will Bynum,strained right knee (DNP)
2011-04-13,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-04-13,Raptors,,Jose Calderon,sore/strained left hamstring (DNP)
2011-04-13,Raptors,,Reggie Evans,sore left index finger (DNP)
2011-04-13,Raptors,,Sonny Weems,sore right knee (DNP)
2011-04-13,Rockets,,Kyle Lowry,sore left foot / knee (CBC) (DNP)
2011-04-13,Rockets,,Luis Scola,sore left knee (DNP)
2011-04-13,Spurs,,Chris Quinn,placed on IL (out for season)
2011-04-13,Spurs,,James Anderson,placed on IL
2011-04-13,Spurs,Antonio McDyess,,activated from IL
2011-04-13,Spurs,Manu Ginobili,,activated from IL
2011-04-13,Thunder,,Nick Collison,placed on IL (out for season)
2011-04-13,Thunder,B.J. Mullens,,activated from IL
2011-04-13,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
2011-04-13,Warriors,,Monta Ellis,concussion (DNP)
2011-04-13,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-13,Lakers,Derrick Caracter,,activated from IL
2011-04-16,76ers,,Craig Brackins,placed on IL
2011-04-16,76ers,,Darius Songaila,placed on IL
2011-04-16,76ers,,Jason Kapono,placed on IL
2011-04-16,Blazers,,Luke Babbitt,placed on IL
2011-04-16,Bulls,,Jannero Pargo,placed on IL
2011-04-16,Bulls,,John Lucas III,placed on IL
2011-04-16,Cavaliers,,Ramon Sessions,surgery to repair hernia (out indefinitely)
2011-04-16,Cavaliers,,Samardo Samuels,surgery on right wrist (out indefinitely)
2011-04-16,Cavaliers,,Semih Erden,surgery to repair separated left shoulder (out indefinitely)
2011-04-16,Hawks,,Pape Sy,placed on IL
2011-04-16,Magic,,Daniel Orton,placed on IL with surgery on left knee (out for season)
2011-04-16,Mavericks,,Rodrigue Beaubois,placed on IL with sprained left foot
2011-04-16,Pacers,,James Posey,placed on IL
2011-04-17,Celtics,,Avery Bradley,placed on IL
2011-04-17,Celtics,,Carlos Arroyo,placed on IL
2011-04-17,Knicks,,Derrick Brown,placed on IL
2011-04-17,Lakers,,Derrick Caracter,placed on IL
2011-04-17,Lakers,,Steve Blake,placed on IL with chicken pox
2011-04-17,Nuggets,,Arron Afflalo,placed on IL with hamstring injury
2011-04-17,Nuggets,,Melvin Ely,placed on IL
2011-04-17,Spurs,,Manu Ginobili,placed on IL with sprained right ankle (P) / elbow injury (CBC)
2011-04-17,Thunder,,B.J. Mullens,placed on IL
2011-04-17,Thunder,,Cole Aldrich,placed on IL
2011-04-18,Rockets,,Luis Scola,arthroscopic surgery on left knee (out indefinitely)
2011-04-19,Hawks,,Etan Thomas,placed on IL
2011-04-19,Hawks,Hilton Armstrong,,activated from IL
2011-04-19,Knicks,,Chauncey Billups,placed on IL with strained left knee
2011-04-19,Knicks,Derrick Brown,,activated from IL
2011-04-20,Lakers,,Trey Johnson,placed on IL
2011-04-20,Lakers,Steve Blake,,activated from IL
2011-04-20,Spurs,Manu Ginobili,,activated from IL
2011-04-22,Magic,,Chris Duhon,sprained left ankle (DNP)
2011-04-23,Nuggets,,Timofey Mozgov,placed on IL
2011-04-23,Nuggets,Arron Afflalo,,activated from IL
2011-04-24,Hawks,,Damien Wilkins,placed on IL
2011-04-24,Hawks,Etan Thomas,,activated from IL
2011-04-24,Knicks,Chauncey Billups,,activated from IL
