Name,Country,Overall_Score,Rank,A_Score,B_Score,C_Score,Time,PlaceCat,Region,Event,Gender,B_Score_Cat,A_Ded_Cnt,Nandu_Miss,Nandu_Total,Nandu_Completed
John-nun Tang,NED,8.79,17,4.60,2.29,1.90,1.30,Top20,Europe,Jianshu (Straightsword),M,Average,4,1,12,92%
Hirst Urazov,KAZ,8.74,18,4.70,2.34,1.70,1.39,Top20,MiddleEast,Jianshu (Straightsword),M,Average,3,2,14,86%
Jason Chen-Leung,CAN,8.66,19,4.70,2.41,1.55,1.40,Top20,America,Jianshu (Straightsword),M,Average,3,2,12,83%
Benoit Denolle,FRA,8.59,20,4.20,2.39,2.00,1.45,Top20,Europe,Jianshu (Straightsword),M,Average,6,0,12,100%
Sean Sumida,BRA,8.59,21,4.70,2.34,1.55,1.29,Top30,America,Jianshu (Straightsword),M,Average,3,2,12,83%
Flavio Campanile,SUI,8.58,22,4.40,2.23,1.95,1.31,Top30,MiddleEast,Jianshu (Straightsword),M,Average,6,0,12,100%
Leslie Kwan,CAN,8.56,23,4.60,2.41,1.55,1.44,Top30,America,Jianshu (Straightsword),M,Average,4,2,12,83%
Aditya Kumar,IND,8.54,24,4.60,2.39,1.55,1.26,Top30,India,Jianshu (Straightsword),M,Average,3,2,12,83%
Dan Rio Rodriguez,ESP,8.47,25,4.40,2.32,1.75,1.29,Top30,Europe,Jianshu (Straightsword),M,Average,6,2,12,83%
Yaowen Zhang,CHN,8.45,26,4.60,2.70,1.15,1.45,Top30,China,Jianshu (Straightsword),M,Superior,2,3,9,67%
Reagan Tan,AUS,7.48,27,4.30,2.08,1.10,1.36,Top30,Oceanic,Jianshu (Straightsword),M,Average,7,5,11,55%
