Nrand,region,Python,RapidMiner,R Language,SQL Language,Excel,Anaconda,Tensorflow,Tableau,scikit-learn,Keras,Apache Spark,with DL,with BD,ntools,Votes
114,usca,1,0,1,1,1,1,0,1,1,0,0,0,0,15,Anaconda;Databricks Unified Analytics Platform;Excel;KNIME;Orange;PyCharm;scikit-learn;Tableau;Teradata;TIBCO Spotfire;Other free analytics/data mining tools;Python;R Language;SQL Language;Unix shell/awk/gawk
258,usca,1,0,1,1,1,1,0,1,1,0,0,0,0,14,Anaconda;Databricks Unified Analytics Platform;Excel;JMP;Microsoft Power BI;Microsoft SQL Server;SAS Base;SAS Enterprise Miner;scikit-learn;Solver (former XLMiner);Tableau;Python;R Language;SQL Language
1988,usca,1,0,0,0,0,0,1,0,1,1,0,1,0,5,MATLAB;scikit-learn;Python;Keras;Tensorflow
1322,usca,1,0,0,1,0,1,0,0,0,0,0,0,0,4,Anaconda;Other free analytics/data mining tools;Python;SQL Language
1652,euro,0,1,1,1,0,0,0,0,0,0,0,0,0,6,Pentaho;RapidMiner;Weka;R Language;SQL Language;Unix shell/awk/gawk
928,euro,1,1,0,1,0,0,0,0,1,0,0,0,1,6,Microsoft SQL Server;RapidMiner;scikit-learn;Python;SQL Language;SQL on Hadoop tools
1458,usca,1,1,0,0,0,0,0,0,0,0,0,1,0,3,RapidMiner;Python;Other Deep Learning Tools
1767,euro,1,1,0,0,0,1,1,1,0,1,0,1,0,10,Amazon Machine Learning;Anaconda;IBM SPSS Modeler;Microsoft Azure Machine Learning;RapidMiner;Tableau;C/C++;Python;Keras;Tensorflow
1,usca,1,0,0,0,0,0,0,0,0,0,0,0,0,3,SAS Base;SAS Enterprise Miner;Python
1605,euro,0,0,1,1,0,0,0,0,0,0,0,0,1,9,Microsoft Power BI;Microsoft SQL Server;TIBCO Spotfire;TIBCO Statistica;Other paid analytics/data mining/data science software;R Language;SQL Language;Other programming and data languages;SQL on Hadoop tools
520,usca,1,1,0,0,0,0,0,0,0,0,0,0,0,4,MATLAB;RapidMiner;Weka;Python
184,euro,1,1,1,0,1,1,0,0,0,1,0,1,0,10,Anaconda;Excel;KNIME;Orange;RapidMiner;Rattle;Weka;Python;R Language;Keras
434,asia,1,0,1,0,1,1,0,0,1,1,0,1,0,7,Anaconda;DataRobot;Excel;scikit-learn;Python;R Language;Keras
521,euro,1,1,0,0,0,0,0,1,0,0,0,0,0,3,RapidMiner;Tableau;Python
204,euro,1,1,0,1,0,1,1,1,0,1,0,1,0,10,Anaconda;PyCharm;RapidMiner;Tableau;C/C++;Python;SQL Language;Keras;PyTorch;Tensorflow
1636,usca,1,0,1,1,0,0,1,1,1,1,1,1,1,16,Amazon Machine Learning;MATLAB;Microsoft Azure Machine Learning;Microsoft Power BI;Microsoft SQL Server;PyCharm;scikit-learn;Tableau;Weka;Python;R Language;SQL Language;Apache Spark;SQL on Hadoop tools;Keras;Tensorflow
1460,usca,1,0,0,0,0,1,1,0,0,1,0,1,0,10,Anaconda;Databricks Unified Analytics Platform;Microsoft Azure Machine Learning;Microsoft SQL Server;Microsoft other ML/Data Science tools;PyCharm;Python;Keras;Microsoft Cognitive Toolkit (Prev. CNTK) ;Tensorflow
113,asia,1,0,0,1,0,0,1,0,0,0,1,1,1,9,MATLAB;Microsoft SQL Server;C/C++;Python;SQL Language;Unix shell/awk/gawk;Apache Spark;Open Source Hadoop Tools;Tensorflow
595,usca,0,0,1,1,1,0,0,0,0,0,0,0,0,5,Excel;MATLAB;Microsoft SQL Server;R Language;SQL Language
759,euro,1,0,0,0,0,1,1,0,1,1,1,1,1,14,Anaconda;Databricks Unified Analytics Platform;Dataiku;KNIME;MLlib;Orange;scikit-learn;Other free analytics/data mining tools;Python;Unix shell/awk/gawk;Apache Spark;Open Source Hadoop Tools;Keras;Tensorflow
1482,usca,0,1,0,1,1,0,0,0,0,0,0,0,0,4,Excel;Microsoft Power BI;RapidMiner;SQL Language
1506,euro,1,0,1,1,1,1,1,1,1,1,1,1,1,20,Anaconda;Dataiku;Excel;Microsoft Azure Machine Learning;Microsoft Machine Learning Server (former R Server);Microsoft SQL Server;MLlib;PyCharm;scikit-learn;Tableau;Vowpal Wabbit;Other free analytics/data mining tools;Python;R Language;SQL Language;Unix shell/awk/gawk;Apache Spark;Keras;PyTorch;Tensorflow
1427,usca,1,1,1,1,1,1,0,0,0,0,0,0,0,11,Anaconda;Excel;IBM Cognos;Microsoft Power BI;Microsoft SQL Server;QlikView;RapidMiner;Python;R Language;SQL Language;Other programming and data languages
507,euro,1,1,1,0,1,0,0,0,1,0,0,0,0,7,DataRobot;Excel;PyCharm;RapidMiner;scikit-learn;Python;R Language
789,afme,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Angoss/Datawatch;SAP Analytics/Predictive Analytics;SAS Base;SQL Language
4,usca,0,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;Java
370,usca,1,0,1,1,0,1,1,0,1,1,1,1,1,13,Anaconda;Dataiku;H2O.ai;MLlib;scikit-learn;Java;Python;R Language;SQL Language;Apache Spark;Spark SQL;Keras;Tensorflow
1495,usca,1,0,0,1,1,0,0,0,0,0,0,0,0,8,Excel;KNIME;Microsoft Power BI;Microsoft SQL Server;PyCharm;Java;Python;SQL Language
539,asia,1,0,0,0,1,0,1,0,0,0,0,1,0,4,Excel;PyCharm;Python;Tensorflow
669,euro,0,0,0,0,0,0,0,0,0,0,0,0,0,3,IBM Data Science Experience;IBM SPSS Modeler;IBM SPSS Statistics
1498,euro,1,1,1,1,0,1,1,0,1,1,1,1,1,13,Anaconda;H2O.ai;PyCharm;RapidMiner;scikit-learn;Python;R Language;SQL Language;Other programming and data languages;Apache Spark;Spark SQL;Keras;Tensorflow
177,usca,1,1,0,0,1,0,0,0,0,0,0,0,0,4,Excel;JMP;RapidMiner;Python
35,euro,1,1,1,1,0,1,1,0,1,1,0,1,0,12,Anaconda;Microsoft Azure Machine Learning;Microsoft Machine Learning Server (former R Server);Microsoft other ML/Data Science tools;RapidMiner;scikit-learn;Python;R Language;SQL Language;Keras;Microsoft Cognitive Toolkit (Prev. CNTK) ;Tensorflow
942,asia,1,1,0,0,0,0,1,0,0,0,0,1,0,6,KNIME;RapidMiner;Java;Python;Tensorflow;TFLearn
1058,afme,1,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;Python
801,asia,1,0,1,0,0,1,1,0,1,1,1,1,1,9,Anaconda;H2O.ai;scikit-learn;Python;R Language;Apache Spark;SQL on Hadoop tools;Keras;Tensorflow
1963,euro,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Mathematica;RapidMiner
1837,euro,0,0,1,0,0,0,0,0,0,0,0,0,0,4,KNIME;QlikView;Weka;R Language
269,asia,0,1,0,0,0,0,0,0,0,0,0,0,1,4,Orange;RapidMiner;SQL on Hadoop tools;Spark SQL
442,usca,0,1,0,1,0,0,0,0,0,0,0,0,0,3,Microsoft Power BI;RapidMiner;SQL Language
1607,usca,1,1,0,1,0,1,1,0,1,0,0,1,0,7,Anaconda;DataRobot;RapidMiner;scikit-learn;Python;SQL Language;Tensorflow
524,usca,0,1,0,1,1,0,0,1,0,0,0,0,0,5,Excel;Microsoft Power BI;RapidMiner;Tableau;SQL Language
