"state","year","schools_offering","total","passed","female","female_passed","black","black_passed","black_male","black_male_passed","black_female","black_female_passed","hispanic","hispanic_passed","hispanic_female","hispanic_female_passed","hispanic_male","hispanic_male_passed","white","white_passed","white_male","white_female","asian","asian_passed","asian_male","asian_female","male","male_passed"
"South Carolina","2011","19","214","130","55","30","14","7","10","6","4","*","4","*","1","*",,,,,,,,,,,,
"South Carolina","2012","18","276","132","63","24","24","3","12","2","12","1","10","*","3","*",,,,,,,,,,,,
"South Carolina","2013","16","275","173","57","26","19","7","13","5","6","2","14","6*","3","*",,,,,,,,,,,,
"Tennessee","2006",,"82","51","14","10","7","5","7","5","0","0","2","*","1","*",,,,,,,,,,,,
"Tennessee","2007",,"67","23","14","2","4","*","4","*","0","0","0","0","0","0",,,,,,,,,,,,
"Tennessee","2008","14","56","35","16","10","7","4","5","3","2","*","0","0","0","0",,,,,,,,,,,,
"Tennessee","2009","17","78","51","9","1","13","4","8","4","5","0","1","*","0","0",,,,,,,,,,,,
"Tennessee","2010","13","90","57","22","9","5","1","4","*","1","*","0","0","0","0",,,,,,,,,,,,
"Tennessee","2011","15","134","90","27","17","5","2","3","*","2","*","3","*","0","0",,,,,,,,,,,,
"Tennessee","2012","17","160","88","50","20","14","1","6","1","8","0","6","*","3","*",,,,,,,,,,,,
"Tennessee","2013","18","251","165","73","45","25","8","13","4","12","4","11","6","3","*",,,,,,,,,,,,
"Texas","2006",,"2411","1370","595","301","74","25","54","20","20","5","375","139","101","28*",,,,,,,,,,,,
"Texas","2007",,"2593","1398","668","323","84","18","54","12","30","6","375","128","104","25*",,,,,,,,,,,,
"Texas","2008","273","2951","1642","751","402","110","39","72","23","38","16","401","134","94","22*",,,,,,,,,,,,
"Texas","2009","294","3224","1858","926","477","122","34","74","23","48","11","445","144","130","24*","1618","1004","50.18610422","892","67.04035874","27.6674938",,,,,,
"Texas","2010","272","3392","2000","899","492","145","50","98","36","47","14","540","203","143","39*","1602","1017","47.22877358","906","68.98454746","26.70990566",,,,,,
"Texas","2011","266","3597","1945","866","410","127","44","96","37","31","7","641","202","182","40","1688","1035","46.92799555","946","60.46511628","26.29969419",,,,,,
"Texas","2012","278","3614","2102","838","415","142","52","110","43","32","9","609","211","153","26*","1717","1066","47.50968456","950","70.63157895","26.28666298",,,,,,
"Texas","2013","271","3979","2454","910","520","132","64","102","50","30","14","751","334","178","56*","1849","1187","46.46896205","1130","70.26548673","28.39909525",,,,,,
"Virginia","2006",,"646","390","104","53","38","10","32","10","6","0","33","14*","7","1*",,,,,,,,,,,,
"Virginia","2007",,"888","406","148","55","43","13","39","13","4","*","38","10*","8","1*",,,,,,,,,,,,
"Virginia","2008","80","859","402","137","63","42","14","32","11","10","3","40","11*","8","2*",,,,,,,,,,,,
"Virginia","2009","83","913","515","133","67","41","13","30","11","11","2","41","14","8","2",,,,,,,,,,,,
"Virginia","2010","98","1177","736","201","120","50","22","38","18","12","4","56","24","7","3*",,,,,,,,,,,,
"Virginia","2011","89","1203","715","210","114","61","20","52","19","9","1","44","24","6","*",,,,,,,,,,,,
"Virginia","2012","101","1430","854","250","140","58","14","47","12","11","2","55","26","12","2*",,,,,,,,,,,,
"Virginia","2013","110","1655","1074","308","207","78","22","62","17","16","5","90","42","9","2*",,,,,,,,,,,,
