ID,YouTube Channel Name,Subscribers_Thousands_or_Million,Appx_Actual_Subscribers,YouTube_Channel_Link,Below_1k,Between_1k_5k,Between_5k_10k,Between_10k_25k,Between_25k_50k,Between_50k_100k,Between_100k_150k,Between_150k_200k,Between_200k_1m,Above_1m
39,H2O.ai, 12k,12000,https://www.youtube.com/channel/UCk6ONJlPzjw3DohAeMSgsng,0,0,0,1,0,0,0,0,0,0
40,Simcha Pollack,3.29k,3290,https://www.youtube.com/channel/UCvgxdV-O4_nfN4HjiD4Lisw,0,1,0,0,0,0,0,0,0,0
41,Abhishek Agarrwal, 18.8k,18800,https://www.youtube.com/user/abhi6878,0,0,0,1,0,0,0,0,0,0
42,KDD2016 video, 2.51k,2510,https://www.youtube.com/channel/UCPsUUDUlcTJuP-fRa7z85aQ,0,1,0,0,0,0,0,0,0,0
43,Luis Serrano, 56.6k,56600,https://www.youtube.com/channel/UCgBncpylJ1kiVaPyP-PZauQ,0,0,0,0,0,1,0,0,0,0
44,Hasan Shaukat, 2.32k,2320,https://www.youtube.com/channel/UCRfoOlbTydZLRECzZtyDB5A/videos,0,1,0,0,0,0,0,0,0,0
45,Packt Video, 55.7k,55700,https://www.youtube.com/channel/UC3VydBGBl132baPCLeDspMQ,0,0,0,0,0,1,0,0,0,0
46,StatQuest with Josh Starmer,235k,235000,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,0,0,0,0,0,0,0,0,1,0
47,MrExcel.com, 81.9k,81900,https://www.youtube.com/channel/UCXbicpVq_ALWG4ijPKsR7ZQ,0,0,0,0,0,1,0,0,0,0
48,Microsoft Power BI, 198k,198000,https://www.youtube.com/channel/UCy--PYvwBwAeuYaR8JLmrfg,0,0,0,0,0,0,0,1,0,0
49,My E-Lesson, 394k,394000,https://www.youtube.com/channel/UCtGMoQ5di1i0yswzxVbQujw,0,0,0,0,0,0,0,0,1,0
50,Dinesh Kumar Takyar, 102k,102000,https://www.youtube.com/channel/UC-vzNYU9x8IYPk_r89mGvXA,0,0,0,0,0,0,1,0,0,0
51,ExcelIsFun, 652k,652000,https://www.youtube.com/channel/UCkndrGoNpUDV-uia6a9jwVg,0,0,0,0,0,0,0,0,1,0
52,Siraj Raval, 698k,698000,https://www.youtube.com/channel/UCWN3xxRkmTPmbKwht9FuE5A,0,0,0,0,0,0,0,0,1,0
53,Contextures Inc., 42.8k,42800,https://www.youtube.com/channel/UCNFqyNLJshdysCyj-xeegnA,0,0,0,0,1,0,0,0,0,0
54,Excel & Power BI Tuts from Chandoo, 48.3k,48300,https://www.youtube.com/channel/UC8uU_wruBMHeeRma49dtZKA,0,0,0,0,1,0,0,0,0,0
55,Leila Gharani, 374k,374000,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA/,0,0,0,0,0,0,0,0,1,0
56,Trump Excel, 78.1k,78100,https://www.youtube.com/user/trumpexcel/videos,0,0,0,0,0,1,0,0,0,0
57,Telusko, 873k,873000,https://www.youtube.com/user/javaboynavin,0,0,0,0,0,0,0,0,1,0
58,BeardedDev, 2.68k,2680,https://www.youtube.com/channel/UCWczzX6DyFV2KOYP_-CEZUA/videos,0,1,0,0,0,0,0,0,0,0
59,Data Science Festival, 2.09k,2090,https://www.youtube.com/channel/UCB02fDSj9GR4rhb1APMNclw/videos,0,1,0,0,0,0,0,0,0,0
60,Sigma Coding, 65k,65000,https://www.youtube.com/channel/UCBsTB02yO0QGwtlfiv5m25Q,0,0,0,0,0,1,0,0,0,0
61,Michael Galarnyk, 7.99k,7990,https://www.youtube.com/channel/UC2QvKS5O6QhqaZi4LyAEUnA,0,0,1,0,0,0,0,0,0,0
