"","Country","No_of_players","avg_rating","Midpoint_rating","lowest_rating","highest_rating","avg_age","Midpoint_age","lowest_age","highest_Age","avg_height","Midpoint_height","lowest_height","highest_height","avg_weight","Midpoint_weight","lowest_weight","highest_weight"
"107","Nigeria",129,68.062015503876,68,51,84,24.4263565891473,24,17,37,182.178294573643,183,163,201,76.922480620155,77,62,98
"108","North Macedonia",29,66.5862068965517,67,54,78,25.4827586206897,26,19,32,182.689655172414,183,170,195,75.1379310344828,75,62,89
"109","Northern Ireland",67,63.089552238806,64,47,79,26.044776119403,26,17,40,180.820895522388,180,170,198,74,73,61,94
"110","Norway",360,63.7555555555556,64,50,88,24.2694444444444,24,16,38,182.702777777778,183,168,200,75.6972222222222,75,60,96
"111","Palestine",1,66,66,66,66,23,23,23,23,182,182,182,182,76,76,76,76
"112","Panama",10,67.6,68.5,54,73,27.7,28.5,21,33,180,179,170,193,75.4,75,64,82
"113","Papua New Guinea",1,64,64,64,64,26,26,26,26,175,175,175,175,67,67,67,67
"114","Paraguay",171,66.0526315789474,66,52,78,26.5614035087719,26,17,40,178.643274853801,179,164,195,76.6959064327485,76,60,93
"115","Peru",140,65.9714285714286,66,56,79,25.2928571428571,25,18,39,178.235714285714,178,160,196,74.6,74.5,60,91
"116","Philippines",5,67,68,57,74,27.6,27,26,32,183.2,182,177,191,78.2,76,68,95
"117","Poland",387,63.6511627906977,64,50,91,24.3152454780362,23,16,41,183.713178294574,184,165,199,75.9043927648579,77,54,92
"118","Portugal",363,69.66391184573,69,54,90,24.9366391184573,24,16,39,181.107438016529,181,165,196,74.3994490358127,74,58,100
"119","Puerto Rico",3,60,60,54,66,22.3333333333333,19,18,30,175,175,167,183,71.3333333333333,70,67,77
"120","Qatar",28,66.8214285714286,66,60,76,26.8214285714286,26,22,32,179.035714285714,178.5,168,194,70.8571428571429,71.5,61,85
"121","Republic of Ireland",361,60.7479224376731,61,47,77,24.4542936288089,24,16,38,181.03324099723,180,162,199,73.6869806094183,74,58,98
"122","Romania",333,63.1591591591592,64,48,79,25.1171171171171,24,16,39,181.567567567568,181,165,198,74.9369369369369,74,60,91
"123","Russia",20,70,71.5,57,79,28.25,28,21,35,186.05,187.5,172,196,78.6,81,62,91
"124","Saint Kitts and Nevis",4,62.25,63.5,51,71,25.75,26,18,33,187.25,186.5,183,193,76.5,75.5,67,88
"125","Saint Lucia",2,65.5,65.5,64,67,27,27,26,28,186.5,186.5,183,190,80.5,80.5,75,86
"126","Saudi Arabia",311,59.6270096463022,60,48,77,25.6848874598071,25,18,36,176.218649517685,176,162,196,70.0546623794212,70,55,94
"127","Scotland",250,64.984,65,49,87,25.52,25,16,40,181.68,182,163,201,73.6,73,58,93
"128","Senegal",114,68.1929824561404,68,52,89,25.7017543859649,25.5,18,37,184.342105263158,185,167,202,76.1754385964912,75.5,56,91
"129","Serbia",101,69.3267326732673,69,54,86,26.3069306930693,26,18,37,186.762376237624,187,169,203,78.7722772277228,80,62,94
"130","Sierra Leone",11,67.1818181818182,68,56,73,25.9090909090909,26,19,37,183.727272727273,182,175,193,75.0909090909091,73,68,86
"131","Singapore",1,55,55,55,55,18,18,18,18,180,180,180,180,77,77,77,77
"132","Slovakia",63,68.031746031746,67,54,86,26.2857142857143,26,17,37,184.809523809524,185,170,198,76.8571428571429,77,64,91
"133","Slovenia",48,68.9375,68,60,89,26.2083333333333,26,19,37,184.145833333333,185.5,170,197,77.6666666666667,78.5,63,92
"134","South Africa",82,65.9634146341463,66.5,51,75,26.2560975609756,26,18,36,176.914634146341,176.5,163,197,70.6585365853659,70.5,55,94
"135","South Sudan",2,53,53,50,56,22,22,21,23,184,184,180,188,70.5,70.5,70,71
"136","Spain",1026,69.1461988304094,68,52,87,25.5614035087719,25,17,41,180.618908382066,180,162,197,73.8382066276803,74,56,94
"137","Sudan",4,60.5,59.5,57,66,24.75,24.5,23,27,181.25,181.5,174,188,70.25,72.5,57,79
"138","Suriname",14,68.4285714285714,67,60,76,29,29.5,22,36,181.214285714286,180.5,172,192,75.2142857142857,76.5,64,88
"139","Sweden",376,63.7340425531915,64,51,82,24.8377659574468,24,17,40,183.531914893617,184,163,202,76.6436170212766,76.5,57,102
"140","Switzerland",212,65.1603773584906,66,50,85,24.622641509434,24,17,38,183.391509433962,183.5,168,197,78.0660377358491,78,60,95
"141","Syria",2,66,66,64,68,26,26,25,27,183,183,180,186,79,79,72,86
"142","São Tomé e Príncipe",1,67,67,67,67,35,35,35,35,175,175,175,175,80,80,80,80
"143","Tanzania",4,60.75,60,51,72,23,22,19,29,181.25,182.5,175,185,75.5,76,70,80
"144","Thailand",2,61,61,60,62,22,22,22,22,176,176,167,185,71,71,62,80
"145","Togo",15,67.4666666666667,67,59,79,24.8,24,19,33,181.4,183,163,191,75.7333333333333,78,64,82
"146","Trinidad and Tobago",4,65.25,64,57,76,28,28,24,32,180.75,181,173,188,81,81.5,70,91
"147","Tunisia",31,66.8064516129032,67,58,79,25.6774193548387,26,19,35,183.096774193548,184,173,195,75.0645161290323,76,61,85
"148","Turkey",275,65.8145454545455,66,50,84,25.0690909090909,25,16,37,181.872727272727,181,166,202,75.1127272727273,75,55,95
"149","Uganda",10,62.7,63,52,73,25.7,25.5,19,37,179.9,181,160,191,77.5,76.5,65,88
"150","Ukraine",87,67.8045977011494,68,50,82,24.5747126436782,24,17,38,183.275862068966,184,162,198,75.6436781609195,76,58,90
"151","United Arab Emirates",19,63.3157894736842,62,57,72,25.6842105263158,25,19,33,178.368421052632,178,170,190,70.3684210526316,71,54,85
"152","United States",404,63.0470297029703,64,49,82,24.460396039604,24,16,38,182.428217821782,183,163,203,76.5866336633663,76,55,104
"153","Uruguay",247,68.2105263157895,68,55,84,26.2105263157895,25,17,41,179.412955465587,179,158,197,74.9433198380567,75,57,95
"154","Uzbekistan",3,72.3333333333333,72,70,75,27,27,26,28,181.666666666667,183,172,190,74,76,69,77
"155","Venezuela",159,64.1823899371069,64,52,78,25.0503144654088,24,16,41,178.251572327044,179,163,197,73.8930817610063,73,57,95
"156","Vietnam",1,66,66,66,66,25,25,25,25,169,169,169,169,63,63,63,63
"157","Wales",146,63.1712328767123,63,50,81,24.1506849315068,24,16,35,181.883561643836,181.5,163,203,74.5068493150685,75,57,94
"158","Zambia",11,67.6363636363636,67,55,77,25.1818181818182,24,18,37,180.090909090909,178,169,198,76.5454545454545,73,65,97
"159","Zimbabwe",15,68.6,69,60,78,27,26,19,34,181.133333333333,183,170,188,73.4666666666667,74,60,84
