Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Travel Agents,LOOK ASIA HOLIDAYS LANKA (PVT) LTD,"NO.4,DE ALWIS SQUARE,MOUNT LAVINIA.",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.4,DE ALWIS SQUARE,MOUNT LAVINIA., Colombo, Sri Lanka",79.866418,6.842919
Travel Agents,SAFFRON ISLAND (PVT) LTD,"MO. 15, SKELTON ROAD, COLOMBO 5",,Colombo,Colombo,Colombo Divisional Secretariat,"MO. 15, SKELTON ROAD, COLOMBO 5, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,RAN TOURS,"NO.333/A, VIHARA MAWATHA, MAHAWEWA",,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,"NO.333/A, VIHARA MAWATHA, MAHAWEWA, Puttalam, Sri Lanka",79.828305859,7.453959918
Travel Agents,HOLIDAYS BY DESIGN (PVT) LTD,"NO.54,WALUKARAMA ROAD,COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.54,WALUKARAMA ROAD,COLOMBO 03., Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,HAPPY LIFE TRAVELS & TOURS,"NO. 22/1, MIHINDU MAWATHA, KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,"NO. 22/1, MIHINDU MAWATHA, KURUNEGALA, Kurunegala, Sri Lanka",80.366868,7.486218
Travel Agents,INTERSUN TRAVELS (PVT) LTD,"NO.90, YORK STREET, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.90, YORK STREET, COLOMBO 01, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SAMBHUR VACATIONS & SAFARIS (PVT) LTD,"NO. T 46, "" NIWASIPURA"", KOTUGODA, JA ELA",,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,"NO. T 46, "" NIWASIPURA"", KOTUGODA, JA ELA, Gampaha, Sri Lanka",79.924780643,7.123494813
Travel Agents,LANKA SPORTREIZEN,"NO.29-B, S.DE S. JAYASINGHE MAWATHA ,KALUBOWILA, DEHIWELA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,"NO.29-B, S.DE S. JAYASINGHE MAWATHA ,KALUBOWILA, DEHIWELA, Colombo, Sri Lanka",79.877308644,6.866502725
Travel Agents,AMERASIAN TRAVELS (PVT) LTD,"NO.61/9, DHARMAPALA, MAWATHA, COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.61/9, DHARMAPALA, MAWATHA, COLOMBO 3, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,WORLD AVENUES (PVT) LTD,"NO.30, HYDE PARK CORNER, COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.30, HYDE PARK CORNER, COLOMBO 2, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,QWEST DESTINATIONS (PVT) LTD,"NO.119A, CASTLE STREET, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.119A, CASTLE STREET, COLOMBO 08, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,KAWAIKI TOURS & TRAVELS (PVT) LTD,"NO.31, JESWEL PLACE, MIRIHANA, NUGEGODA",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.31, JESWEL PLACE, MIRIHANA, NUGEGODA, Colombo, Sri Lanka",79.893438,6.877014
Travel Agents,HAFSA TRAVELS & TOURS (PVT) LTD,"NO. 13 A1, KURUNEGALA ROAD , PUTTALAM",,Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,"NO. 13 A1, KURUNEGALA ROAD , PUTTALAM, Puttalam, Sri Lanka",79.83367,8.031354
