seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
29720,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,TOT,75,1286,0.429,19.5,0.453,0.043,0.137,0.109,0.163,0.547,0.447,0.609,0.432,0.525,0.364,0.414,0.697,0.959,0,0,0.173,0.569,0,0
29721,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,SAS,40,676,0.432,18.9,0.49,0.054,0.132,0.155,0.149,0.51,0.448,0.688,0.359,0.478,0.409,0.417,0.708,0.937,0,0,0.179,0.519,0,0
29722,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,DEN,35,610,0.424,20.2,0.407,0.029,0.144,0.053,0.181,0.593,0.444,0.429,0.514,0.692,0.318,0.41,0.682,0.983,0,0,0.167,0.625,0,0
29723,2022,4382,Buddy Hield,NA,SG,29,6,NBA,TOT,81,2499,0.406,19.7,0.348,0.132,0.083,0.069,0.064,0.652,0.482,0.593,0.385,0.421,0.443,0.366,0.44,0.847,0.006,7,0.154,0.391,2,1
29724,2022,4382,Buddy Hield,NA,SG,29,6,NBA,SAC,55,1574,0.382,20.8,0.286,0.114,0.063,0.052,0.056,0.714,0.419,0.582,0.205,0.306,0.436,0.368,0.482,0.841,0.006,4,0.131,0.431,2,1
29725,2022,4382,Buddy Hield,NA,SG,29,6,NBA,IND,26,925,0.447,17.7,0.454,0.163,0.116,0.099,0.077,0.546,0.549,0.606,0.553,0.525,0.452,0.362,0.406,0.863,0.007,3,0.204,0.333,0,0
29726,2022,3582,C.J. Miles,NA,SG,34,16,NBA,BOS,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
29727,2022,4912,Cade Cunningham,NA,PG,20,1,NBA,DET,64,2088,0.416,13.8,0.648,0.214,0.249,0.113,0.072,0.352,0.472,0.588,0.432,0.431,0.324,0.314,0.235,0.711,0.02,19,0.143,0.365,2,0
29728,2022,4696,Caleb Martin,NA,SF,26,3,NBA,MIA,60,1372,0.507,12.6,0.622,0.373,0.146,0.034,0.068,0.378,0.565,0.739,0.25,0.143,0.5,0.413,0.604,0.906,0.107,36,0.452,0.4,1,0
29729,2022,4697,Cam Reddish,NA,SF,22,3,NBA,TOT,49,1012,0.404,15.7,0.549,0.211,0.125,0.108,0.105,0.451,0.442,0.593,0.471,0.273,0.279,0.359,0.525,0.833,0.042,13,0.283,0.442,0,0
29730,2022,4697,Cam Reddish,NA,SF,22,3,NBA,ATL,34,797,0.402,15.8,0.554,0.21,0.111,0.12,0.114,0.446,0.421,0.583,0.447,0.293,0.231,0.379,0.5,0.828,0.041,12,0.288,0.455,0,0
29731,2022,4697,Cam Reddish,NA,SF,22,3,NBA,NYK,15,215,0.415,15.1,0.523,0.215,0.2,0.046,0.062,0.477,0.559,0.643,0.538,0,0.75,0.258,0.632,0.875,0.046,1,0.258,0.375,0,0
29732,2022,4913,Cam Thomas,NA,SG,20,1,NBA,BRK,67,1176,0.433,16,0.654,0.107,0.145,0.25,0.151,0.346,0.52,0.574,0.521,0.548,0.434,0.27,0.415,0.702,0.002,0,0.172,0.433,0,0
29733,2022,4698,Cameron Johnson,NA,PF,25,3,NBA,PHO,66,1730,0.46,18.6,0.356,0.127,0.147,0.041,0.041,0.644,0.523,0.766,0.483,0.24,0.2,0.425,0.673,0.976,0.035,19,0.368,0.465,1,0
29734,2022,4914,Cameron McGriff,NA,SF,24,1,NBA,POR,3,46,0.357,13,0.571,0.357,0.143,0,0.071,0.429,0.375,0.4,0.5,NA,0,0.333,0.667,0,0,0,0.333,0,0,0
29735,2022,4814,Cameron Oliver,NA,SF,25,2,NBA,ATL,2,43,0.667,7.8,0.8,0.6,0.133,0,0.067,0.2,0.75,0.667,1,NA,1,0.333,0.778,1,0.067,1,0.333,0,0,0
29736,2022,4311,Cameron Payne,NA,PG,27,7,NBA,PHO,58,1278,0.409,13.8,0.641,0.187,0.3,0.112,0.041,0.359,0.449,0.536,0.381,0.53,0.333,0.336,0.183,0.634,0.002,1,0.085,0.222,1,0
29737,2022,4383,Caris LeVert,NA,SG,27,6,NBA,TOT,58,1781,0.444,12.8,0.7,0.207,0.26,0.201,0.032,0.3,0.497,0.638,0.441,0.442,0.37,0.32,0.303,0.634,0.023,20,0.129,0.303,0,0
29738,2022,4383,Caris LeVert,NA,SG,27,6,NBA,IND,39,1214,0.447,13,0.696,0.195,0.259,0.211,0.032,0.304,0.501,0.661,0.453,0.42,0.45,0.323,0.295,0.574,0.024,15,0.138,0.346,0,0
29739,2022,4383,Caris LeVert,NA,SG,27,6,NBA,CLE,19,567,0.435,12.4,0.711,0.241,0.263,0.177,0.03,0.289,0.485,0.589,0.41,0.512,0.143,0.313,0.325,0.81,0.022,5,0.104,0.143,0,0
29740,2022,4915,Carlik Jones,NA,PG,24,1,NBA,TOT,5,23,0.111,10.1,0.889,0.333,0.111,0.333,0.111,0.111,0.125,0.333,0,0,0,0,0,NA,0,0,1,0,0,0
29741,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DAL,3,19,0,10,0.857,0.286,0.143,0.429,0,0.143,0,0,0,0,NA,0,NA,NA,0,0,1,0,0,0
29742,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DEN,2,4,0.5,10.2,1,0.5,0,0,0.5,0,0.5,1,NA,NA,0,NA,0,NA,0,0,NA,NA,0,0
29743,2022,3435,Carmelo Anthony,NA,PF,37,19,NBA,LAL,69,1793,0.441,19.1,0.451,0.101,0.066,0.152,0.131,0.549,0.521,0.671,0.417,0.5,0.484,0.375,0.482,0.919,0.019,11,0.171,0.412,0,0
29744,2022,4699,Carsen Edwards,NA,SG,23,3,NBA,DET,4,79,0.3,17.6,0.467,0.233,0.067,0.1,0.067,0.533,0.357,0.286,0,0.333,1,0.25,0.4,0.25,0,0,0.063,1,0,0
29745,2022,4815,Cassius Stanley,NA,SG,22,2,NBA,DET,9,155,0.413,12.5,0.63,0.152,0.413,0.043,0.022,0.37,0.517,0.571,0.526,0.5,0,0.235,0.6,1,0.022,0,0.471,0.25,0,0
29746,2022,4816,Cassius Winston,NA,PG,23,2,NBA,WAS,7,39,0.364,19.1,0.455,0.091,0.091,0.182,0.091,0.545,0.4,0,0,0.5,1,0.333,0.5,1,0,0,0.167,0,0,0
29747,2022,4916,Cat Barber,NA,PG,27,1,NBA,ATL,3,13,0,9.6,1,0.5,0,0,0.5,0,0,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0
29748,2022,4479,Cedi Osman,NA,SF,26,5,NBA,CLE,66,1462,0.432,17.9,0.372,0.227,0.107,0.017,0.021,0.628,0.559,0.654,0.443,0.2,0.417,0.357,0.689,0.867,0.014,8,0.181,0.415,1,0
29749,2022,4596,Chandler Hutchison,NA,SF,25,4,NBA,PHO,6,22,0.5,5,1,0.5,0.5,0,0,0,0.5,0,1,NA,NA,NA,1,NA,0,0,NA,NA,0,0
29750,2022,4917,Charles Bassey,NA,PF,21,1,NBA,PHI,23,168,0.638,5.6,0.915,0.574,0.213,0.106,0.021,0.085,0.698,0.741,0.7,0.6,0,0,0.667,NA,0.319,13,0.25,0,0,0
29751,2022,4700,Charlie Brown,NA,SG,24,3,NBA,TOT,22,177,0.256,11,0.692,0.385,0.205,0.077,0.026,0.308,0.333,0.467,0.25,0,0,0.083,0.444,1,0.077,2,0.167,0,0,0
29752,2022,4700,Charlie Brown,NA,SG,24,3,NBA,DAL,3,15,0.2,17.2,0.4,0.2,0,0.2,0,0.6,0.5,1,NA,0,NA,0,0,NA,0.2,1,0.333,0,0,0
29753,2022,4700,Charlie Brown,NA,SG,24,3,NBA,PHI,19,162,0.265,10,0.735,0.412,0.235,0.059,0.029,0.265,0.32,0.429,0.25,0,0,0.111,0.5,1,0.059,1,0.111,0,0,0
29754,2022,4918,Chaundee Brown Jr.,NA,SG-SF,23,1,NBA,TOT,5,104,0.313,17.9,0.438,0.188,0.094,0.156,0,0.563,0.286,0.5,0,0.2,NA,0.333,0.5,1,0,0,0.222,0.25,1,0
29755,2022,4918,Chaundee Brown Jr.,NA,SF,23,1,NBA,LAL,2,21,0.143,13.2,0.571,0.286,0.143,0.143,0,0.429,0.25,0.5,0,0,NA,0,0,NA,0,0,0.333,0,0,0
29756,2022,4918,Chaundee Brown Jr.,NA,SG,23,1,NBA,ATL,3,83,0.36,19.2,0.4,0.16,0.08,0.16,0,0.6,0.3,0.5,0,0.25,NA,0.4,0.667,1,0,0,0.2,0.333,1,0
29757,2022,4385,Cheick Diallo,NA,C,25,5,NBA,DET,3,31,0.375,3.1,1,0.375,0.625,0,0,0,0.375,0.667,0.2,NA,NA,NA,0.333,NA,0.125,1,NA,NA,0,0
29758,2022,4597,Chimezie Metu,NA,C,24,4,NBA,SAC,60,1279,0.452,14,0.586,0.229,0.223,0.085,0.049,0.414,0.555,0.718,0.49,0.368,0.409,0.306,0.74,0.965,0.167,63,0.301,0.304,0,0
29759,2022,4481,Chris Boucher,NA,PF,29,5,NBA,TOR,80,1690,0.464,12.1,0.603,0.43,0.113,0.026,0.035,0.397,0.575,0.661,0.4,0.4,0.2,0.297,0.67,0.985,0.128,67,0.275,0.429,1,0
