seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
29751,2022,4700,Charlie Brown,NA,SG,24,3,NBA,TOT,22,2,177,2.8,11,0.256,0.3,3.4,0.083,2.5,7.6,0.333,2.5,2.8,0.9,3.9,5.1,9,1.7,2.8,1.1,1.4,5.1,8.5,88,109
29752,2022,4700,Charlie Brown,NA,SG,24,3,NBA,DAL,3,0,15,3.4,16.8,0.2,0,10.1,0,3.4,6.7,0.5,0,0,NA,0,3.4,3.4,3.4,6.7,3.4,0,6.7,6.7,56,96
29753,2022,4700,Charlie Brown,NA,SG,24,3,NBA,PHI,19,2,162,2.8,10.5,0.265,0.3,2.8,0.111,2.5,7.7,0.32,2.8,3.1,0.9,4.3,5.2,9.5,1.5,2.5,0.9,1.5,4.9,8.6,92,110
29754,2022,4918,Chaundee Brown Jr.,NA,SG-SF,23,1,NBA,TOT,5,2,104,4.7,15,0.313,2.8,8.5,0.333,1.9,6.6,0.286,2.4,2.8,0.833,0.5,7.1,7.5,1.9,0.9,0,0.5,3.3,14.6,98,117
29755,2022,4918,Chaundee Brown Jr.,NA,SF,23,1,NBA,LAL,2,0,21,2.3,16,0.143,0,6.8,0,2.3,9.1,0.25,0,0,NA,0,4.6,4.6,0,0,0,2.3,0,4.6,27,120
29756,2022,4918,Chaundee Brown Jr.,NA,SG,23,1,NBA,ATL,3,2,83,5.3,14.8,0.36,3.6,8.9,0.4,1.8,5.9,0.3,3,3.6,0.833,0.6,7.7,8.3,2.4,1.2,0,0,4.1,17.2,118,116
29757,2022,4385,Cheick Diallo,NA,C,25,5,NBA,DET,3,0,31,4.7,12.6,0.375,0,0,NA,4.7,12.6,0.375,7.9,9.4,0.833,6.3,12.6,18.9,0,1.6,0,1.6,9.4,17.3,115,111
29758,2022,4597,Chimezie Metu,NA,C,24,4,NBA,SAC,60,20,1279,7.6,16.9,0.452,2.1,7,0.306,5.5,9.9,0.555,2.7,3.4,0.78,1.3,11.3,12.6,2.3,1.9,1.2,2.3,3.5,20.1,104,111
29759,2022,4481,Chris Boucher,NA,PF,29,5,NBA,TOR,80,9,1690,7.9,17.1,0.464,2,6.8,0.297,5.9,10.3,0.575,4.4,5.7,0.777,5.3,9.3,14.6,0.7,1.4,2.2,1.2,5.1,22.3,124,108
29760,2022,4598,Chris Chiozza,NA,PG,26,4,NBA,GSW,34,1,372,3.1,10.6,0.296,2.2,6.9,0.321,0.9,3.7,0.25,0.3,0.4,0.667,1.2,3.5,4.7,8.5,1.7,0,4.2,4.2,8.8,88,110
29761,2022,4919,Chris Duarte,NA,SG,24,1,NBA,IND,55,39,1541,8.5,19.7,0.432,3,8.1,0.369,5.5,11.6,0.475,2.9,3.6,0.804,1.3,5.9,7.2,3.6,1.8,0.3,2.9,3,22.9,104,117
29762,2022,3585,Chris Paul,NA,PG,36,17,NBA,PHO,65,65,2139,8.2,16.6,0.493,1.4,4.5,0.317,6.7,12.1,0.559,3.8,4.5,0.837,0.5,5.9,6.4,15.8,2.7,0.4,3.4,3,21.6,124,107
29763,2022,4702,Chris Silva,NA,PF,25,3,NBA,TOT,10,0,91,4.4,8.2,0.533,0,0,NA,4.4,8.2,0.533,5.5,6.6,0.833,7.1,12.6,19.8,3.8,0,0.5,4.4,11,14.3,119,109
29764,2022,4702,Chris Silva,NA,PF,25,3,NBA,MIN,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,15.9,15.9,0,0,0,0,0,0,NA,111
29765,2022,4702,Chris Silva,NA,PF,25,3,NBA,MIA,9,0,88,4.5,8.5,0.533,0,0,NA,4.5,8.5,0.533,5.7,6.8,0.833,7.4,12.5,19.9,4,0,0.6,4.5,11.4,14.8,119,109
29766,2022,4313,Christian Wood,NA,C,26,6,NBA,HOU,68,67,2094,10,20,0.501,3,7.6,0.39,7,12.3,0.57,4.7,7.5,0.623,2.5,13.1,15.6,3.5,1.2,1.5,2.9,3.9,27.7,114,113
29767,2022,4817,Chuma Okeke,NA,PF,23,2,NBA,ORL,70,20,1749,6,15.9,0.376,3.3,10.3,0.318,2.7,5.6,0.48,1.5,1.8,0.846,1.3,8.3,9.6,3.3,2.7,1.2,1.6,2.6,16.7,101,109
29768,2022,4818,CJ Elleby,NA,SF,21,2,NBA,POR,58,28,1174,5,12.8,0.393,1.5,5.2,0.294,3.5,7.6,0.462,2.5,3.5,0.714,2.7,6.7,9.4,3.6,1.5,0.8,2.3,4.8,14.1,102,117
29769,2022,4154,CJ McCollum,NA,SG,30,9,NBA,TOT,62,62,2145,12.3,26.6,0.46,4.2,10.7,0.388,8.1,15.9,0.509,2.7,3.9,0.682,1.2,4.9,6.2,7.2,1.6,0.5,2.9,2.8,31.3,111,117
29770,2022,4154,CJ McCollum,NA,SG,30,9,NBA,POR,36,36,1267,11.2,25.6,0.436,4.3,11.1,0.384,6.9,14.5,0.476,1.9,2.6,0.706,1.3,4.6,5.9,6.3,1.4,0.8,2.7,3,28.5,107,119
29771,2022,4154,CJ McCollum,NA,SG,30,9,NBA,NOP,26,26,878,13.8,28.1,0.493,4,10.1,0.394,9.8,17.9,0.549,3.8,5.7,0.667,1.1,5.5,6.5,8.5,1.9,0.1,3.2,2.5,35.5,116,114
29772,2022,4230,Clint Capela,NA,C,27,8,NBA,ATL,74,73,2042,8.9,14.5,0.613,0,0,0,8.9,14.5,0.614,1.9,4.1,0.473,6.7,14.4,21.1,2.2,1.3,2.2,1.1,4,19.7,132,109
29773,2022,4703,Coby White,NA,PG,21,3,NBA,CHI,61,17,1675,8.1,18.8,0.433,4,10.3,0.385,4.2,8.5,0.491,2.3,2.7,0.857,0.5,4.8,5.3,5.1,0.8,0.3,2,4,22.5,111,117
29774,2022,4704,Cody Martin,NA,SF,26,3,NBA,CHO,71,11,1866,5.2,10.9,0.482,1.6,4.1,0.384,3.7,6.8,0.542,1.9,2.8,0.701,2.1,5.2,7.3,4.6,2.3,0.8,1.6,3,14,120,114
29775,2022,4155,Cody Zeller,NA,C,29,9,NBA,POR,27,0,355,7,12.4,0.567,0,0.6,0,7,11.8,0.593,5.2,6.7,0.776,6.9,10.3,17.2,3,1.1,0.8,2.6,7.7,19.3,127,116
29776,2022,4819,Cole Anthony,NA,PG,21,2,NBA,ORL,65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4,4,24.9,103,114
29777,2022,4599,Collin Sexton,NA,SG,23,4,NBA,CLE,11,11,316,10.7,23.9,0.45,1.7,7.1,0.244,9,16.8,0.538,4.6,6.2,0.744,2.1,3.6,5.7,3.6,1.6,0,4.9,4,27.8,96,113
29778,2022,4920,Corey Kispert,NA,SF,22,1,NBA,WAS,77,36,1801,6.4,14.1,0.455,3.1,8.8,0.35,3.4,5.3,0.629,1.5,1.7,0.871,1.5,4.3,5.7,2.3,1,0.6,1.4,2.6,17.4,114,118
29779,2022,3992,Cory Joseph,NA,PG,30,11,NBA,DET,65,39,1600,5.4,12.2,0.445,2,4.8,0.414,3.4,7.4,0.465,3,3.4,0.885,0.9,4.4,5.3,7.2,1.3,0.5,2.6,4.5,15.9,115,116
29780,2022,4921,Craig Sword,NA,SG,28,1,NBA,WAS,3,0,19,7.8,10.4,0.75,0,2.6,0,7.8,7.8,1,0,0,NA,0,0,0,2.6,10.4,0,2.6,18.2,15.6,115,99
29781,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,TOT,55,2,883,5.1,12,0.423,3.7,8.9,0.415,1.4,3.1,0.448,2.1,2.3,0.884,0.6,3.1,3.7,5.8,0.9,0.1,3,2.1,15.9,112,120
29782,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,HOU,34,2,510,5.1,12.7,0.404,3.6,9,0.406,1.5,3.7,0.4,3.1,3.5,0.868,0.7,3.2,3.8,6.9,0.9,0,4.2,1.6,17,107,121
29783,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,LAL,21,0,373,5,11.1,0.453,3.7,8.7,0.426,1.3,2.3,0.556,0.6,0.6,1,0.5,3,3.5,4.2,0.9,0.1,1.4,2.8,14.4,123,118
