seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
29701,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,TOT,23,320,92,8,NA,NA,NA,-4.6,-0.9,15,5,17,1,12,1,133,5,12
29702,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,IND,22,293,92,9,NA,NA,NA,-7.7,-3.9,15,5,16,1,10,1,117,4,12
29703,2022,4591,Brad Wanamaker,NA,PG,32,4,NBA,WAS,1,27,100,NA,NA,NA,NA,28.5,32,0,0,1,0,2,0,16,1,0
29704,2022,4072,Bradley Beal,NA,SG,28,10,NBA,WAS,40,1439,16,83,1,NA,NA,-3.2,0.1,77,38,50,10,86,17,623,16,34
29705,2022,4909,Brandon Boston Jr.,NA,SG,20,1,NBA,LAC,51,760,12,41,45,2,NA,-2.2,-2.9,10,9,20,0,30,2,120,5,26
29706,2022,4693,Brandon Clarke,NA,PF,25,3,NBA,MEM,64,1246,NA,NA,17,82,1,8,3.2,6,10,59,12,61,4,206,21,26
29707,2022,4592,Brandon Goodwin,NA,PG,26,4,NBA,CLE,36,502,100,NA,NA,NA,NA,-5,-8.1,28,4,7,3,17,5,220,7,16
29708,2022,4379,Brandon Ingram,NA,SF,24,6,NBA,NOP,55,1869,NA,23,60,17,NA,3.2,8.1,67,49,55,23,139,9,751,36,42
29709,2022,3985,Brandon Knight,NA,PG,30,9,NBA,DAL,5,65,50,51,NA,NA,NA,-8.3,-12.1,2,0,2,1,0,1,20,0,2
29710,2022,4910,Brandon Williams,1999,PG,22,1,NBA,POR,24,640,100,NA,NA,NA,NA,-21.4,-14.9,36,18,31,1,40,5,224,8,22
29711,2022,4911,Braxton Key,NA,SF,24,1,NBA,TOT,11,197,NA,NA,8,87,6,5.9,14.3,8,2,15,1,6,4,25,3,4
29712,2022,4911,Braxton Key,NA,SF,24,1,NBA,PHI,2,6,NA,NA,NA,100,NA,-28.6,-31.3,1,1,1,0,0,0,2,0,0
29713,2022,4911,Braxton Key,NA,SF,24,1,NBA,DET,9,191,NA,NA,8,86,6,7,15.7,7,1,14,1,6,4,23,3,4
29714,2022,4813,Brodric Thomas,NA,SG,25,2,NBA,BOS,12,60,59,41,NA,NA,NA,2.9,-4.9,3,3,4,0,3,0,26,1,1
29715,2022,3801,Brook Lopez,NA,C,33,14,NBA,MIL,13,298,NA,NA,NA,NA,100,-1.5,-5.1,4,2,18,5,10,0,14,3,5
29716,2022,4594,Bruce Brown,NA,SF,25,4,NBA,BRK,72,1774,NA,26,65,9,NA,0.5,-1.6,26,16,93,9,70,6,364,22,38
29717,2022,4695,Bruno Fernando,NA,C,23,3,NBA,TOT,30,152,NA,NA,NA,5,96,-8.5,-6,3,3,11,6,11,0,16,6,7
29718,2022,4695,Bruno Fernando,NA,C,23,3,NBA,BOS,20,58,NA,NA,NA,12,88,-18.8,-26.9,0,1,2,2,2,0,10,1,2
29719,2022,4695,Bruno Fernando,NA,C,23,3,NBA,HOU,10,94,NA,NA,NA,NA,100,-2.2,7,3,2,9,4,9,0,6,5,5
29720,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,TOT,75,1286,15,79,7,NA,NA,0.3,-1.1,24,17,46,7,36,3,183,8,29
29721,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,SAS,40,676,28,70,2,NA,NA,-3.8,-4.8,15,7,16,5,18,3,92,3,16
29722,2022,4381,Bryn Forbes,NA,SG,28,6,NBA,DEN,35,610,1,88,12,NA,NA,4.8,2.9,9,10,30,2,18,0,91,5,13
29723,2022,4382,Buddy Hield,NA,SG,29,6,NBA,TOT,81,2499,1,39,57,2,NA,-4,1.3,88,45,87,10,31,7,548,9,57
29724,2022,4382,Buddy Hield,NA,SG,29,6,NBA,SAC,55,1574,NA,31,66,3,NA,-5.2,0.4,51,28,51,5,24,3,250,5,31
29725,2022,4382,Buddy Hield,NA,SG,29,6,NBA,IND,26,925,4,53,43,1,NA,-1.9,2.9,37,17,36,5,7,4,298,4,26
29726,2022,3582,C.J. Miles,NA,SG,34,16,NBA,BOS,1,2,NA,100,NA,NA,NA,-125,-132.8,0,0,1,0,0,0,0,0,0
29727,2022,4912,Cade Cunningham,NA,PG,20,1,NBA,DET,64,2088,3,86,11,NA,NA,-6.8,2.7,123,67,93,25,61,5,837,14,77
29728,2022,4696,Caleb Martin,NA,SF,26,3,NBA,MIA,60,1372,NA,20,58,22,NA,7,3.7,21,12,48,9,45,17,165,9,23
29729,2022,4697,Cam Reddish,NA,SF,22,3,NBA,TOT,49,1012,NA,NA,80,20,NA,-9.3,-13.2,20,21,29,4,53,6,115,9,23
29730,2022,4697,Cam Reddish,NA,SF,22,3,NBA,ATL,34,797,NA,1,80,19,NA,-9.5,-14.2,17,16,20,3,38,5,93,7,20
29731,2022,4697,Cam Reddish,NA,SF,22,3,NBA,NYK,15,215,NA,NA,79,21,NA,-8.4,-9.2,3,5,9,1,15,1,22,2,3
29732,2022,4913,Cam Thomas,NA,SG,20,1,NBA,BRK,67,1176,1,54,43,2,NA,-6.2,-10.9,23,19,42,6,46,1,177,10,27
29733,2022,4698,Cameron Johnson,NA,PF,25,3,NBA,PHO,66,1730,NA,NA,3,91,6,6.9,-1.5,24,15,60,3,55,16,232,18,29
29734,2022,4914,Cameron McGriff,NA,SF,24,1,NBA,POR,3,46,NA,NA,14,78,8,7.5,16.6,0,0,4,0,1,0,8,0,0
29735,2022,4814,Cameron Oliver,NA,SF,25,2,NBA,ATL,2,43,NA,NA,NA,38,62,3.5,1.7,0,0,3,0,2,0,7,1,0
29736,2022,4311,Cameron Payne,NA,PG,27,7,NBA,PHO,58,1278,81,19,NA,NA,NA,6.1,-2.4,61,28,52,9,40,25,682,11,33
29737,2022,4383,Caris LeVert,NA,SG,27,6,NBA,TOT,58,1781,8,70,22,NA,NA,-2.2,0.4,45,42,57,8,93,16,602,19,52
29738,2022,4383,Caris LeVert,NA,SG,27,6,NBA,IND,39,1214,8,60,31,NA,NA,-1.4,3.7,29,30,39,5,67,11,415,14,38
29739,2022,4383,Caris LeVert,NA,SG,27,6,NBA,CLE,19,567,7,91,2,NA,NA,-3.7,-6.8,16,12,18,3,26,5,187,5,14
29740,2022,4915,Carlik Jones,NA,PG,24,1,NBA,TOT,5,23,100,NA,NA,NA,NA,-33.2,-36.7,2,1,0,0,0,0,11,0,0
29741,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DAL,3,19,100,NA,NA,NA,NA,-35.5,-39.3,2,1,0,0,0,0,11,0,0
29742,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DEN,2,4,100,NA,NA,NA,NA,-22.2,-24.6,0,0,0,0,0,0,0,0,0
29743,2022,3435,Carmelo Anthony,NA,PF,37,19,NBA,LAL,69,1793,NA,NA,NA,59,41,-3,0.3,20,9,87,22,60,2,167,13,18
29744,2022,4699,Carsen Edwards,NA,SG,23,3,NBA,DET,4,79,16,69,15,NA,NA,-8.8,-0.8,3,0,2,0,1,0,34,1,5
29745,2022,4815,Cassius Stanley,NA,SG,22,2,NBA,DET,9,155,5,49,46,NA,NA,-4.4,3.8,3,2,9,1,5,2,10,2,2
29746,2022,4816,Cassius Winston,NA,PG,23,2,NBA,WAS,7,39,59,41,NA,NA,NA,-13.9,-10.8,2,1,5,0,1,0,16,0,1
29747,2022,4916,Cat Barber,NA,PG,27,1,NBA,ATL,3,13,100,NA,NA,NA,NA,35.7,34,0,1,1,0,1,0,8,0,1
29748,2022,4479,Cedi Osman,NA,SF,26,5,NBA,CLE,66,1462,NA,32,60,9,NA,-1.9,-6.3,34,19,48,8,55,10,330,15,26
29749,2022,4596,Chandler Hutchison,NA,SF,25,4,NBA,PHO,6,22,NA,16,54,30,NA,30.6,23,0,2,0,0,1,0,5,0,0
29750,2022,4917,Charles Bassey,NA,PF,21,1,NBA,PHI,23,168,NA,NA,NA,20,80,-10.6,-13.8,1,4,21,0,7,0,18,2,3
29751,2022,4700,Charlie Brown,NA,SG,24,3,NBA,TOT,22,177,5,57,38,1,NA,-0.6,-3.2,4,1,11,0,4,0,15,2,5
29752,2022,4700,Charlie Brown,NA,SG,24,3,NBA,DAL,3,15,NA,35,51,14,NA,-86.4,-90.3,0,0,1,0,0,0,2,0,0
29753,2022,4700,Charlie Brown,NA,SG,24,3,NBA,PHI,19,162,5,59,36,NA,NA,7.4,4.9,4,1,10,0,4,0,13,2,5
29754,2022,4918,Chaundee Brown Jr.,NA,SG-SF,23,1,NBA,TOT,5,104,NA,34,61,5,NA,-7.7,-8.7,0,1,4,0,2,1,9,0,3
29755,2022,4918,Chaundee Brown Jr.,NA,SF,23,1,NBA,LAL,2,21,NA,4,71,25,NA,-2.3,0.9,0,1,0,0,0,1,0,0,1
29756,2022,4918,Chaundee Brown Jr.,NA,SG,23,1,NBA,ATL,3,83,1,41,59,NA,NA,-9.1,-11.2,0,0,4,0,2,0,9,0,2
29757,2022,4385,Cheick Diallo,NA,C,25,5,NBA,DET,3,31,NA,NA,NA,NA,100,-45.3,-37.6,0,0,3,1,3,0,0,0,1
29758,2022,4597,Chimezie Metu,NA,C,24,4,NBA,SAC,60,1279,NA,NA,NA,73,27,-5.7,-0.3,23,25,38,9,45,8,146,7,29
29759,2022,4481,Chris Boucher,NA,PF,29,5,NBA,TOR,80,1690,1,24,46,26,4,5.7,6,11,13,120,7,91,22,64,21,43
29760,2022,4598,Chris Chiozza,NA,PG,26,4,NBA,GSW,34,372,100,NA,NA,NA,NA,-7.1,-14.1,18,11,16,1,1,8,158,1,6
29761,2022,4919,Chris Duarte,NA,SG,24,1,NBA,IND,55,1541,23,62,15,NA,NA,-2.2,3,45,21,35,8,53,6,265,10,37
29762,2022,3585,Chris Paul,NA,PG,36,17,NBA,PHO,65,2139,100,NA,NA,NA,NA,10.2,5.4,108,32,48,6,34,10,1601,8,12
29763,2022,4702,Chris Silva,NA,PF,25,3,NBA,TOT,10,91,NA,NA,NA,19,81,-13.3,-18.1,2,2,13,4,6,2,17,1,3
29764,2022,4702,Chris Silva,NA,PF,25,3,NBA,MIN,1,3,NA,NA,NA,NA,100,-75,-77.5,0,0,0,0,0,0,0,0,0
29765,2022,4702,Chris Silva,NA,PF,25,3,NBA,MIA,9,88,NA,NA,NA,19,81,-11.2,-16.1,2,2,13,4,6,2,17,1,3
29766,2022,4313,Christian Wood,NA,C,26,6,NBA,HOU,68,2094,NA,NA,NA,NA,100,-9.6,-1.2,51,40,94,26,130,10,376,28,48
29767,2022,4817,Chuma Okeke,NA,PF,23,2,NBA,ORL,70,1749,NA,NA,6,89,5,-9.3,-1.9,33,14,54,3,32,4,290,5,14
29768,2022,4818,CJ Elleby,NA,SF,21,2,NBA,POR,58,1174,NA,6,60,33,1,-14.8,-8.4,35,17,57,3,41,6,200,8,12
29769,2022,4154,CJ McCollum,NA,SG,30,9,NBA,TOT,62,2145,19,76,5,NA,NA,-1.2,6.3,70,31,49,13,80,7,748,25,57
29770,2022,4154,CJ McCollum,NA,SG,30,9,NBA,POR,36,1267,4,90,7,NA,NA,-4.1,7,38,18,36,5,34,5,398,9,30
29771,2022,4154,CJ McCollum,NA,SG,30,9,NBA,NOP,26,878,41,57,1,NA,NA,3.1,5.3,32,13,13,8,46,2,350,16,27
29772,2022,4230,Clint Capela,NA,C,27,8,NBA,ATL,74,2042,NA,NA,NA,NA,100,3.7,3.9,15,14,88,7,86,15,222,19,38
29773,2022,4703,Coby White,NA,PG,21,3,NBA,CHI,61,1675,99,1,NA,NA,NA,-1,-1.2,35,18,71,11,40,10,401,6,27
29774,2022,4704,Cody Martin,NA,SF,26,3,NBA,CHO,71,1866,6,65,28,1,NA,0.5,0,34,17,49,4,48,33,437,13,28
29775,2022,4155,Cody Zeller,NA,C,29,9,NBA,POR,27,355,NA,NA,NA,NA,100,-2.8,6.8,5,3,19,8,17,4,56,1,14
29776,2022,4819,Cole Anthony,NA,PG,21,2,NBA,ORL,65,2059,99,1,NA,NA,NA,-5.9,4.9,106,48,90,4,93,20,902,21,44
29777,2022,4599,Collin Sexton,NA,SG,23,4,NBA,CLE,11,316,8,86,6,NA,NA,-6.2,-9,14,9,6,3,20,3,57,5,16
29778,2022,4920,Corey Kispert,NA,SF,22,1,NBA,WAS,77,1801,NA,35,62,2,NA,-0.1,5.8,21,14,48,7,27,6,198,6,20
29779,2022,3992,Cory Joseph,NA,PG,30,11,NBA,DET,65,1600,95,6,NA,NA,NA,-6.5,2.6,43,24,62,12,41,25,588,14,20
29780,2022,4921,Craig Sword,NA,SG,28,1,NBA,WAS,3,19,34,66,NA,NA,NA,14.5,17.8,0,1,4,0,0,0,3,0,0
29781,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,TOT,55,883,100,NA,NA,NA,NA,-11.7,-5.8,44,8,20,1,11,2,265,3,10
29782,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,HOU,34,510,100,NA,NA,NA,NA,-13.9,-5.6,33,8,8,1,9,1,181,2,5
29783,2022,3805,D.J. Augustin,NA,PG,34,14,NBA,LAL,21,373,100,NA,NA,NA,NA,-8.7,-6.1,11,0,12,0,2,1,84,1,5
29784,2022,4482,D.J. Wilson,NA,PF,25,5,NBA,TOR,4,54,NA,NA,NA,16,84,-13.9,-16.3,2,0,4,0,1,0,11,0,1
29785,2022,4317,D'Angelo Russell,NA,PG,25,7,NBA,MIN,65,2077,55,45,NA,NA,NA,3.9,3.2,114,38,58,8,71,10,1096,14,27
29786,2022,4922,Daishen Nix,NA,SG,19,1,NBA,HOU,24,261,NA,14,82,4,NA,-7.9,1.2,19,5,10,1,15,0,95,2,8
29787,2022,4820,Dakota Mathias,NA,SG,26,2,NBA,MEM,6,16,80,20,NA,NA,NA,-37.5,-43.5,0,0,0,0,0,0,2,0,0
29788,2022,4923,Dalano Banton,NA,SF,22,1,NBA,TOR,64,696,8,36,46,9,NA,2,-0.2,21,14,29,10,20,1,240,4,17
29789,2022,4387,Damian Jones,NA,C,26,6,NBA,SAC,56,1017,NA,NA,NA,NA,100,-8.6,-4.2,22,16,71,15,66,7,167,21,18
29790,2022,4077,Damian Lillard,NA,PG,31,10,NBA,POR,29,1056,100,NA,NA,NA,NA,-1.5,10.1,59,17,21,4,53,9,505,8,22
29791,2022,4484,Damion Lee,NA,SG,29,5,NBA,GSW,63,1256,4,67,29,1,NA,2.8,-4.3,9,11,50,10,23,16,160,5,12
29792,2022,4485,Damyean Dotson,NA,SG,27,5,NBA,NYK,2,21,30,70,NA,NA,NA,8.3,8.1,0,0,0,0,0,0,2,0,1
29793,2022,4705,Daniel Gafford,NA,C,23,3,NBA,WAS,72,1444,NA,NA,NA,NA,100,-6.7,-5.4,22,23,112,15,78,4,166,31,38
29794,2022,4821,Daniel Oturu,NA,C,22,2,NBA,TOR,3,27,NA,NA,NA,NA,100,-42.1,-44.6,0,0,1,0,3,0,0,1,2
29795,2022,4487,Daniel Theis,NA,C,29,5,NBA,TOT,47,977,NA,NA,NA,48,52,-3.2,-1.3,22,10,71,11,35,9,105,10,12
29796,2022,4487,Daniel Theis,NA,C,29,5,NBA,HOU,26,584,NA,NA,NA,61,40,-17.4,-9.8,17,6,34,6,17,6,52,4,7
29797,2022,4487,Daniel Theis,NA,C,29,5,NBA,BOS,21,393,NA,NA,NA,30,70,18,11.4,5,4,37,5,18,3,53,6,5
29798,2022,3807,Danilo Gallinari,NA,PF,33,13,NBA,ATL,66,1672,NA,NA,NA,76,24,2.9,1.9,10,15,36,8,63,5,241,6,12
29799,2022,3867,Danny Green,NA,SF,34,13,NBA,PHI,62,1353,NA,6,84,10,NA,2.4,-0.5,24,10,52,3,3,8,154,2,11
29800,2022,4389,Danuel House,NA,SF,28,6,NBA,TOT,42,727,NA,3,59,38,NA,3,2,21,9,27,0,22,6,106,3,12
29801,2022,4389,Danuel House,NA,SF,28,6,NBA,HOU,16,233,NA,NA,11,88,1,-7.3,1.9,11,5,10,0,5,1,48,1,5
29802,2022,4389,Danuel House,NA,SF,28,6,NBA,NYK,1,3,NA,NA,100,NA,NA,14.3,14,0,0,0,0,0,0,0,0,0
29803,2022,4389,Danuel House,NA,SF,28,6,NBA,UTA,25,491,NA,4,81,15,NA,7.9,2.1,10,4,17,0,17,5,58,2,7
29804,2022,4706,DaQuan Jeffries,NA,SG,24,3,NBA,MEM,3,9,NA,10,53,37,NA,-28.2,-34,0,0,1,0,0,0,2,0,0
29805,2022,4707,Darius Bazley,NA,PF,21,3,NBA,OKC,69,1924,NA,NA,16,77,7,-11.5,-6.4,41,36,39,6,94,6,246,20,76
29806,2022,4708,Darius Garland,NA,PG,22,3,NBA,CLE,68,2430,95,5,NA,NA,NA,6.7,12.1,146,64,49,14,78,19,1345,20,51
29807,2022,3869,Darren Collison,NA,PG,34,11,NBA,LAL,3,37,100,NA,NA,NA,NA,-21.7,-18.8,1,0,5,0,0,0,4,0,0
