seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
29725,2022,4382,Buddy Hield,NA,SG,29,6,NBA,IND,26,925,14.4,0.563,0.546,0.086,2.7,13.4,8,20.3,1.3,0.9,13,22.4,0.8,0.3,1.1,0.058,1.1,-2.2,-1.1,0.2
29726,2022,3582,C.J. Miles,NA,SG,34,16,NBA,BOS,1,2,-7.8,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0.03,-16.3,0,-16.3,0
29727,2022,4912,Cade Cunningham,NA,PG,20,1,NBA,DET,64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2
29728,2022,4696,Caleb Martin,NA,SF,26,3,NBA,MIA,60,1372,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,1.9,2.1,4,0.139,0.1,0.9,1.1,1.1
29729,2022,4697,Cam Reddish,NA,SF,22,3,NBA,TOT,49,1012,12.8,0.543,0.451,0.275,2.7,8.6,5.7,7,2.3,1.4,11.1,22.2,0.2,0.8,1,0.046,-1,-0.3,-1.3,0.2
29730,2022,4697,Cam Reddish,NA,SF,22,3,NBA,ATL,34,797,12.8,0.537,0.446,0.233,2.8,8.7,5.8,6.9,2.2,1.2,10.4,23.2,0.1,0.5,0.6,0.034,-0.8,-0.7,-1.5,0.1
29731,2022,4697,Cam Reddish,NA,SF,22,3,NBA,NYK,15,215,12.9,0.575,0.477,0.492,2.5,8.2,5.3,7.1,2.8,1.8,14.1,18.8,0.1,0.3,0.4,0.092,-2,1.2,-0.8,0.1
29732,2022,4913,Cam Thomas,NA,SG,20,1,NBA,BRK,67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,0,0.8,0.8,0.033,-1.9,-1.4,-3.4,-0.4
29733,2022,4698,Cameron Johnson,NA,PF,25,3,NBA,PHO,66,1730,15.2,0.625,0.644,0.188,2.7,14,8.5,7.7,1.6,0.8,6.7,17.5,3.2,2.4,5.6,0.156,2,0.7,2.7,2.1
29734,2022,4914,Cameron McGriff,NA,SF,24,1,NBA,POR,3,46,12.5,0.47,0.429,0.143,13.8,22.3,17.9,9.4,0,2.1,0,14,0.1,0,0.1,0.097,-1,-3,-4,0
29735,2022,4814,Cameron Oliver,NA,SF,25,2,NBA,ATL,2,43,21.4,0.705,0.2,0.2,5.1,10.1,7.6,11.1,1.1,2.1,0,16.6,0.2,0,0.2,0.219,2.3,-0.6,1.7,0
29736,2022,4311,Cameron Payne,NA,PG,27,7,NBA,PHO,58,1278,13.8,0.5,0.359,0.152,2.1,12.3,7.3,30.7,1.5,1.2,14.1,24.6,0.2,1.8,1.9,0.073,-0.4,0.4,0,0.7
29737,2022,4383,Caris LeVert,NA,SG,27,6,NBA,TOT,58,1781,15.1,0.525,0.3,0.226,2.7,10.7,6.7,22,1.4,1.1,10.3,25.4,1.2,1,2.2,0.059,0,-1.2,-1.2,0.4
29738,2022,4383,Caris LeVert,NA,SG,27,6,NBA,IND,39,1214,16.3,0.53,0.304,0.235,2.7,11.2,6.9,22.8,1.4,1.3,9.9,26.8,1.1,0.4,1.5,0.06,1,-1.3,-0.3,0.5
29739,2022,4383,Caris LeVert,NA,SG,27,6,NBA,CLE,19,567,12.4,0.511,0.289,0.203,2.6,9.7,6.2,20.5,1.4,0.8,11.6,22.3,0.1,0.6,0.7,0.057,-2.1,-1.1,-3.1,-0.2
