seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29610,2021,4795,Tyler Cook,NA,PF,23,2,NBA,BRK,4,0,17,2.1,6.4,0.333,0,0,NA,2.1,6.4,0.333,0,0,NA,2.1,2.1,4.2,4.2,0,0,2.1,4.2,4.2
29611,2021,4795,Tyler Cook,NA,SF,23,2,NBA,DET,28,1,421,5.8,8.6,0.68,0.1,0.2,0.5,5.7,8.4,0.684,1.5,3,0.486,2.3,5.6,8,1.3,0.7,0.2,1.7,2.8,13.2
29612,2021,4796,Tyler Herro,NA,SG,21,2,NBA,MIA,54,15,1635,6.8,15.4,0.439,2.4,6.5,0.36,4.4,8.9,0.498,2.1,2.6,0.803,0.6,5.4,5.9,4.1,0.8,0.4,2.2,1.6,17.9
29613,2021,4297,Tyler Johnson,NA,SG,28,7,NBA,BRK,39,3,684,3.8,9.6,0.393,2.5,6.9,0.364,1.3,2.7,0.471,0.9,1.1,0.857,0.3,3.7,4.1,2.5,0.7,0,0.9,2.3,11.1
29614,2021,4891,Tyrell Terry,NA,PG,20,1,NBA,DAL,11,0,56,3.2,10.3,0.313,0,4.5,0,3.2,5.8,0.556,0.6,1.9,0.333,0,3.9,3.9,3.9,3.2,0,1.3,1.3,7.1
29615,2021,4892,Tyrese Haliburton,NA,PG,20,1,NBA,SAC,58,20,1746,6,12.8,0.472,2.5,6.1,0.409,3.5,6.7,0.529,1,1.2,0.857,0.8,2.8,3.6,6.4,1.6,0.6,1.9,1.7,15.5
29616,2021,4893,Tyrese Maxey,NA,SG,20,1,NBA,PHI,61,8,935,7.6,16.5,0.462,1.2,4,0.301,6.4,12.6,0.512,2.3,2.7,0.871,0.4,3.6,4,4.6,1,0.5,1.6,3,18.8
29617,2021,4370,Tyus Jones,NA,PG,24,6,NBA,MEM,70,9,1222,5.2,12.2,0.431,1.3,4.1,0.321,3.9,8,0.487,1.2,1.3,0.911,0.6,3.5,4.1,7.6,1.9,0.2,1.4,0.9,13
29618,2021,4894,Udoka Azubuike,NA,C,21,1,NBA,UTA,15,0,57,2.5,5.7,0.444,0,0,NA,2.5,5.7,0.444,5.1,6.3,0.8,2.5,5.7,8.2,0,0.6,2.5,1.9,5.7,10.1
29619,2021,3491,Udonis Haslem,NA,C,40,18,NBA,MIA,1,0,3,24,24,1,0,0,NA,24,24,1,0,0,NA,0,12,12,0,0,0,0,0,48
