Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
BSP.F,2011,BAE Systems,UK,Defense contractors|Aerospace,$12.17 B,,
BSP.F,2012,BAE Systems,UK,Defense contractors|Aerospace,$16.26 B,,
BSP.F,2013,BAE Systems,UK,Defense contractors|Aerospace,$18.35 B,,
BSP.F,2014,BAE Systems,UK,Defense contractors|Aerospace,$20.98 B,,
BSP.F,2015,BAE Systems,UK,Defense contractors|Aerospace,$23.60 B,,
BSP.F,2016,BAE Systems,UK,Defense contractors|Aerospace,$24.04 B,,
BSP.F,2017,BAE Systems,UK,Defense contractors|Aerospace,$22.63 B,,
BSP.F,2018,BAE Systems,UK,Defense contractors|Aerospace,$17.93 B,,
BSP.F,2019,BAE Systems,UK,Defense contractors|Aerospace,$23.34 B,,
BSP.F,2020,BAE Systems,UK,Defense contractors|Aerospace,$19.20 B,,
BSP.F,2021,BAE Systems,UK,Defense contractors|Aerospace,$22.85 B,,
BSP.F,2022,BAE Systems,UK,Defense contractors|Aerospace,$30.21 B,,
EADSF,2009,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$16.05 B,$48.75 B,-$0.54 B
EADSF,2010,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$18.75 B,$52.08 B,$1.40 B
EADSF,2011,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$25.35 B,$55.92 B,$2.00 B
EADSF,2012,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$32.07 B,$64.29 B,$2.68 B
EADSF,2013,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$60.13 B,$67.45 B,$2.81 B
EADSF,2014,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$39.43 B,$69.11 B,$4.18 B
EADSF,2015,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$53.13 B,$73.37 B,$4.46 B
EADSF,2016,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$51.31 B,$75.79 B,$2.06 B
EADSF,2017,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$76.72 B,$76.01 B,$5.79 B
EADSF,2018,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$74.50 B,$72.52 B,$5.37 B
EADSF,2019,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$114.34 B,$80.23 B,$1.64 B
EADSF,2020,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$86.54 B,$56.82 B,-$0.8 B
