Date,City,State,Dead,Injured,Total,Description
2022-06-09,Smithsburg,Maryl,3,3,6,"A shooter opened fire at a manufacturing facility, killing three and injuring one before fleeing the scene. Responding officers spotted the fleeing suspect, who engaged in a gun battle with state troopers, leaving the suspect and a state trooper injured."
2022-06-08,Yuma,Arizona,0,4,4,A gunfight between two cars left four injured.
2022-06-07,Chicago,Illinois,0,4,4,"Four people, including a teenager, were shot near a courtyard in the Altgeld Gardens neighborhood."
2022-06-07,Chicago,Illinois,0,4,4,Four people were shot on a sidewalk in the North Lawndale neighborhood.
2022-06-07,Portsmouth,Virginia,4,0,4,Four people were fatally shot at a home. The fourth victim succumbed to their injuries after a few days.
2022-06-07,Baltimore,Maryl,2,2,4,"Four men sitting in the side yard of a house in the Frankford neighborhood were fired upon by a shooter. Two were killed, and the other two were wounded."
2022-06-06,Salt Lake City,Utah,1,3,4,"Four people were shot, one of them fatally, at an apartment complex after a fight escalated."
2022-06-05,Andrews,South Carolina,0,4,4,Four people were injured in a drive-by shooting shortly before midnight.
2022-06-05,Saginaw,Michigan,3,2,5,Three people were killed and two were wounded by an early morning shooting at a house. The child of a dead pregnant woman was soon delivered by doctors.
2022-06-05,Mesa,Arizona,2,2,4,Two people were killed and two others injured in a shooting outside a nightclub.
2022-06-05,Chattanooga,Tennessee,2,12,14,"2022 Chattanooga shooting: Fourteen were shot, two of them fatally, at a nightclub during the early morning. A third person was killed by a vehicle attempting to flee."
2022-06-05,Grand Rapids,Michigan,1,3,4,One person was killed and three others injured in an early morning shooting at the Festival of the Arts.
2022-06-04,Philadelphia,Pennsylvania,3,11,14,"2022 Philadelphia shooting: Fourteen people were shot, three of them fatally, by multiple shooters on South Street. One of the shooters may have been shot by a responding police officer."
2022-06-04,Socorro,Texas,0,5,5,Five teenagers were wounded in a targeted shooting at an early morning graduation house party after two groups at the party began fighting.
2022-06-04,Phoenix,Arizona,1,8,9,"A fight during a party being held at a strip mall escalated into gunfire, with nine people being shot."
2022-06-04,Summerton,South Carolina,1,7,8,"Eight people, including six children, were shot during a graduation party after occupants in two cars opened fire at the partygoers in the yard of the house it was being held at. An adult woman was killed."
2022-06-04,Macon,Georgia,1,3,4,"Four people were shot, one fatally, at an abandoned home."
2022-06-04,Hempstead,New York,1,3,4,A man was fatally shot and three others were wounded beside an apartment building.
2022-06-04,Enterprise,Nevada,0,4,4,A couple was arrested after the boyfriend shot three people during an argument. The boyfriend was also shot.
2022-06-03,Chester,Virginia,1,5,6,"Six people were shot, one fatally, during a party. One of the shooting victims also suffered a broken arm."
2022-06-03,Omaha,Nebraska,1,3,4,"Four people were shot, one fatally, shortly before midnight near an apartment complex."
2022-06-03,Birch River,West Virginia,2,2,4,"Two police officers responding to a domestic disturbance were fired upon by two men. In the ensuing gun battle, a shooter and a police officer were killed. The surviving officer and shooter were both shot."
2022-06-02,Centerville,Texas,5,0,5,"Centerville shooting: An escaped prisoner broke into the holiday home of a grandfather and his four grandchildren and fatally shot four of them, as well as fatally stabbing one of the grandchildren, before stealing their truck. The prisoner was fatally shot in a gun battle with police later the same day."
2022-06-01,Tulsa,Oklahoma,5,0,5,Warren Clinic shooting: At least four people were killed and multiple were injured after a shooting inside a building on the Saint Francis Hospital campus. The shooter fatally shot himself.
2022-05-31,Waco,Texas,0,4,4,Four people were shot in the Carver neighborhood.
2022-05-31,Wyoming,Michigan,4,0,4,A concerned relative checked their family at their home and found four of them dead. A man had killed his girlfriend and her two eldest children before committing suicide. Three younger children were found unharmed in the home.
2022-05-30,Benton Harbor,Michigan,1,6,7,"Seven people were shot, one of them fatally, outside a bar and a liquor store during the early morning."
2022-05-30,Charleston,South Carolina,0,10,10,"Ten people were shot during a party in a vacant parking lot, including a teenager. A police officer who was arriving at the scene was shot at in his police cruiser and suffered a shrapnel injury."
2022-05-30,Philadelphia,Pennsylvania,2,2,4,"A shooting at a party in the Port Richmond neighborhood left two dead, including a teenager, and two others wounded."
2022-05-29,Chicago,Illinois,1,4,5,"A man shot four people, one fatally, at a home in the Humboldt Park neighborhood before barricading himself inside during a domestic-related incident. The shooter was eventually shot by a SWAT team."
2022-05-29,Taft,Oklahoma,1,7,8,One person was killed and seven others wounded after a shooting at a Memorial Day festival at the Old City Square.
