Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","49","Cuba","5110","Area","6601","Land area","2013","2013","1000 ha","10422","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","50","Cyprus","5110","Area","6601","Land area","2013","2013","1000 ha","924","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","167","Czechia","5110","Area","6601","Land area","2013","2013","1000 ha","7722","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","116","Democratic People's Republic of Korea","5110","Area","6601","Land area","2013","2013","1000 ha","12041","Fm","Manual Estimation"
"RL","Land Use","250","Democratic Republic of the Congo","5110","Area","6601","Land area","2013","2013","1000 ha","226705","Fm","Manual Estimation"
"RL","Land Use","54","Denmark","5110","Area","6601","Land area","2013","2013","1000 ha","4199","Fm","Manual Estimation"
"RL","Land Use","72","Djibouti","5110","Area","6601","Land area","2013","2013","1000 ha","2318","Fm","Manual Estimation"
"RL","Land Use","55","Dominica","5110","Area","6601","Land area","2013","2013","1000 ha","75","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","56","Dominican Republic","5110","Area","6601","Land area","2013","2013","1000 ha","4831","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","58","Ecuador","5110","Area","6601","Land area","2013","2013","1000 ha","24836","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","59","Egypt","5110","Area","6601","Land area","2013","2013","1000 ha","99545","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","60","El Salvador","5110","Area","6601","Land area","2013","2013","1000 ha","2072","Fm","Manual Estimation"
