Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","160","Niue","5110","Area","6601","Land area","2013","2013","1000 ha","26","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","161","Norfolk Island","5110","Area","6601","Land area","2013","2013","1000 ha","4","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","163","Northern Mariana Islands","5110","Area","6601","Land area","2013","2013","1000 ha","46","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","162","Norway","5110","Area","6601","Land area","2013","2013","1000 ha","36512.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","299","Palestine","5110","Area","6601","Land area","2013","2013","1000 ha","602","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","221","Oman","5110","Area","6601","Land area","2013","2013","1000 ha","30950","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6601","Land area","2013","2013","1000 ha","77088","Fm","Manual Estimation"
"RL","Land Use","180","Palau","5110","Area","6601","Land area","2013","2013","1000 ha","46","Fm","Manual Estimation"
"RL","Land Use","166","Panama","5110","Area","6601","Land area","2013","2013","1000 ha","7434","Fm","Manual Estimation"
"RL","Land Use","168","Papua New Guinea","5110","Area","6601","Land area","2013","2013","1000 ha","45286","Fm","Manual Estimation"
"RL","Land Use","169","Paraguay","5110","Area","6601","Land area","2013","2013","1000 ha","39730","Fm","Manual Estimation"
"RL","Land Use","170","Peru","5110","Area","6601","Land area","2013","2013","1000 ha","128000","Fm","Manual Estimation"
"RL","Land Use","171","Philippines","5110","Area","6601","Land area","2013","2013","1000 ha","29817","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","172","Pitcairn Islands","5110","Area","6601","Land area","2013","2013","1000 ha","4.7","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","173","Poland","5110","Area","6601","Land area","2013","2013","1000 ha","30621","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","174","Portugal","5110","Area","6601","Land area","2013","2013","1000 ha","9160.52","Fm","Manual Estimation"
"RL","Land Use","177","Puerto Rico","5110","Area","6601","Land area","2013","2013","1000 ha","887","Fm","Manual Estimation"
"RL","Land Use","179","Qatar","5110","Area","6601","Land area","2013","2013","1000 ha","1161","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","117","Republic of Korea","5110","Area","6601","Land area","2013","2013","1000 ha","9742.6","Fm","Manual Estimation"
"RL","Land Use","146","Republic of Moldova","5110","Area","6601","Land area","2013","2013","1000 ha","3288","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","182","Réunion","5110","Area","6601","Land area","2013","2013","1000 ha","251","Fm","Manual Estimation"
"RL","Land Use","183","Romania","5110","Area","6601","Land area","2013","2013","1000 ha","23003","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","185","Russian Federation","5110","Area","6601","Land area","2013","2013","1000 ha","1637687","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2013","2013","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","187","Saint Helena, Ascension and Tristan da Cunha","5110","Area","6601","Land area","2013","2013","1000 ha","39","Fm","Manual Estimation"
"RL","Land Use","188","Saint Kitts and Nevis","5110","Area","6601","Land area","2013","2013","1000 ha","26","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","189","Saint Lucia","5110","Area","6601","Land area","2013","2013","1000 ha","61","Fm","Manual Estimation"
"RL","Land Use","190","Saint Pierre and Miquelon","5110","Area","6601","Land area","2013","2013","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","191","Saint Vincent and the Grenadines","5110","Area","6601","Land area","2013","2013","1000 ha","39","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","244","Samoa","5110","Area","6601","Land area","2013","2013","1000 ha","283","Fm","Manual Estimation"
"RL","Land Use","192","San Marino","5110","Area","6601","Land area","2013","2013","1000 ha","6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","193","Sao Tome and Principe","5110","Area","6601","Land area","2013","2013","1000 ha","96","Fm","Manual Estimation"
