personLabel,birth,death,age,genderLabel
Duane Graveline,1931-03-02T00:00:00Z,2016-09-05T00:00:00Z,85,male
Dumitru Dediu,1942-05-12T00:00:00Z,2013-07-01T00:00:00Z,71,male
Dumitru Prunariu,1952-09-27T00:00:00Z,,,male
Eberhard Köllner,1939-09-29T00:00:00Z,,,male
Ed Lu,1963-07-01T00:00:00Z,,,male
Edgar Mitchell,1930-09-17T00:00:00Z,2016-02-04T00:00:00Z,86,male
Eduard Buynovski,1936-02-26T00:00:00Z,,,male
Eduard Pavlovich Kugno,1935-06-27T00:00:00Z,1994-02-24T00:00:00Z,59,male
Eduard Stepanov,1937-04-14T00:00:00Z,2015-10-19T00:00:00Z,78,male
Edward Gibson,1936-11-08T00:00:00Z,,,male
Edward Givens,1930-01-05T00:00:00Z,1967-06-06T00:00:00Z,37,male
Edward Higgins White,1930-11-14T00:00:00Z,1967-01-27T00:00:00Z,37,male
Eileen Collins,1956-11-19T00:00:00Z,,,female
Ellen Ochoa,1958-05-10T00:00:00Z,,,female
Ellen S. Baker,1953-04-27T00:00:00Z,,,female
Elliot See,1927-07-23T00:00:00Z,1966-02-28T00:00:00Z,39,male
Ellison Onizuka,1946-06-24T00:00:00Z,1986-01-28T00:00:00Z,40,male
Eric Boe,1964-10-01T00:00:00Z,,,male
Ernst Messerschmid,1945-05-21T00:00:00Z,,,male
Eugene Cernan,1934-03-14T00:00:00Z,2017-01-16T00:00:00Z,83,male
Eugene H. Trinh,1950-09-14T00:00:00Z,,,male
Eugeni Vladimirovich Saley,1950-01-01T00:00:00Z,,,male
Evgeny Tarelkin,1974-12-29T00:00:00Z,,,male
F. Drew Gaffney,1946-06-09T00:00:00Z,,,male
Faiz Khaleed,1980-09-15T00:00:00Z,,,male
Fei Junlong,1965-05-05T00:00:00Z,,,male
Fernando Caldeiro,1958-06-12T00:00:00Z,2009-10-03T00:00:00Z,51,male
Francisco Rubio,1975-12-11T00:00:00Z,,,male
Franco Malerba,1946-10-10T00:00:00Z,,,male
Frank Borman,1928-03-14T00:00:00Z,,,male
Frank De Winne,1961-04-25T00:00:00Z,,,male
Frank L. Culbertson,1949-05-15T00:00:00Z,,,male
Franklin Ramón Chang Díaz,1950-04-05T00:00:00Z,,,male
Franz Viehböck,1960-08-24T00:00:00Z,,,male
Fred Haise,1933-11-14T00:00:00Z,,,male
Frederick D. Gregory,1941-01-07T00:00:00Z,,,male
Frederick Hauck,1941-04-11T00:00:00Z,,,male
Frederick W. Leslie,1951-12-19T00:00:00Z,,,male
Frederick W. Sturckow,1961-08-11T00:00:00Z,,,male
Fulier Michal,1955-02-20T00:00:00Z,,,male
Fyodor Yurchikhin,1959-01-03T00:00:00Z,,,male
G. David Low,1956-02-19T00:00:00Z,2008-03-15T00:00:00Z,52,male
Galina Amelkina,1954-05-22T00:00:00Z,,,female
Garrett Reisman,1968-02-10T00:00:00Z,,,male
Gary Payton,1948-06-20T00:00:00Z,,,male
Gennadi Manakov,1950-06-01T00:00:00Z,2019-09-26T00:00:00Z,69,male
Gennadi Sarafanov,1942-01-01T00:00:00Z,2005-09-29T00:00:00Z,63,male
Gennadi Strekalov,1940-10-26T00:00:00Z,2004-12-25T00:00:00Z,64,male
Gennady Padalka,1958-06-21T00:00:00Z,,,male
George D. Zamka,1962-06-29T00:00:00Z,,,male
George Nelson,1950-07-13T00:00:00Z,,,male
Georgi Ivanov,1940-07-02T00:00:00Z,,,male
Georgi Katys,1926-08-31T00:00:00Z,2017-08-07T00:00:00Z,91,male
Georgy Beregovoy,1921-04-15T00:00:00Z,1995-06-30T00:00:00Z,74,male
Georgy Dobrovolsky,1928-06-01T00:00:00Z,1971-06-30T00:00:00Z,43,male
Georgy Grechko,1931-05-25T00:00:00Z,2017-04-08T00:00:00Z,86,male
Georgy Shonin,1935-08-03T00:00:00Z,1997-04-06T00:00:00Z,62,male
Gerald P. Carr,1932-08-22T00:00:00Z,,,male
Gerard Edward Magilton,1942-05-07T00:00:00Z,,,male
Gerhard Thiele,1953-09-02T00:00:00Z,,,male
German Szemjonovics Arzamazov,1946-03-09T00:00:00Z,,,male
Gherman Titov,1935-09-11T00:00:00Z,2000-09-20T00:00:00Z,65,male
Gordon Cooper,1927-03-06T00:00:00Z,2004-10-04T00:00:00Z,77,male
Gregory C. Johnson,1954-07-30T00:00:00Z,,,male
Gregory Chamitoff,1962-08-06T00:00:00Z,,,male
Gregory H. Johnson,1962-05-12T00:00:00Z,,,male
Gregory J. Harbaugh,1956-04-15T00:00:00Z,,,male
Gregory Jarvis,1944-08-24T00:00:00Z,1986-01-28T00:00:00Z,42,male
Gregory Olsen,1945-04-20T00:00:00Z,,,male
Gregory Reid Wiseman,1975-11-11T00:00:00Z,,,male
Gregory T. Linteris,1957-10-04T00:00:00Z,,,male
Guion Bluford,1942-11-22T00:00:00Z,,,male
Gurgens Ivanjans,1940-11-04T00:00:00Z,2014-05-03T00:00:00Z,74,male
Gus Grissom,1926-04-03T00:00:00Z,1967-01-27T00:00:00Z,41,male
Guy Gardner,1948-01-06T00:00:00Z,,,male
Guy Laliberté,1959-09-02T00:00:00Z,,,male
Hans Schlegel,1951-08-03T00:00:00Z,,,male
Harrison Schmitt,1935-07-03T00:00:00Z,,,male
Hazza Al Mansouri,1983-12-13T00:00:00Z,,,male
Heidemarie Stefanyshyn-Piper,1963-02-07T00:00:00Z,,,female
Helen Sharman,1963-05-30T00:00:00Z,,,female
Henry Hartsfield,1933-11-21T00:00:00Z,2014-07-17T00:00:00Z,81,male
Ignat Ignatov,1982-03-20T00:00:00Z,,,male
Igor Volk,1937-04-12T00:00:00Z,2017-01-03T00:00:00Z,80,male
Ilan Ramon,1954-06-20T00:00:00Z,2003-02-01T00:00:00Z,49,male
Irina Rudolfovna Pronyina,1953-04-14T00:00:00Z,,,female
Irina Solovyova,1937-09-06T00:00:00Z,,,female
Ivan Bella,1964-05-25T00:00:00Z,,,male
Ivan Vagner,1985-07-10T00:00:00Z,,,male
Ivanov Georgievich Leonid,1950-06-25T00:00:00Z,1980-10-24T00:00:00Z,30,male
Jack D. Fischer,1974-01-23T00:00:00Z,,,male
Jack R. Lousma,1936-02-29T00:00:00Z,,,male
Jack Swigert,1931-08-30T00:00:00Z,1982-12-27T00:00:00Z,51,male
Jake Garn,1932-10-12T00:00:00Z,,,male
James A. Pawelczyk,1960-09-20T00:00:00Z,,,male
James Buchli,1945-06-20T00:00:00Z,,,male
James C. Adamson,1946-03-03T00:00:00Z,,,male
James D. Halsell,1956-09-29T00:00:00Z,,,male
James Dutton,1968-11-20T00:00:00Z,,,male
James F. Reilly,1954-03-18T00:00:00Z,,,male
James H. Newman,1956-10-16T00:00:00Z,,,male
James Irwin,1930-03-17T00:00:00Z,1991-08-08T00:00:00Z,61,male
James M. Kelly,1964-05-14T00:00:00Z,,,male
James McDivitt,1929-06-10T00:00:00Z,,,male
James P. Bagian,1952-02-22T00:00:00Z,,,male
James S. Voss,1949-03-03T00:00:00Z,,,male
James van Hoften,1944-06-11T00:00:00Z,,,male
Jan Davis,1953-11-01T00:00:00Z,,,female
Janet L. Kavandi,1959-07-17T00:00:00Z,,,female
Janice E. Voss,1956-10-08T00:00:00Z,2012-02-06T00:00:00Z,56,female
Jaroszlav Ihorevics Pusztovij,1970-12-29T00:00:00Z,,,male
Jasmin Moghbeli,1983-06-24T00:00:00Z,,,female
Jay C. Buckey,1956-06-06T00:00:00Z,,,male
Jean-François Clervoy,1958-11-19T00:00:00Z,,,male
Jean-Jacques Favier,1949-04-13T00:00:00Z,,,male
Jean-Loup Chrétien,1938-08-20T00:00:00Z,,,male
Jean-Pierre Haigneré,1948-05-19T00:00:00Z,,,male
Jeanette J. Epps,1970-11-03T00:00:00Z,,,female
Jeffrey A. Hoffman,1944-11-02T00:00:00Z,,,male
Jeffrey Ashby,1954-06-01T00:00:00Z,,,male
Jeffrey Williams,1958-01-18T00:00:00Z,,,male
Jenni Sidey-Gibbons,1988-08-03T00:00:00Z,,,female
Jeremy Hansen,1976-01-27T00:00:00Z,,,male
Jerome Apt,1949-04-28T00:00:00Z,,,male
Jerry L. Ross,1948-01-20T00:00:00Z,,,male
Jerry M. Linenger,1955-01-16T00:00:00Z,,,male
Jessica Meir,1977-07-15T00:00:00Z,,,female
Jessica Watkins,1988-05-14T00:00:00Z,,,female
Jim Lovell,1928-03-25T00:00:00Z,,,male
Jim Wetherbee,1952-11-27T00:00:00Z,,,male
Jing Haipeng,1966-10-24T00:00:00Z,,,male
Jiří Alter,1891-01-01T00:00:00Z,1972-01-01T00:00:00Z,81,male
Jiří Alter,1891-01-01T00:00:00Z,1972-10-30T00:00:00Z,81,male
Jiří Alter,1891-03-13T00:00:00Z,1972-01-01T00:00:00Z,81,male
Jiří Alter,1891-03-13T00:00:00Z,1972-10-30T00:00:00Z,81,male
Joan Higginbotham,1964-08-03T00:00:00Z,,,female
Joe Engle,1932-08-26T00:00:00Z,,,male
Joe F. Edwards,1958-02-03T00:00:00Z,,,male
John Casper,1943-07-09T00:00:00Z,,,male
John D. Olivas,1965-05-25T00:00:00Z,,,male
John E. Blaha,1942-08-26T00:00:00Z,,,male
John Glenn,1921-07-18T00:00:00Z,2016-12-08T00:00:00Z,95,male
John Herrington,1958-09-14T00:00:00Z,,,male
John L. Finley,1935-12-22T00:00:00Z,2006-09-19T00:00:00Z,71,male
John L. Phillips,1951-04-15T00:00:00Z,,,male
John M. Fabian,1939-01-28T00:00:00Z,,,male
John M. Grunsfeld,1958-10-10T00:00:00Z,,,male
John M. Lounge,1946-06-28T00:00:00Z,2011-03-01T00:00:00Z,65,male
John Oliver Creighton,1943-04-28T00:00:00Z,,,male
John S. Bull,1934-09-25T00:00:00Z,2008-08-11T00:00:00Z,74,male
John Young,1930-09-24T00:00:00Z,2018-01-05T00:00:00Z,88,male
John-David F. Bartoe,1944-11-17T00:00:00Z,,,male
Jon McBride,1943-08-14T00:00:00Z,,,male
Jonny Kim,1984-02-05T00:00:00Z,,,male
José Armando López Falcón,1950-02-08T00:00:00Z,,,male
Jose M. Hernandez,1962-08-07T00:00:00Z,,,male
Joseph A. Walker,1921-02-20T00:00:00Z,1966-06-08T00:00:00Z,45,male
Joseph Kittinger,1928-07-27T00:00:00Z,,,male
Joseph M. Acaba,1967-05-17T00:00:00Z,,,male
Joseph Markel Prahl,1943-03-30T00:00:00Z,2018-04-19T00:00:00Z,75,male
Joseph P. Allen,1937-06-27T00:00:00Z,,,male
Joseph P. Kerwin,1932-02-19T00:00:00Z,,,male
Joseph R. Tanner,1950-01-21T00:00:00Z,,,male
Josh A. Cassada,1973-07-18T00:00:00Z,,,male
Joshua Kutryk,1982-03-21T00:00:00Z,,,male
Judith Resnik,1949-04-05T00:00:00Z,1986-01-28T00:00:00Z,37,female
Jügderdemidiin Gürragchaa,1947-12-05T00:00:00Z,,,male
Julie Payette,1963-10-20T00:00:00Z,,,female
K. Megan McArthur,1971-08-30T00:00:00Z,,,female
Kalpana Chawla,1962-03-17T00:00:00Z,2003-02-01T00:00:00Z,41,female
Karen L. Nyberg,1969-10-07T00:00:00Z,,,female
Karl Gordon Henize,1926-10-17T00:00:00Z,1993-10-05T00:00:00Z,67,male
Karol J. Bobko,1937-12-23T00:00:00Z,,,male
Kathleen Rubins,1978-10-14T00:00:00Z,,,female
Kathryn C. Thornton,1952-08-17T00:00:00Z,,,female
Kathryn D. Sullivan,1951-10-03T00:00:00Z,,,female
Kathryn P. Hire,1959-08-26T00:00:00Z,,,female
Kayla Barron,1987-09-19T00:00:00Z,,,female
Keith Charles Wright,1947-08-31T00:00:00Z,,,male
Ken Bowersox,1956-11-14T00:00:00Z,,,male
Ken Mattingly,1936-03-17T00:00:00Z,,,male
Ken Money,1935-04-01T00:00:00Z,,,male
Kenneth Cockrell,1950-04-09T00:00:00Z,,,male
Kenneth D. Cameron,1949-11-29T00:00:00Z,,,male
Kenneth Eric Money,1935-01-04T00:00:00Z,,,male
Kenneth Ham,1964-12-12T00:00:00Z,,,male
"Kenneth S. Reightler, Jr.",1951-03-24T00:00:00Z,,,male
Kent Rominger,1956-08-07T00:00:00Z,,,male
Kevin A. Ford,1960-07-07T00:00:00Z,,,male
Kevin P. Chilton,1954-11-03T00:00:00Z,,,male
Kevin R. Kregel,1956-09-16T00:00:00Z,,,male
Kikuchi Ryōko,1964-09-15T00:00:00Z,,,female
Kimiya Yui,1970-01-30T00:00:00Z,,,male
Kjell N. Lindgren,1973-01-23T00:00:00Z,,,male
Klaus-Dietrich Flade,1952-08-23T00:00:00Z,,,male
Ko San,1976-10-19T00:00:00Z,,,male
Koichi Wakata,1963-08-01T00:00:00Z,,,male
Konstantin Feoktistov,1926-02-07T00:00:00Z,2009-11-21T00:00:00Z,83,male
Konstantin Kozeyev,1967-12-01T00:00:00Z,,,male
Konstantin Valkov,1971-11-11T00:00:00Z,,,male
Krasimir Stojanow,1961-01-24T00:00:00Z,,,male
L. Blaine Hammond,1952-01-16T00:00:00Z,,,male
Larry D. James,1956-01-01T00:00:00Z,,,male
Laurel Clark,1961-03-10T00:00:00Z,2003-02-01T00:00:00Z,42,female
Laurence Retman Young,1935-12-19T00:00:00Z,,,male
Lawrence J. DeLucas,1950-07-11T00:00:00Z,,,male
Lee Archambault,1960-08-25T00:00:00Z,,,male
Lee Morin,1952-09-09T00:00:00Z,,,male
Leland D. Melvin,1964-02-15T00:00:00Z,,,male
Leonid Kadeniuk,1951-01-28T00:00:00Z,2018-01-31T00:00:00Z,67,male
Leonid Kizim,1941-08-05T00:00:00Z,2010-06-14T00:00:00Z,69,male
Leonid Popov,1945-08-31T00:00:00Z,,,male
Léopold Eyharts,1957-04-28T00:00:00Z,,,male
Leroy Chiao,1960-08-28T00:00:00Z,,,male
