ID,CAPACITY_OF_PARK,WORKING_TIME,LONGITUDE,LATITUDE
68,200,24 Saat,29.0325998453266,41.0504156993832
69,40,08:00-18:00,28.887420096957,41.0128304641926
70,5,11:00-19:00,29.039182647246296,41.0213193943726
71,142,24 Saat,28.987881979861896,41.0405398332228
72,89,24 Saat,29.0208041667938,40.9873655005234
73,375,24 Saat,29.0902551716656,40.9522908984578
74,195,24 Saat,29.088487290354696,40.9545232644903
75,120,24 Saat,29.2341819965619,40.878934879523
76,665,24 Saat,29.0953349757128,41.0260923032183
77,240,24 Saat,29.1050952305836,41.0260703724597
78,1000,24 Saat,28.9046359211768,41.0056588258871
79,400,24 Saat,29.189911589983,40.8925343906162
80,32,07:30-18:00,28.9440397407985,41.0091178228887
81,155,24 Saat,28.8531558095713,40.99651351431591
82,30,08:00-16:00,29.1267067463254,40.9925719800085
83,35,08:00-19:00,28.8713505624634,40.980514470877
84,422,24 Saat,29.0305206442078,41.1401615874359
85,175,24 Saat,28.9772077552262,41.00193367086
86,25,07:30-20:30,28.9883966239611,41.0389534638449
87,25,07:30-20:30,28.9879571839367,41.038232559675
88,181,08:00-01:00,29.11371933097,40.9376691599546
89,50,07:00-22:00,29.0219934735226,40.9910509487786
90,20,08:00-18:00,28.9891787759174,41.060288382335
91,175,24 Saat,28.976816741458,41.0012788362889
92,150,07:00-18:00,29.1224592977548,40.9498978996395
93,40,08:00-18:00,29.0111186916334,41.0573220244955
94,40,08:00-19:00,28.8721290488844,40.9782330778419
95,5,08:00-16:00,29.1836059462357,40.8869401912973
96,25,09:00-21:00,28.981574177742,41.0280590630134
97,29,08:00-23:00,29.0456584096228,41.070289941807296
98,5,07:00-22:00,29.0244884594348,40.9917111680728
99,700,07:00-21:00,29.1947171188766,40.8860832998664
100,508,24 Saat,28.990194623758896,41.0481455846258
101,10,07:00-23:00,29.0136209681942,41.066937790827694
102,100,06:00-19:00,29.057491421699496,41.015668454927
103,5000,06:00-20:00,28.9888536930084,41.1835634907664
104,20,07:00-23:00,28.9169771107005,40.9928480846644
105,100,07:00-00:00,29.155027270317095,40.9237701375712
106,26,08:00-19:00,28.9504868216246,41.0176966032964
107,5000,24 Saat,28.9451551437378,41.0876321246792
108,50,08:00-18:00,29.1053795814514,40.9903356345319
109,40,08:00-00:00,28.9906085281481,41.0487105124518
110,200,07:00-23:00,29.0657499432564,41.0787506573235
111,700,24 Saat,28.916549477844296,40.9922304206155
112,24,08:00-17:00,29.112414236176296,41.0271515082273
113,42,07:30-19:00,29.2335811257362,40.8733932950085
114,100,10:00-22:00,29.232945442199696,40.8734074922129
115,150,08:00-19:00,28.920156955719,41.0042572397972
116,120,24 Saat,29.064406156539896,40.963516570522096
117,300,07:00-23:00,28.9504820108414,41.00568627991031
118,1005,24 Saat,28.97436439991,41.03190953169631
119,30,08:00-19:00,28.9966936380404,41.0435127249054
120,20,08:00-19:00,29.175908267498,41.0326945707175
121,100,24 Saat,28.8230609893799,40.960958429478
122,105,08:00-20:00,29.1079999343615,40.96253082445791
123,20,08:00-18:00,29.0072294331761,41.0503307144634
124,84,24 Saat,29.09525410027,40.9523911155812
125,300,24 Saat,28.9625353534806,41.02127282032809
126,88,24 Saat,28.9423878505096,41.08823151328
127,500,07:00-00:00,29.085902193584495,41.1400111163844
128,128,24 Saat,28.8925986083327,40.999962960120094
129,80,08:00-21:00,28.9669297059178,41.02985383743749
130,300,07:00-22:00,29.2531532049179,40.8907582563051
131,30,08:30-19:00,28.9444391477412,41.0220240723353
132,30,08:30-19:00,28.9416253566742,41.0204039943667
133,120,24 Saat,28.8639633383606,40.9968297685815
134,100,08:00-18:00,28.8597932017926,41.035273575942895
135,300,24 Saat,29.2666420340538,40.9668422081734
136,242,24 Saat,28.889830651607696,41.0037268780431
137,581,24 Saat,28.9991953412736,41.0641005095347
138,85,06:00-19:00,29.0573544076298,40.9989901689259
139,400,24 Saat,29.2315689762902,40.872032780631
140,100,06:00-18:00,29.057554437571,41.01578677851911
