"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"551","21","21","48","43.75","1","1","v Australia","Providence","5 Jun 2016","ODI # 3740","Carlos Brathwaite",457249
"552","3*","3","7","42.85","0","0","v Australia","Basseterre","13 Jun 2016","ODI # 3745","Carlos Brathwaite",457249
"553","0","0","1","0.00","0","0","v South Africa","Basseterre","15 Jun 2016","ODI # 3747","Carlos Brathwaite",457249
"554","7","7","6","116.66","1","0","v Australia","Bridgetown","21 Jun 2016","ODI # 3752","Carlos Brathwaite",457249
"555","33*","33","42","78.57","2","1","v South Africa","Bridgetown","24 Jun 2016","ODI # 3754","Carlos Brathwaite",457249
"556","14","14","11","127.27","1","1","v Australia","Bridgetown","26 Jun 2016","ODI # 3756","Carlos Brathwaite",457249
"557","15","15","16","93.75","0","2","v Pakistan","Sharjah","30 Sep 2016","ODI # 3784","Carlos Brathwaite",457249
"558","14","14","11","127.27","2","0","v Pakistan","Sharjah","2 Oct 2016","ODI # 3788","Carlos Brathwaite",457249
"559","14","14","13","107.69","1","0","v Sri Lanka","Harare","16 Nov 2016","ODI # 3805","Carlos Brathwaite",457249
"560","9","9","5","180.00","0","1","v Zimbabwe","Bulawayo","19 Nov 2016","ODI # 3806","Carlos Brathwaite",457249
"561","19","19","16","118.75","0","1","v Sri Lanka","Bulawayo","23 Nov 2016","ODI # 3808","Carlos Brathwaite",457249
"562","DNB","-","-","-","-","-","v Zimbabwe","Bulawayo","25 Nov 2016","ODI # 3809","Carlos Brathwaite",457249
"563","12","12","12","100.00","1","0","v England","North Sound","3 Mar 2017","ODI # 3845","Carlos Brathwaite",457249
"564","23","23","24","95.83","2","0","v England","North Sound","5 Mar 2017","ODI # 3848","Carlos Brathwaite",457249
"565","7","7","23","30.43","0","0","v England","Bridgetown","9 Mar 2017","ODI # 3849","Carlos Brathwaite",457249
"566","DNB","-","-","-","-","-","v P.N.G.","Harare","8 Mar 2018","ODI # 3991","Carlos Brathwaite",457249
"567","11","11","16","68.75","1","0","v Ireland","Harare","10 Mar 2018","ODI # 3993","Carlos Brathwaite",457249
"568","4","4","5","80.00","1","0","v Afghanistan","Harare","15 Mar 2018","ODI # 3997","Carlos Brathwaite",457249
"569","24","24","26","92.30","0","1","v Scotland","Harare","21 Mar 2018","ODI # 4004","Carlos Brathwaite",457249
"570","14","14","10","140.00","1","1","v Afghanistan","Harare","25 Mar 2018","ODI # 4007","Carlos Brathwaite",457249
"571","3","3","3","100.00","0","0","v England","Bridgetown","20 Feb 2019","ODI # 4096","Carlos Brathwaite",457249
"572","13","13","22","59.09","0","1","v England","Bridgetown","22 Feb 2019","ODI # 4097","Carlos Brathwaite",457249
"573","TDNB","-","-","-","-","-","v England","St George's","25 Feb 2019","ODI # 4098","Carlos Brathwaite",457249
"574","50","50","36","138.88","4","2","v England","St George's","27 Feb 2019","ODI # 4099","Carlos Brathwaite",457249
"575","DNB","-","-","-","-","-","v England","Gros Islet","2 Mar 2019","ODI # 4103","Carlos Brathwaite",457249
"576","1","1","8","12.50","0","0","v India","Toronto","11 Sep 1999","ODI # 1497","Chris Gayle ",51880
"577","15","15","22","68.18","3","0","v India","Toronto","12 Sep 1999","ODI # 1498","Chris Gayle ",51880
"578","7","7","22","31.81","1","0","v India","Toronto","14 Sep 1999","ODI # 1499","Chris Gayle ",51880
"579","6","6","15","40.00","1","0","v Pakistan","Toronto","18 Sep 1999","ODI # 1501","Chris Gayle ",51880
"580","0","0","1","0.00","0","0","v Pakistan","Toronto","19 Sep 1999","ODI # 1502","Chris Gayle ",51880
"581","7","7","18","38.88","0","0","v Sri Lanka","Sharjah","17 Oct 1999","ODI # 1515","Chris Gayle ",51880
"582","22","22","42","52.38","3","0","v Pakistan","Sharjah","19 Oct 1999","ODI # 1517","Chris Gayle ",51880
"583","4","4","12","33.33","0","0","v Zimbabwe","Kingston","1 Apr 2000","ODI # 1584","Chris Gayle ",51880
"584","58*","58","45","128.88","5","1","v Zimbabwe","Kingston","2 Apr 2000","ODI # 1585","Chris Gayle ",51880
"585","15","15","13","115.38","1","0","v Pakistan","Kingstown","12 Apr 2000","ODI # 1588","Chris Gayle ",51880
"586","42","42","49","85.71","4","0","v Pakistan","St George's","16 Apr 2000","ODI # 1592","Chris Gayle ",51880
"587","8","8","16","50.00","0","0","v Pakistan","Bridgetown","19 Apr 2000","ODI # 1593","Chris Gayle ",51880
"588","33","33","35","94.28","4","0","v Pakistan","Port of Spain","22 Apr 2000","ODI # 1594","Chris Gayle ",51880
"589","0","0","2","0.00","0","0","v Pakistan","Port of Spain","23 Apr 2000","ODI # 1595","Chris Gayle ",51880
"590","41","41","86","47.67","6","0","v Zimbabwe","Bristol","6 Jul 2000","ODI # 1605","Chris Gayle ",51880
"591","TDNB","-","-","-","-","-","v England","Lord's","9 Jul 2000","ODI # 1609","Chris Gayle ",51880
"592","6","6","13","46.15","1","0","v Zimbabwe","Canterbury","11 Jul 2000","ODI # 1611","Chris Gayle ",51880
"593","26","26","59","44.06","3","0","v England","Chester-le-Street","15 Jul 2000","ODI # 1615","Chris Gayle ",51880
"594","3","3","4","75.00","0","0","v Zimbabwe","Chester-le-Street","16 Jul 2000","ODI # 1616","Chris Gayle ",51880
"595","37","37","71","52.11","4","0","v England","Nottingham","20 Jul 2000","ODI # 1618","Chris Gayle ",51880
"596","27","27","34","79.41","4","0","v South Africa","Kingston","28 Apr 2001","ODI # 1712","Chris Gayle ",51880
"597","50","50","72","69.44","7","0","v South Africa","St John's","2 May 2001","ODI # 1713","Chris Gayle ",51880
"598","1","1","3","33.33","0","0","v South Africa","St George's","5 May 2001","ODI # 1714","Chris Gayle ",51880
"599","9","9","27","33.33","0","1","v South Africa","St George's","6 May 2001","ODI # 1715","Chris Gayle ",51880
"600","6","6","15","40.00","0","0","v South Africa","Bridgetown","9 May 2001","ODI # 1716","Chris Gayle ",51880
"601","28","28","39","71.79","5","0","v South Africa","Kingstown","16 May 2001","ODI # 1718","Chris Gayle ",51880
"602","53","53","76","69.73","7","0","v Zimbabwe","Harare","23 Jun 2001","ODI # 1727","Chris Gayle ",51880
"603","0","0","5","0.00","0","0","v India","Bulawayo","30 Jun 2001","ODI # 1731","Chris Gayle ",51880
"604","76","76","95","80.00","6","0","v Zimbabwe","Bulawayo","1 Jul 2001","ODI # 1732","Chris Gayle ",51880
"605","23","23","43","53.48","2","0","v India","Harare","4 Jul 2001","ODI # 1733","Chris Gayle ",51880
"606","43","43","45","95.55","8","0","v India","Harare","7 Jul 2001","ODI # 1734","Chris Gayle ",51880
"607","152","152","150","101.33","17","1","v Kenya","Nairobi","15 Aug 2001","ODI # 1745","Chris Gayle ",51880
"608","10","10","22","45.45","0","1","v Kenya","Nairobi (Gym)","18 Aug 2001","ODI # 1746","Chris Gayle ",51880
"609","70","70","70","100.00","9","2","v Kenya","Nairobi (Gym)","19 Aug 2001","ODI # 1747","Chris Gayle ",51880
"610","0","0","5","0.00","0","0","v Zimbabwe","Colombo (SSC)","9 Dec 2001","ODI # 1777","Chris Gayle ",51880
"611","21","21","32","65.62","3","0","v Sri Lanka","Colombo (RPS)","11 Dec 2001","ODI # 1778","Chris Gayle ",51880
"612","8","8","9","88.88","2","0","v Sri Lanka","Kandy","15 Dec 2001","ODI # 1780","Chris Gayle ",51880
"613","85","85","79","107.59","17","1","v Zimbabwe","Kandy","16 Dec 2001","ODI # 1781","Chris Gayle ",51880
"614","60","60","87","68.96","8","0","v Sri Lanka","Colombo (RPS)","19 Dec 2001","ODI # 1782","Chris Gayle ",51880
"615","50","50","53","94.33","10","0","v Pakistan","Sharjah","14 Feb 2002","ODI # 1807","Chris Gayle ",51880
"616","62","62","46","134.78","8","3","v Pakistan","Sharjah","15 Feb 2002","ODI # 1808","Chris Gayle ",51880
"617","19","19","17","111.76","4","0","v Pakistan","Sharjah","17 Feb 2002","ODI # 1810","Chris Gayle ",51880
"618","16","16","43","37.20","2","0","v India","Bridgetown","29 May 2002","ODI # 1836","Chris Gayle ",51880
"619","84","84","67","125.37","9","3","v India","Port of Spain","1 Jun 2002","ODI # 1837","Chris Gayle ",51880
"620","3","3","10","30.00","0","0","v India","Port of Spain","2 Jun 2002","ODI # 1838","Chris Gayle ",51880
"621","TDNB","-","-","-","-","-","v New Zealand","Kingston","5 Jun 2002","ODI # 1839","Chris Gayle ",51880
"622","30","30","37","81.08","4","0","v New Zealand","Gros Islet","8 Jun 2002","ODI # 1840","Chris Gayle ",51880
"623","37","37","47","78.72","6","0","v New Zealand","Gros Islet","9 Jun 2002","ODI # 1841","Chris Gayle ",51880
"624","60","60","60","100.00","4","2","v New Zealand","Port of Spain","12 Jun 2002","ODI # 1843","Chris Gayle ",51880
"625","67","67","79","84.81","7","1","v New Zealand","Kingstown","16 Jun 2002","ODI # 1845","Chris Gayle ",51880
"626","49","49","55","89.09","8","1","v South Africa","Colombo (SSC)","13 Sep 2002","ODI # 1875","Chris Gayle ",51880
"627","33","33","42","78.57","4","2","v Kenya","Colombo (SSC)","17 Sep 2002","ODI # 1879","Chris Gayle ",51880
"628","7","7","15","46.66","1","0","v India","Jamshedpur","6 Nov 2002","ODI # 1893","Chris Gayle ",51880
"629","103","103","116","88.79","8","3","v India","Nagpur","9 Nov 2002","ODI # 1894","Chris Gayle ",51880
"630","72","72","68","105.88","12","2","v India","Rajkot","12 Nov 2002","ODI # 1895","Chris Gayle ",51880
"631","140","140","127","110.23","12","5","v India","Ahmedabad","15 Nov 2002","ODI # 1896","Chris Gayle ",51880
"632","101","101","107","94.39","10","3","v India","Vadodara","18 Nov 2002","ODI # 1897","Chris Gayle ",51880
"633","27","27","38","71.05","4","0","v India","Jodhpur","21 Nov 2002","ODI # 1898","Chris Gayle ",51880
"634","5","5","8","62.50","0","0","v India","Vijayawada","24 Nov 2002","ODI # 1900","Chris Gayle ",51880
"635","38","38","70","54.28","5","0","v Bangladesh","Chittagong","29 Nov 2002","ODI # 1904","Chris Gayle ",51880
"636","21","21","43","48.83","3","0","v Bangladesh","Dhaka","2 Dec 2002","ODI # 1909","Chris Gayle ",51880
"637","73","73","90","81.11","11","0","v Bangladesh","Dhaka","3 Dec 2002","ODI # 1910","Chris Gayle ",51880
"638","2","2","21","9.52","0","0","v South Africa","Cape Town","9 Feb 2003","ODI # 1942","Chris Gayle ",51880
"639","22","22","29","75.86","5","0","v New Zealand","Port Elizabeth","13 Feb 2003","ODI # 1949","Chris Gayle ",51880
"640","0","0","5","0.00","0","0","v Bangladesh","Benoni","18 Feb 2003","ODI # 1956","Chris Gayle ",51880
"641","8","8","13","61.53","1","0","v Canada","Centurion","23 Feb 2003","ODI # 1963","Chris Gayle ",51880
"642","55","55","76","72.36","8","0","v Sri Lanka","Cape Town","28 Feb 2003","ODI # 1973","Chris Gayle ",51880
"643","119","119","151","78.80","8","2","v Kenya","Kimberley","4 Mar 2003","ODI # 1981","Chris Gayle ",51880
"644","37","37","50","74.00","6","0","v Australia","Kingston","17 May 2003","ODI # 2011","Chris Gayle ",51880
"645","28","28","55","50.90","4","0","v Australia","Kingston","18 May 2003","ODI # 2013","Chris Gayle ",51880
"646","43","43","46","93.47","5","1","v Australia","Gros Islet","21 May 2003","ODI # 2016","Chris Gayle ",51880
"647","84","84","113","74.33","7","1","v Australia","Port of Spain","24 May 2003","ODI # 2018","Chris Gayle ",51880
"648","5","5","4","125.00","1","0","v Australia","Port of Spain","25 May 2003","ODI # 2019","Chris Gayle ",51880
"649","18","18","21","85.71","3","0","v Australia","St George's","30 May 2003","ODI # 2020","Chris Gayle ",51880
"650","60","60","68","88.23","8","0","v Australia","St George's","1 Jun 2003","ODI # 2021","Chris Gayle ",51880
"651","0","0","9","0.00","0","0","v Sri Lanka","Bridgetown","7 Jun 2003","ODI # 2022","Chris Gayle ",51880
"652","94","94","125","75.20","12","2","v Sri Lanka","Bridgetown","8 Jun 2003","ODI # 2023","Chris Gayle ",51880
"653","21","21","75","28.00","1","0","v Sri Lanka","Kingstown","11 Jun 2003","ODI # 2024","Chris Gayle ",51880
"654","153*","153","160","95.62","19","2","v Zimbabwe","Bulawayo","22 Nov 2003","ODI # 2065","Chris Gayle ",51880
"655","8","8","15","53.33","1","0","v Zimbabwe","Bulawayo","23 Nov 2003","ODI # 2066","Chris Gayle ",51880
"656","61","61","112","54.46","7","0","v Zimbabwe","Harare","26 Nov 2003","ODI # 2067","Chris Gayle ",51880
"657","51","51","34","150.00","7","3","v Zimbabwe","Harare","29 Nov 2003","ODI # 2069","Chris Gayle ",51880
"658","112*","112","75","149.33","17","2","v Zimbabwe","Harare","30 Nov 2003","ODI # 2070","Chris Gayle ",51880
"659","4","4","15","26.66","1","0","v South Africa","Cape Town","25 Jan 2004","ODI # 2088","Chris Gayle ",51880
"660","9","9","20","45.00","1","0","v South Africa","Port Elizabeth","28 Jan 2004","ODI # 2090","Chris Gayle ",51880
"661","1","1","16","6.25","0","0","v South Africa","Durban","30 Jan 2004","ODI # 2092","Chris Gayle ",51880
"662","26","26","22","118.18","2","2","v South Africa","Centurion","1 Feb 2004","ODI # 2094","Chris Gayle ",51880
"663","152*","152","153","99.34","12","3","v South Africa","Johannesburg","4 Feb 2004","ODI # 2096","Chris Gayle ",51880
"664","2","2","17","11.76","0","0","v England","Georgetown","18 Apr 2004","ODI # 2118","Chris Gayle ",51880
"665","20","20","42","47.61","2","0","v England","Port of Spain","24 Apr 2004","ODI # 2121","Chris Gayle ",51880
"666","36","36","42","85.71","5","1","v England","Gros Islet","1 May 2004","ODI # 2125","Chris Gayle ",51880
"667","9","9","10","90.00","1","0","v England","Gros Islet","2 May 2004","ODI # 2126","Chris Gayle ",51880
"668","41","41","52","78.84","4","1","v England","Bridgetown","5 May 2004","ODI # 2127","Chris Gayle ",51880
"669","0","0","8","0.00","0","0","v Bangladesh","Kingstown","15 May 2004","ODI # 2128","Chris Gayle ",51880
"670","7","7","22","31.81","1","0","v Bangladesh","Kingstown","16 May 2004","ODI # 2129","Chris Gayle ",51880
"671","30","30","49","61.22","5","0","v New Zealand","Birmingham","26 Jun 2004","ODI # 2134","Chris Gayle ",51880
"672","60*","60","90","66.66","9","0","v England","Nottingham","27 Jun 2004","ODI # 2135","Chris Gayle ",51880
"673","23","23","29","79.31","5","0","v England","Leeds","1 Jul 2004","ODI # 2137","Chris Gayle ",51880
"674","27","27","58","46.55","4","0","v New Zealand","Cardiff","3 Jul 2004","ODI # 2138","Chris Gayle ",51880
"675","132*","132","165","80.00","12","1","v England","Lord's","6 Jul 2004","ODI # 2140","Chris Gayle ",51880
"676","TDNB","-","-","-","-","-","v New Zealand","Southampton","8 Jul 2004","ODI # 2141","Chris Gayle ",51880
"677","4","4","13","30.76","0","0","v New Zealand","Lord's","10 Jul 2004","ODI # 2142","Chris Gayle ",51880
"678","99","99","132","75.00","6","0","v Bangladesh","Southampton","15 Sep 2004","ODI # 2175","Chris Gayle ",51880
"679","16","16","19","84.21","3","0","v South Africa","The Oval","18 Sep 2004","ODI # 2178","Chris Gayle ",51880
"680","1","1","8","12.50","0","0","v Pakistan","Southampton","22 Sep 2004","ODI # 2181","Chris Gayle ",51880
"681","23","23","33","69.69","5","0","v England","The Oval","25 Sep 2004","ODI # 2182","Chris Gayle ",51880
"682","1","1","9","11.11","0","0","v Asia XI","Melbourne","10 Jan 2005","ODI # 2203","Chris Gayle ",51880
"683","0","0","3","0.00","0","0","v Australia","Melbourne","14 Jan 2005","ODI # 2204","Chris Gayle ",51880
"684","82","82","99","82.82","7","0","v Pakistan","Brisbane","19 Jan 2005","ODI # 2206","Chris Gayle ",51880
"685","26","26","22","118.18","3","1","v Australia","Brisbane","21 Jan 2005","ODI # 2208","Chris Gayle ",51880
"686","2","2","11","18.18","0","0","v Australia","Adelaide","26 Jan 2005","ODI # 2212","Chris Gayle ",51880
"687","9","9","12","75.00","1","0","v Pakistan","Adelaide","28 Jan 2005","ODI # 2213","Chris Gayle ",51880
"688","0","0","3","0.00","0","0","v Pakistan","Perth","1 Feb 2005","ODI # 2218","Chris Gayle ",51880
"689","26","26","31","83.87","4","0","v South Africa","Kingston","7 May 2005","ODI # 2241","Chris Gayle ",51880
"690","11","11","15","73.33","2","0","v South Africa","Kingston","8 May 2005","ODI # 2242","Chris Gayle ",51880
"691","132","132","152","86.84","7","2","v South Africa","Bridgetown","11 May 2005","ODI # 2243","Chris Gayle ",51880
"692","3","3","5","60.00","0","0","v South Africa","Port of Spain","14 May 2005","ODI # 2244","Chris Gayle ",51880
"693","28","28","20","140.00","5","1","v South Africa","Port of Spain","15 May 2005","ODI # 2245","Chris Gayle ",51880
"694","22","22","21","104.76","5","0","v Pakistan","Kingstown","18 May 2005","ODI # 2246","Chris Gayle ",51880
"695","43","43","45","95.55","5","1","v Pakistan","Gros Islet","21 May 2005","ODI # 2247","Chris Gayle ",51880
"696","124","124","137","90.51","13","0","v Pakistan","Gros Islet","22 May 2005","ODI # 2248","Chris Gayle ",51880
"697","54","54","48","112.50","8","1","v Australia","Melbourne (Docklands)","7 Oct 2005","ODI # 2283","Chris Gayle ",51880
"698","0","0","2","0.00","0","0","v Australia","Melbourne (Docklands)","9 Oct 2005","ODI # 2284","Chris Gayle ",51880
"699","6","6","5","120.00","1","0","v New Zealand","Wellington","18 Feb 2006","ODI # 2332","Chris Gayle ",51880
"700","0","0","16","0.00","0","0","v New Zealand","Queenstown","22 Feb 2006","ODI # 2335","Chris Gayle ",51880
"701","38","38","23","165.21","6","2","v New Zealand","Christchurch","25 Feb 2006","ODI # 2337","Chris Gayle ",51880
"702","5","5","11","45.45","1","0","v New Zealand","Napier","1 Mar 2006","ODI # 2342","Chris Gayle ",51880
"703","2","2","22","9.09","0","0","v New Zealand","Auckland","4 Mar 2006","ODI # 2346","Chris Gayle ",51880
"704","35","35","71","49.29","3","1","v Zimbabwe","St John's","29 Apr 2006","ODI # 2368","Chris Gayle ",51880
"705","49","49","73","67.12","7","0","v Zimbabwe","St John's","30 Apr 2006","ODI # 2369","Chris Gayle ",51880
"706","95*","95","91","104.39","13","1","v Zimbabwe","Gros Islet","10 May 2006","ODI # 2371","Chris Gayle ",51880
"707","2","2","17","11.76","0","0","v Zimbabwe","Port of Spain","13 May 2006","ODI # 2372","Chris Gayle ",51880
"708","11","11","32","34.37","0","0","v Zimbabwe","Port of Spain","14 May 2006","ODI # 2373","Chris Gayle ",51880
"709","123","123","130","94.61","18","2","v India","Kingston","18 May 2006","ODI # 2377","Chris Gayle ",51880
"710","0","0","8","0.00","0","0","v India","Kingston","20 May 2006","ODI # 2379","Chris Gayle ",51880
"711","40","40","65","61.53","5","1","v India","Basseterre","23 May 2006","ODI # 2380","Chris Gayle ",51880
"712","46","46","70","65.71","6","1","v India","Port of Spain","26 May 2006","ODI # 2381","Chris Gayle ",51880
"713","51","51","61","83.60","10","0","v India","Port of Spain","28 May 2006","ODI # 2382","Chris Gayle ",51880
"714","58","58","46","126.08","7","2","v Australia","Kuala Lumpur","12 Sep 2006","ODI # 2413","Chris Gayle ",51880
"715","45","45","35","128.57","9","0","v India","Kuala Lumpur","14 Sep 2006","ODI # 2414","Chris Gayle ",51880
"716","79","79","93","84.94","7","3","v Australia","Kuala Lumpur","18 Sep 2006","ODI # 2417","Chris Gayle ",51880
"717","1","1","7","14.28","0","0","v India","Kuala Lumpur","20 Sep 2006","ODI # 2419","Chris Gayle ",51880
"718","0","0","1","0.00","0","0","v Australia","Kuala Lumpur","24 Sep 2006","ODI # 2422","Chris Gayle ",51880
"719","41","41","34","120.58","7","1","v Zimbabwe","Ahmedabad","8 Oct 2006","ODI # 2424","Chris Gayle ",51880
"720","104*","104","118","88.13","11","3","v Bangladesh","Jaipur","11 Oct 2006","ODI # 2426","Chris Gayle ",51880
"721","0","0","5","0.00","0","0","v Sri Lanka","Mumbai (BS)","14 Oct 2006","ODI # 2428","Chris Gayle ",51880
"722","24","24","26","92.30","4","0","v Australia","Mumbai (BS)","18 Oct 2006","ODI # 2432","Chris Gayle ",51880
"723","34","34","37","91.89","7","0","v India","Ahmedabad","26 Oct 2006","ODI # 2437","Chris Gayle ",51880
"724","101","101","128","78.90","10","1","v England","Ahmedabad","28 Oct 2006","ODI # 2439","Chris Gayle ",51880
"725","133*","133","135","98.51","17","3","v South Africa","Jaipur","2 Nov 2006","ODI # 2442","Chris Gayle ",51880
"726","37","37","27","137.03","6","2","v Australia","Mumbai (BS)","5 Nov 2006","ODI # 2443","Chris Gayle ",51880
"727","0","0","4","0.00","0","0","v Pakistan","Faisalabad","7 Dec 2006","ODI # 2460","Chris Gayle ",51880
"728","41","41","37","110.81","7","1","v Pakistan","Lahore","10 Dec 2006","ODI # 2463","Chris Gayle ",51880
"729","9","9","14","64.28","2","0","v Pakistan","Multan","13 Dec 2006","ODI # 2464","Chris Gayle ",51880
"730","7","7","10","70.00","1","0","v Pakistan","Karachi","16 Dec 2006","ODI # 2466","Chris Gayle ",51880
"731","52","52","46","113.04","10","0","v India","Nagpur","21 Jan 2007","ODI # 2480","Chris Gayle ",51880
"732","5","5","5","100.00","1","0","v India","Cuttack","24 Jan 2007","ODI # 2485","Chris Gayle ",51880
"733","0","0","1","0.00","0","0","v India","Chennai","27 Jan 2007","ODI # 2487","Chris Gayle ",51880
"734","6","6","11","54.54","1","0","v India","Vadodara","31 Jan 2007","ODI # 2493","Chris Gayle ",51880
"735","2","2","6","33.33","0","0","v Pakistan","Kingston","13 Mar 2007","ODI # 2531","Chris Gayle ",51880
"736","40","40","48","83.33","3","3","v Zimbabwe","Kingston","19 Mar 2007","ODI # 2543","Chris Gayle ",51880
"737","18","18","14","128.57","3","0","v Ireland","Kingston","23 Mar 2007","ODI # 2551","Chris Gayle ",51880
"738","2","2","23","8.69","0","0","v Australia","North Sound","27 Mar 2007","ODI # 2555","Chris Gayle ",51880
"739","44","44","56","78.57","8","0","v New Zealand","North Sound","29 Mar 2007","ODI # 2557","Chris Gayle ",51880
"740","10","10","21","47.61","1","0","v Sri Lanka","Providence","1 Apr 2007","ODI # 2560","Chris Gayle ",51880
"741","32","32","35","91.42","3","0","v South Africa","St George's","10 Apr 2007","ODI # 2567","Chris Gayle ",51880
"742","1","1","11","9.09","0","0","v Bangladesh","Bridgetown","19 Apr 2007","ODI # 2576","Chris Gayle ",51880
"743","79","79","58","136.20","10","3","v England","Bridgetown","21 Apr 2007","ODI # 2578","Chris Gayle ",51880
"744","6","6","14","42.85","1","0","v England","Lord's","1 Jul 2007","ODI # 2594","Chris Gayle ",51880
"745","36","36","40","90.00","2","3","v England","Birmingham","4 Jul 2007","ODI # 2597","Chris Gayle ",51880
"746","82","82","126","65.07","8","0","v England","Nottingham","7 Jul 2007","ODI # 2598","Chris Gayle ",51880
"747","51*","51","45","113.33","6","1","v Netherlands","Dublin","10 Jul 2007","ODI # 2599","Chris Gayle ",51880
"748","85*","85","94","90.42","8","3","v Scotland","Dublin","12 Jul 2007","ODI # 2601","Chris Gayle ",51880
"749","TDNB","-","-","-","-","-","v Ireland","Dublin","14 Jul 2007","ODI # 2603","Chris Gayle ",51880
"750","2","2","9","22.22","0","0","v Zimbabwe","Harare","30 Nov 2007","ODI # 2649","Chris Gayle ",51880
"751","58*","58","78","74.35","4","2","v Zimbabwe","Harare","2 Dec 2007","ODI # 2651","Chris Gayle ",51880
"752","52","52","81","64.19","8","1","v Sri Lanka","Port of Spain","10 Apr 2008","ODI # 2697","Chris Gayle ",51880
"753","11","11","20","55.00","1","0","v Sri Lanka","Port of Spain","12 Apr 2008","ODI # 2699","Chris Gayle ",51880
"754","DNB","-","-","-","-","-","v Sri Lanka","Gros Islet","15 Apr 2008","ODI # 2701","Chris Gayle ",51880
"755","20","20","26","76.92","3","0","v Australia","Kingstown","24 Jun 2008","ODI # 2713","Chris Gayle ",51880
"756","10","10","24","41.66","2","0","v Australia","St George's","27 Jun 2008","ODI # 2719","Chris Gayle ",51880
"757","53","53","54","98.14","5","3","v Australia","St George's","29 Jun 2008","ODI # 2724","Chris Gayle ",51880
"758","92","92","92","100.00","6","4","v Australia","Basseterre","4 Jul 2008","ODI # 2734","Chris Gayle ",51880
"759","5","5","8","62.50","1","0","v Australia","Basseterre","6 Jul 2008","ODI # 2736","Chris Gayle ",51880
"760","19","19","26","73.07","3","0","v Canada","King City (NW)","22 Aug 2008","ODI # 2749","Chris Gayle ",51880
"761","110*","110","77","142.85","14","6","v Canada","King City (NW)","24 Aug 2008","ODI # 2752","Chris Gayle ",51880
"762","113","113","106","106.60","11","5","v Pakistan","Abu Dhabi","12 Nov 2008","ODI # 2773","Chris Gayle ",51880
"763","0","0","6","0.00","0","0","v Pakistan","Abu Dhabi","14 Nov 2008","ODI # 2775","Chris Gayle ",51880
"764","122","122","137","89.05","5","6","v Pakistan","Abu Dhabi","16 Nov 2008","ODI # 2776","Chris Gayle ",51880
"765","25","25","36","69.44","1","1","v New Zealand","Queenstown","31 Dec 2008","ODI # 2786","Chris Gayle ",51880
"766","36","36","31","116.12","4","1","v New Zealand","Christchurch","3 Jan 2009","ODI # 2787","Chris Gayle ",51880
"767","18","18","24","75.00","3","0","v New Zealand","Wellington","7 Jan 2009","ODI # 2788","Chris Gayle ",51880
"768","46*","46","37","124.32","4","3","v New Zealand","Auckland","10 Jan 2009","ODI # 2789","Chris Gayle ",51880
"769","135","135","129","104.65","9","5","v New Zealand","Napier","13 Jan 2009","ODI # 2792","Chris Gayle ",51880
"770","2","2","11","18.18","0","0","v England","Providence","20 Mar 2009","ODI # 2826","Chris Gayle ",51880
"771","20","20","20","100.00","4","0","v England","Providence","22 Mar 2009","ODI # 2827","Chris Gayle ",51880
"772","80","80","43","186.04","5","8","v England","Bridgetown","27 Mar 2009","ODI # 2828","Chris Gayle ",51880
"773","46","46","39","117.94","3","5","v England","Bridgetown","29 Mar 2009","ODI # 2829","Chris Gayle ",51880
"774","0","0","3","0.00","0","0","v England","Gros Islet","3 Apr 2009","ODI # 2833","Chris Gayle ",51880
"775","31","31","28","110.71","3","2","v England","Bristol","24 May 2009","ODI # 2850","Chris Gayle ",51880
"776","11","11","10","110.00","2","0","v England","Birmingham","26 May 2009","ODI # 2851","Chris Gayle ",51880
"777","37","37","33","112.12","5","1","v India","Kingston","26 Jun 2009","ODI # 2852","Chris Gayle ",51880
"778","64","64","46","139.13","8","2","v India","Kingston","28 Jun 2009","ODI # 2853","Chris Gayle ",51880
"779","27","27","14","192.85","6","0","v India","Gros Islet","3 Jul 2009","ODI # 2854","Chris Gayle ",51880
"780","0","0","2","0.00","0","0","v India","Gros Islet","5 Jul 2009","ODI # 2855","Chris Gayle ",51880
"781","7","7","5","140.00","1","0","v Australia","Melbourne","7 Feb 2010","ODI # 2950","Chris Gayle ",51880
"782","0","0","1","0.00","0","0","v Australia","Adelaide","9 Feb 2010","ODI # 2952","Chris Gayle ",51880
"783","0*","0","6","0.00","0","0","v Australia","Sydney","12 Feb 2010","ODI # 2954","Chris Gayle ",51880
"784","34","34","21","161.90","6","0","v Australia","Brisbane","14 Feb 2010","ODI # 2955","Chris Gayle ",51880
"785","14","14","5","280.00","0","2","v Australia","Melbourne","19 Feb 2010","ODI # 2960","Chris Gayle ",51880
"786","57","57","66","86.36","2","3","v Zimbabwe","Providence","4 Mar 2010","ODI # 2967","Chris Gayle ",51880
"787","88","88","111","79.27","7","2","v Zimbabwe","Providence","6 Mar 2010","ODI # 2970","Chris Gayle ",51880
"788","33","33","53","62.26","3","1","v Zimbabwe","Kingstown","10 Mar 2010","ODI # 2972","Chris Gayle ",51880
"789","32","32","20","160.00","4","2","v Zimbabwe","Kingstown","12 Mar 2010","ODI # 2974","Chris Gayle ",51880
"790","63","63","41","153.65","8","2","v Zimbabwe","Kingstown","14 Mar 2010","ODI # 2976","Chris Gayle ",51880
