TypeLong,Name,Builders,#,Laid down,Launched,Commissioned,Status,Type,Namesake,Base,Displacement,Length,Beam,Draught,Engine,Installed power,Propulsion,Speed,Range,Endurance,Complement,Naval artillery,Anti-aircraft warfare,Armament,Anti-submarine missile,Torpedo tube,Aircraft carried,Navigation,Sensors and processing systems,Electronic warfare & decoys,Tactical ballistic missile,Value
Малые ракетные корабли проекта 21631 «Буян-М»,«Орехово-Зуево»,Зеленодольский ССЗ,626,29.05.2014,17.06.2018,10.12.2018,Active,малый ракетный корабль,,Севастополь,850 т (стандартное)949 т (полное),"74,1 м",11 м,"2,6 м",,,Водомётный движитель,25 узлов,2500 миль (на 12 узлах),10 суток,36 (до 52) человек,"1 × 100 мм АУ Универсал, 2 × 14,5 мм  п улеметная установка, 3 × 7,62 мм пулемётная установка",1 × 30 мм ЗАК Дуэт,1 × 8 Калибр2 ПУ 3М47 «Гибка» с ЗУР Верба или Игла-С,,,,,,,,
Малые ракетные корабли проекта 21631 «Буян-М»,«Ингушетия»,Зеленодольский ССЗ,630,29.08.2014,11.06.2019,28.12.2019,Active,малый ракетный корабль,,Севастополь,850 т (стандартное)949 т (полное),"74,1 м (наибольшая)",11 м,"2,6 м",,,Водомётный движитель,12 узлов (экономическая)25 узлов (полная),2500 миль (на 12 узлах),10 суток,36 (до 52) человек,"1 × 100 мм АУ Универсал, 2 × 14,5 мм  пулеметная установка, 3 × 7,62 мм пулеметная установка",1 × 30 мм ЗАК Дуэт,1 × 8 Калибр2 ПУ 3М47 «Гибка» с ЗУР Верба или Игла-С,,,,,,,,
Малые ракетные корабли проекта 21631 «Буян-М»,«Грайворон»,Зеленодольский ССЗ,600,10.04.2015,05.04.2020,30.01.2021,Active,малый ракетный корабль,,Севастополь,850 т (стандартное)949 т (полное),"74,1 м",11 м,"2,6 м",,,Водомётный движитель,25 узлов,2500 миль (на 12 узлах),10 суток,36 (до 52) человек,"1 × 100 мм АУ Универсал, 2 × 14,5 мм  п улеметная установка, 3 × 7,62 мм пулеметная установка",1 × 30 мм ЗАК Дуэт,1 × 8 Калибр2 ПУ 3М47 «Гибка» с ЗУР Верба или Игла-С,,,,,,,,
Малые ракетные корабли проекта 22800 «Каракурт»,«Циклон»,ССЗ «Залив» (Керчь),633,26.07.2016,24.07.2020,2022,Sea trials,малый ракетный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Малые ракетные корабли проекта 22800 «Каракурт»,«Аскольд»,ССЗ «Залив» (Керчь),,18.11.2016,21.09.2021,2022,Under construction,малый ракетный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Малые ракетные корабли проекта 22800 «Каракурт»,«Амур»,ССЗ «Залив» (Керчь),,30.07.2017,2022,2022,Under construction,малый ракетный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Ракетные катера проекта 1241 «Молния-1»,«Шуя»,Средне-Невский ССЗ,962,12.08.1981,14.09.1983,10.06.1985,Ship breaking,,,,,,,,,,,,,,,,,,,,,,,,,
Ракетные катера проекта 1241 «Молния-1»,«Р-60»,Средне-Невский ССЗ,955,10.12.1985,30.12.1986,12.12.1987,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Ракетные катера проекта 1241 «Молния-1»,«Набережные Челны»,Средне-Невский ССЗ,953,05.10.1987,30.12.1988,21.09.1989,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Ракетные катера проекта 1241 «Молния-1»,«Ивановец»,Средне-Невский ССЗ,954,04.01.1989,28.07.1989,30.12.1989,Active,,,,,,,,,,,,,,,,,,,,,,,,,
Малые противолодочные корабли проекта 1124М «Альбатрос/-М»,«Александровец»,Зеленодольский ССЗ,059,23.03.1980,14.02.1982,31.08.1982,Ship breaking,малый противолодочный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Малые противолодочные корабли проекта 1124М «Альбатрос/-М»,«Муромец»,ССЗ «Ленинская кузница»,064,30.03.1980,27.03.1982,10.12.1982,In refit,малый противолодочный корабль,,Севастополь,930 т (стандартное)1 070 т (полное),"71,2 м (наибольшая)65,9 м (по ватерлинии)","10,15 м (наибольшая)9,5 м (по ватерлинии)","3,71 м (средняя)6,28 м (по обтекателю ГАС)",ДГТУ М-8М2 ДД М-507А,18 000 л. с. + 20 000 л. с.,3,"32-35 узла (полная),15 узлов (экономическая)","2700 миль на 15 узлах, 1890 миль на 19 узлах",10 суток,"89 человек, в том числе 9 офицеров",,1 × 1 × 76-мм артустановка АК-176 (боекомплект 550 снарядов)1 × 6 × 30-мм артустановка АК-630М (боекомплект 2000 снарядов),1 × 2 × ЗРК «Оса-МА» (20 ракет),1 × 12 × 213-мм реактивный бомбомет РБУ-6000 (боезапас — 12 глубинных бомб или 18 мин),2 × 2 × 533-мм торпедных аппарата,,,,,,
Малые противолодочные корабли проекта 1124М «Альбатрос/-М»,«Суздалец»,ССЗ «Ленинская кузница»,071,01.08.1981,27.03.1983,03.10.1983,Active,малый противолодочный корабль,,,"1065 т (стандартное),1220 т (полное)","71,12 м (наибольшая)66,0 м (по ватерлинии)","10,15 м (наибольшая)9,5 м (по ватерлинии)","3,64 м (средняя)6,1 м (по обтекателю ГАС)",1 ГТД ДЕ-592 ДД М-507А,18 000 л.с.20 000 л.с.,3,"31-32 узла (полная),14 узлов (экономическая)",2200 миль (14 узлов)1940 миль (19 узлов),9 суток,"86 человек, в том числе 9 офицеров",,1×1×76-мм АКУ АК-176М (боезапас — 550 выстрелов)1×6 АК-630М (2000 выстрелов),ЗРК «Оса-МА» (боезапас — 20 ЗУР),1×12×213-мм бомбомёт РБУ-6000 (боезапас — 48 глубинных бомб),2×2×533-мм ТА (4 торпеды СЭТ-65),,,,,,
Тральщики проекта 266-М «Аквамарин-М»,«Иван Голубец»,Средне-Невский ССЗ,911,,,30.11.1973,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Тральщики проекта 266-М «Аквамарин-М»,«Ковровец»,Средне-Невский ССЗ,913,,,08.11.1974,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Тральщики проекта 266-М «Аквамарин-М»,«Турбинист»,Средне-Невский ССЗ,912,,,30.12.1975,Ship breaking,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Базовые тральщики проекта 12700 «Александрит»,«Иван Антонов»,Средне-Невский ССЗ,601,25.01.2017,25.04.2018,26.01.2019,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Базовые тральщики проекта 12700 «Александрит»,«Владимир Емельянов»,Средне-Невский ССЗ,659,20.04.2017,30.05.2019,28.12.2019,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Базовые тральщики проекта 12700 «Александрит»,«Георгий Курбатов»,Средне-Невский ССЗ,631,24.04.2015,30.09.2020,20.08.2021,Active,тральщик,,,,,,,,,,,,,,,,,,,,,,,,
Малые противолодочные корабли проекта 1124М «Альбатрос-М»,«Касимов»,ССЗ «Ленинская кузница»,055,20.02.1984,07.12.1985,07.10.1986,Active,малый противолодочный корабль,,,"1065 т (стандартное),1220 т (полное)","71,12 м (наибольшая),66,0 м (по ватерлинии)","10,15 м (наибольшая),9,5 м (по ватерлинии)","3,64 м (средняя),6,1 м (по обтекателю ГАС)",1 ГТД ДЕ-59 (18 000 л.с.)2 ДД М-507А (20 000 л.с.),,3,"31-32 узла (полная),14 узлов (экономическая)","2200 морских миль (на 14 узлах),1940 миль (на 19 узлах)",9 суток,"81 человек, в том числе 7 офицеров",,1 × 1 × 76-мм АКУ АК-176 (боезапас — 304 выстрела) 1 × 6 × 30-мм АК-630М (3000 выстрелов)2 × 16 ПУ ПК-16,ЗРК «Оса-МА» (боезапас — 20 ЗУР),1 × 12 × 213-мм бомбомёт РБУ-6000 (боезапас — 48 глубинных бомб),2 × 2 × 533-мм ТА (4 торпеды СЭТ-65),,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Поворино»,ССЗ «Ленинская кузница»,053,12.06.1986,06.05.1988,03.04.1989,Active,малый противолодочный корабль,,Новороссийск,"1065 т (стандартное), 1220 т (полное)","71,12 м (наибольшая) 66,0 м (по ватерлинии)","10,15 м (наибольшая)9,5 м (по ватерлинии)","3,64 м (средняя)6,1 м (по обтекателю ГАС)",1 ГТД ДЕ-59 (18 000 л. с.) 2 ДД М-507А (20 000 л. с.),,3,"31-32 узла (полная), 14 узлов (экономичная)","2200 морских миль на 14 узлах,  1940 миль на 19 узлах",9 суток,"84 человек, в том числе 7 офицеров",,1×1 76-мм АКУ АК-176М (боезапас — 354 выстрела) 1×6 АК-630М (6000 выстрелов),ЗРК «Оса-МА» (боезапас — 20 ЗУР),1×12 213-мм реактивная бомбомётная установка РБУ-6000 (боезапас — 48 реактивных глубинных бомб),2×2 533-мм ДТА-53-1124М (4 торпеды СЭТ-65 либо 4 торпеды 53-65К в противокорабельном варианте загрузки),,,"РЛС МР-750 «Фрегат-МА», РЛС МР-123 «Вымпел», НРЛС МР-231 «Пал»",,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Ейск»,ССЗ «Ленинская кузница»,054,16.03.1987,12.04.1989,26.12.1989,Active,малый противолодочный корабль,,,"1065 т (стандартное),1220 т (полное)","71,12 м (наибольшая)66,0 м (по ватерлинии)","10,15 м (наибольшая)9,5 м (по ватерлинии)","3,64 м (средняя)6,1 м (по обтекателю ГАС)",1 ГТД ДЕ-59 (18 000 л. с.)2 ДД М-507А (20 000 л. с.),,3,"31-32 узла (полная),14 узлов (экономическая)","2200 миль (на 14 узлах),1940 миль (на 19 узлах)",9 суток,"84 человек, в том числе 7 офицеров",,1 × 1 × 76-мм АКУ АК-176М (боезапас — 354 выстрела)1 × 6 ×30-мм АК-630М (3000 выстрелов),отсутствуетЗРК «Оса-МА» (боезапас — 20 ЗУР),1 × 12 ×213-мм реактивная бомбометная установка РБУ-6000 (боезапас — 48 реактивных глубинных бомб либо противолодочных ракет 90Р),2 × 2 × 533-мм ДТА-53-1124М (4 торпеды СЭТ-65),,"НРЛС МР-231 ""Пал""","РЛС МР-750 ""Фрегат-МА"" , РЛС МР-123 ""Вымпел""",,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Василий Быков»,Зеленодольский ССЗ,368,26.02.2014,28.08.2017,20.12.2018,Active,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Дмитрий Рогачёв»,Зеленодольский ССЗ,375,25.07.2014,08.04.2018,11.06.2019,Active,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Павел Державин»,ССЗ «Залив» (Керчь),363,18.02.2016,21.02.2019,27.11.2020,Active,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Сергей Котов»,ССЗ «Залив» (Керчь),383,08.05.2016,29.01.2021,15.05.2022,Active,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Виктор Великий»,Зеленодольский ССЗ,,25.11.2016,2022,2023,Under construction,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
Патрульные корабли проекта 22160 типа «Василий Быков»,«Николай Сипягин»,Зеленодольский ССЗ,,13.01.2018,2023,2023,Under construction,патрульный корабль,,,,,,,,,,,,,,,,,,,,,,,,
