RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
21,The Legend of Zelda: Breath of the Wild,(2017 Video Game),"Action, Adventure, Fantasy",9.4,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.",Hidemaro Fujibayashi,Kôji Takeda,Kentaro Tominaga,Kengo Takanashi,Yû Shimamura,6101,E10+
22,The Elder Scrolls V: Skyrim,(2011 Video Game),"Action, Adventure, Fantasy",9.4,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",Todd Howard,Michael Hogan,Max von Sydow,Christopher Plummer,Joan Allen,28061,M
23,Portal 2,(2011 Video Game),"Adventure, Comedy, Sci-Fi",9.4,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLADoS once again with the help of Wheatley, who has his own plans for the historical facility.",Ellen McLain,Stephen Merchant,J.K. Simmons,Joe Micheals,,14720,E10+
24,Batman: Arkham City,(2011 Video Game),"Action, Adventure, Crime",9.4,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",Sefton Hill,Kevin Conroy,Mark Hamill,David Kaye,Carlos Alazraqui,28939,T
25,Red Dead Redemption,(2010 Video Game),"Action, Adventure, Crime",9.4,A former outlaw is forced by the federal government to hunt down the members of his old gang.,Rob Wiethoff,Josh Blaylock,Sophia Marzocchi,Spider Madison,,25266,M
26,Uncharted 2: Among Thieves,(2009 Video Game),"Action, Adventure, Fantasy",9.4,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",Amy Hennig,Richard McGonagle,Nolan North,Emily Rose,Claudia Black,23148,T
27,Metal Gear Solid 4: Guns of the Patriots,(2008 Video Game),"Action, Adventure, Drama",9.4,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.",Hideo Kojima,David Hayter,Josh Keaton,Peter Lurie,Paul Eiding,10392,M
28,Grand Theft Auto: San Andreas,(2004 Video Game),"Action, Crime",9.4,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",Young Maylay,Faizon Love,Yolanda 'Yo-Yo' Whittaker,Clifton Powell,,37950,M
29,Half-Life 2,(2004 Video Game),"Action, Adventure, Sci-Fi",9.4,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.",David Speyrer,Robert Guillaume,Robert Culp,Louis Gossett Jr.,Michelle Forbes,15533,M
30,Silent Hill 2,(2001 Video Game),"Drama, Horror, Mystery",9.4,"After receiving a letter from his late wife, from Silent Hill, James Sunderland makes his way to the town in an attempt to find her.",Takayuki Kobayashi,David Schaufele,Guy Cihi,Monica Horgan,Donna Burke,6266,M
31,Baldur's Gate II: Shadows of Amn,(2000 Video Game),"Action, Adventure, Fantasy",9.4,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.",Feargus Urquhart,David Warner,Charlie Adler,Dee Bradley Baker,Michael Bell,2053,T
32,Planescape: Torment,(1999 Video Game),"Adventure, Drama, Fantasy",9.4,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.",Michael T. Weiss,Rob Paulsen,Jennifer Hale,Sheena Easton,,2000,T
33,Fallout 2: A Post-Nuclear Role-Playing Game,(1998 Video Game),"Action, Adventure, Sci-Fi",9.4,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.",Feargus Urquhart,Charlie Adler,Ron Perlman,Dwight Schultz,Jason Marsden,3764,M
34,Ghost of Tsushima,(2020 Video Game),"Action, Adventure, Drama",9.3,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",Nate Fox,Daisuke Tsuji,Eric Steinberg,Sumalee Montano,Patrick Gallagher,6278,M
35,Batman: Return to Arkham,(2016 Video Game),"Action, Adventure, Crime",9.3,Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,Sefton Hill,Mark Hamill,Kevin Conroy,Arleen Sorkin,Tom Kane,1463,T
