"Season","Player","WS"
1980,"Campy Russell",1.8
1980,"Carl Kilpatrick",0
1980,"Cedric Maxwell",12.2
1980,"Charlie Criss",2.8
1980,"Charlie Scott",-1.4
1980,"Cheese Johnson",0
1980,"Chris Ford",5.6
1980,"Clemon Johnson",3.5
1980,"Cliff Robinson",3.6
1980,"Clifford Ray",1.9
1980,"Clint Richardson",1.1
1980,"Coby Dietrick",2.9
1980,"Corky Calhoun",0
1980,"Dan Issel*",11.5
1980,"Dan Roundfield",9.1
1980,"Darnell Hillman",0.3
1980,"Darryl Dawkins",5.7
1980,"Dave Corzine",0.9
1980,"Dave Cowens*",5.4
1980,"Dave Greenwood",6.5
1980,"Dave Meyers",3.9
1980,"Dave Robisch",8.6
1980,"Dave Twardzik",3.7
1980,"David Thompson*",3
1980,"Del Beshore",-0.9
1980,"Dennis Awtrey",0.6
1980,"Dennis Johnson*",7.4
1980,"Don Buse",4.6
1980,"Don Chaney",0.4
1980,"Don Ford",1.5
1980,"Doug Collins",1.9
1980,"Duck Williams",-0.3
1980,"Dudley Bradley",3.1
1980,"Dwight Jones",2.7
1980,"Earl Evans",0.1
1980,"Earl Monroe*",1.1
1980,"Earl Tatum",0
1980,"Eddie Johnson",8.2
1980,"Eddie Jordan",4.1
1980,"Elvin Hayes*",6.2
1980,"Eric Fernsten",1.2
1980,"Eric Money",0.6
1980,"Ernie Grunfeld",2.5
1980,"Foots Walker",6.1
1980,"Fred Brown",4.9
1980,"Freeman Williams",4.1
1980,"Gar Heard",2.3
1980,"Gary Garland",0.5
1980,"Geoff Huston",-0.3
1980,"George Gervin*",10.6
1980,"George Johnson",2.6
1980,"George McGinnis",1.9
1980,"Gerald Henderson",1.7
1980,"Glen Gondrezick",3.1
1980,"Greg Ballard",6.9
1980,"Greg Deane",-0.1
1980,"Greg Kelser",1.4
1980,"Gus Bailey",0.2
1980,"Gus Gerard",1.9
1980,"Gus Williams",11.6
1980,"Harry Davis",0
1980,"Harvey Catchings",2.6
1980,"Henry Bibby",3.4
1980,"Hollis Copeland",1.2
1980,"Irv Kiffin",-0.6
1980,"Jack Givens",2.2
1980,"Jack Sikma",8.6
1980,"Jackie Robinson",0.2
1980,"Jamaal Wilkes*",10
1980,"James Bailey",1
1980,"James Edwards",6.7
1980,"James Hardy",1.8
1980,"James Silas",5.5
1980,"Jan Van Breda Kolff",3.9
1980,"Jeff Cook",2.4
1980,"Jeff Judkins",1.8
1980,"Jerome Whitehead",0.2
1980,"Jim Brewer",2
1980,"Jim Chones",3.5
1980,"Jim Cleamons",2.3
1980,"Jim McElroy",0.8
1980,"Jim Paxson",0.3
1980,"Jim Spanarkel",0.4
1980,"Jo Jo White*",1.5
1980,"Joe Bryant",1.8
1980,"Joe Hassett",2
1980,"Joe Meriweather",2.2
1980,"Joel Kramer",1.4
1980,"John Brown",0.1
1980,"John Coughran",-0.3
1980,"John Drew",6.4
1980,"John Gianelli",-0.4
1980,"John Johnson",4.9
1980,"John Kuester",0.1
1980,"John Lambert",1.8
1980,"John Long",3.6
1980,"John Lucas",5.9
1980,"John Mengelt",0.6
1980,"John Olive",-0.1
1980,"John Roche",4.2
1980,"John Shumate",3.5
1980,"John Williamson",1.3
1980,"Johnny Davis",4.4
1980,"Johnny High",1.1
1980,"Julius Erving*",12.5
1980,"Junior Bridgeman",6.1
1980,"Kareem Abdul-Jabbar*",14.8
1980,"Kenny Carr",3.8
1980,"Kent Benson",3.2
1980,"Kermit Washington",9.1
1980,"Kevin Grevey",3.3
1980,"Kevin Kunnert",0.2
1980,"Kevin Porter",1.8
1980,"Kevin Restani",3.5
1980,"Kim Hughes",2.2
1980,"Larry Bird*",11.2
1980,"Larry Demic",-0.1
1980,"Larry Kenon",5.4
1980,"Larry Steele",0.5
1980,"Larry Wright",1.8
1980,"Lawrence Boston",0.2
1980,"Len Elmore",1.5
1980,"Leon Douglas",2.1
1980,"Lionel Hollins",0.1
1980,"Lloyd Walton",1.1
1980,"Lonnie Shelton",7.5
1980,"M.L. Carr",5.2
1980,"Mack Calvin",1.4
1980,"Magic Johnson*",10.5
1980,"Major Jones",1.3
1980,"Mark Landsberger",3.4
1980,"Mark Olberding",3.1
1980,"Marlon Redmond",0.3
1980,"Marques Johnson",11.5
1980,"Marty Byrnes",0
1980,"Marvin Barnes",0.1
1980,"Marvin Webster",0.2
1980,"Maurice Cheeks",7.9
1980,"Maurice Lucas",2.4
1980,"Michael Cooper",4
1980,"Micheal Ray Richardson",6
1980,"Mickey Johnson",7.3
1980,"Mike Bantom",3.9
1980,"Mike Bratz",1.5
1980,"Mike Dunleavy",1.4
1980,"Mike Evans",0.1
1980,"Mike Gale",2.2
1980,"Mike Glenn",2.1
1980,"Mike Green",0.4
1980,"Mike Mitchell",8.3
1980,"Mike Newlin",6.5
1980,"Mitch Kupchak",0.2
1980,"Moses Malone*",11.9
1980,"Nick Weatherspoon",0.1
1980,"Norm Nixon",6.7
1980,"Ollie Johnson",2.3
1980,"Ollie Mack",1
1980,"Otis Birdsong",8.6
1980,"Pat Cummings",2.5
1980,"Paul Dawkins",-0.1
1980,"Paul Griffin",4.4
1980,"Paul Mokeski",-0.1
1980,"Paul Silas",2.2
1980,"Paul Westphal",10.5
1980,"Pete Maravich*",0.5
1980,"Phil Chenier",0
1980,"Phil Ford",6.1
1980,"Phil Hubbard",1.6
1980,"Phil Jackson*",0.5
1980,"Phil Smith",2.2
1980,"Purvis Short",3.7
1980,"Quinn Buckner",4.4
1980,"Ralph Simpson",-0.1
1980,"Randy Smith",4.2
1980,"Ray Williams",8.2
1980,"Raymond Townsend",0.4
1980,"Reggie King",6.2
1980,"Reggie Theus",6.9
1980,"Rich Kelley",4.3
1980,"Richard Washington",2
1980,"Rick Barry*",3.4
1980,"Rick Robey",5.5
1980,"Rick Wilson",-0.2
1980,"Ricky Sobers",2.4
1980,"Robert Parish*",4.6
1980,"Robert Reid",4.9
1980,"Robert Smith",1.4
1980,"Roger Brown",0.1
1980,"Roger Phegley",2.6
1980,"Ron Behagen",0.1
1980,"Ron Boone",1
1980,"Ron Brewer",4.3
1980,"Ron Carter",-0.1
1980,"Ron Lee",0.8
1980,"Roy Hamilton",-0.4
1980,"Rudy Tomjanovich",3.6
1980,"Rudy White",0.1
1980,"Sam Lacey",5.6
1980,"Sam Pellom",0.7
1980,"Sam Smith",0.8
1980,"Scott May",2.4
1980,"Scott Wedman",7.1
1980,"Sidney Moncrief",4.9
1980,"Sidney Wicks",-0.1
1980,"Sly Williams",-0.1
1980,"Sonny Parker",6.8
1980,"Spencer Haywood*",3.1
1980,"Stan Pietkiewicz",1
1980,"Steve Hawes",6
1980,"Steve Malovic",0.3
1980,"Steve Mix",5.5
1980,"Swen Nater",6.8
1980,"Sylvester Norris",-0.2
1980,"T.R. Dunn",3.3
1980,"Terry Crosby",0
1980,"Terry Duerod",0.7
1980,"Terry Furlow",2.8
1980,"Terry Tyler",3.4
1980,"Tim Bassett",0.1
1980,"Tiny Archibald*",8.9
1980,"Toby Knight",7.3
1980,"Tom Abernethy",2
1980,"Tom Boswell",3.7
1980,"Tom Burleson",-0.1
1980,"Tom Henderson",1.3
1980,"Tom LaGarde",2.2
1980,"Tom McMillen",2.9
1980,"Tom Owens",6.9
1980,"Tony Zeno",-0.2
1980,"Tree Rollins",9.2
1980,"Truck Robinson",6
1980,"Vinnie Johnson",0.2
1980,"Wally Walker",2
1980,"Walt Frazier*",0
1980,"Walter Davis",8.3
1980,"Wayne Cooper",2.8
1980,"Wes Unseld*",8.4
1980,"Wiley Peck",0.3
1980,"Willie Smith",1
1980,"Winford Boynes",1.7
1980,"World B. Free",8
1981,"Abdul Jeelani",1.6
1981,"Adrian Dantley*",13.6
1981,"Alan Hardy",-0.2
1981,"Alex English*",8.3
1981,"Allan Bristow",2.7
1981,"Allen Leavell",1.9
1981,"Alvan Adams",7.7
1981,"Alvin Scott",4.3
1981,"Andre McCarter",0.3
1981,"Andrew Toney",2.2
1981,"Anthony Roberts",-0.2
1981,"Armond Hill",1
1981,"Art Collins",-0.4
1981,"Artis Gilmore*",12.3
1981,"Austin Carr",-0.4
1981,"Ben Poquette",5.4
1981,"Bernard King*",9.1
1981,"Bill Cartwright",10
1981,"Bill Hanzlik",2.4
1981,"Bill Laimbeer",5.4
1981,"Bill Mayfield",0
1981,"Bill Robinzine",2.3
1981,"Bill Willoughby",1.5
1981,"Billy Knight",8.4
1981,"Billy McKinney",3.4
1981,"Billy Paultz",2.7
1981,"Billy Ray Bates",3.6
1981,"Billy Reid",-0.6
1981,"Bob Dandridge",0.5
1981,"Bob Elliott",1.6
1981,"Bob Gross",4.4
1981,"Bob Lanier*",6.8
1981,"Bob McAdoo*",0.2
1981,"Bob Wilkerson",3.2
1981,"Bobby Jones",9.2
1981,"Brad Davis",4.2
1981,"Brad Holland",0.1
1981,"Brett Vroman",0.1
1981,"Brian Taylor",7.1
1981,"Brian Winters",3.5
1981,"Butch Carter",0.9
1981,"Caldwell Jones",5.5
1981,"Calvin Garrett",1.4
1981,"Calvin Murphy*",5.4
1981,"Calvin Natt",4.2
1981,"Campy Russell",4.3
1981,"Carl Nicks",-0.2
1981,"Carlos Terry",0.8
1981,"Cedric Maxwell",11
1981,"Cedrick Hordges",1.5
1981,"Chad Kinch",-0.5
1981,"Charlie Criss",2.5
1981,"Chris Ford",3.7
1981,"Clarence Kea",0.5
1981,"Clemon Johnson",3.7
1981,"Cliff Robinson",2.5
1981,"Clifford Ray",-0.3
1981,"Clint Richardson",2.4
1981,"Coby Dietrick",2.1
1981,"Craig Shelton",0
1981,"Dan Issel*",10.5
1981,"Dan Roundfield",7
1981,"Darrell Allums",-0.3
1981,"Darrell Griffith",0.4
1981,"Darryl Dawkins",6.3
1981,"Darwin Cook",2.7
1981,"Dave Britton",0
1981,"Dave Corzine",5.1
1981,"Dave Greenwood",7.1
1981,"Dave Robisch",4.2
1981,"David Thompson*",6.4
1981,"Dennis Awtrey",0.6
1981,"Dennis Johnson*",8.4
1981,"DeWayne Scales",0.3
1981,"Dick Miller",-0.1
1981,"Don Buse",2
1981,"Don Collins",2.6
1981,"Don Ford",0.6
1981,"Doug Collins",0.7
1981,"Dudley Bradley",3.9
1981,"Dwight Jones",2.9
1981,"Earl Cureton",1.2
1981,"Eddie Johnson",6.9
1981,"Eddie Jordan",0.6
1981,"Edgar Jones",2.3
1981,"Edmund Lawrence",0.1
1981,"Elvin Hayes*",5.1
1981,"Eric Fernsten",0.5
1981,"Ernie Grunfeld",3.5
1981,"Foots Walker",1.5
1981,"Frankie Sanders",0.1
1981,"Fred Brown",5.2
1981,"Freeman Williams",4
1981,"Gar Heard",2
1981,"Geoff Crompton",0
1981,"Geoff Huston",1.7
1981,"George Gervin*",10.5
1981,"George Johnson",4.5
1981,"George McGinnis",1.7
1981,"Gerald Henderson",1.3
1981,"Glen Gondrezick",3.1
1981,"Greg Ballard",6.9
1981,"Greg Kelser",0
1981,"Gus Gerard",0.3
1981,"Harvey Catchings",3.1
1981,"Hawkeye Whitney",1.5
1981,"Henry Bibby",1
1981,"Jack Sikma",8
1981,"Jacky Dorsey",-0.1
1981,"Jamaal Wilkes*",8.5
1981,"James Bailey",4.9
1981,"James Donaldson",2.5
1981,"James Edwards",7
1981,"James Hardy",0.7
1981,"James Ray",-0.2
1981,"James Silas",7
1981,"James Wilkes",0.8
1981,"Jan Van Breda Kolff",0.6
1981,"Jawann Oldham",0
1981,"Jeff Cook",4.5
1981,"Jeff Judkins",0.7
1981,"Jeff Wilkins",0.5
1981,"Jerome Whitehead",0.2
1981,"Jerry Sichting",0.3
1981,"Jim Brewer",2.2
1981,"Jim Chones",4.7
