Incident_Date,Aircaft_Model,Aircaft_Registration,Aircaft_Operator,Aircaft_Nature,Incident_Category,Incident_Cause(es),Incident_Location,Aircaft_Damage_Type,Date,Time,Arit,Aircaft_Engines,Onboard_Crew,Onboard_Passengers,Onboard_Total,Fatalities,Aircaft_First_Flight,Aircraft_Phase,Departure_Airport,Destination_Airport,Ground_Casualties,Collision_Casualties
24-AUG-2021,Cirrus SF50 Vision Jet,N1GG,N1GG LLC,Executive,Accident | hull-loss,"Landing/takeoff - Takeoff - Aborted, Result - Runway excursion",Lansing-Capi...,Destroyed,Tuesday 24 August 2021,18:58,24-AUG-2021,1 Williams International FJ33-5A,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 4,0,2020,Takeoff (TOF),"Lansing-Capital Region International Airport, MI (LAN/KLAN) , United States of America","Melbourne International Airport, FL (MLB/KMLB) , United States of America",,
02-SEP-2021,Cessna 560 Citation XLS+,N560AR,Brook Haven Properties LLC,Private,Accident | hull-loss,"Airplane - Undercarriage, Airplane - Undercarriage - Brakes, Result - Runway excursion",near Plainville-R...,Destroyed,Thursday 2 September 2021,09:51,02-SEP-2021,2 Pratt Whitney Canada PW545,Fatalities: 2 / Occupants: 2,Fatalities: 2 / Occupants: 2,Fatalities: 4 / Occupants: 4,4,2009,Takeoff (TOF),"Plainville-Robertson Airport, CT , United States of America","Manteo-Dare County Regional Airport, NC (MEO/KMQI) , United States of America",,
12-SEP-2021,Let L-410UVP-E20,RA-67042,"Aeroservice, opf SiLA - Siberian Light Aviation",Domestic Scheduled Passenger,Accident | hull-loss,"Result - CFIT - Hill, mountain",near Kazachinskoy...,Destroyed,Sunday 12 September 2021,22:51,12-SEP-2021,2 General Electric H80-200,Fatalities: 1 / Occupants: 2,Fatalities: 3 / Occupants: 14,Fatalities: 4 / Occupants: 16,4,2014,Approach (APR),"Irkutsk Airport (IKT/UIII) , Russia","Kazachinskoye Airport (UITK) , Russia",,
12-SEP-2021,British Aerospace BAe-125,,private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Info-Unavailable,Río Catatumbo,Destroyed,Sunday 12 September 2021,,12-SEP-2021,,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,0,,Standing (STD),?,?,,
14-SEP-2021,Beechcraft B200GT King Air 250,PS-CSM,CSM Agropecuária,Unknown,Accident | hull-loss,Info-Unavailable,near Piracicaba A...,Destroyed,Tuesday 14 September 2021,08:40,14-SEP-2021,,Fatalities: 2 / Occupants: 2,Fatalities: 5 / Occupants: 5,Fatalities: 7 / Occupants: 7,7,2019,Initial climb (ICL),"Piracicaba Airport, SP (QHB/SDPW) , Brazil",?,,
14-SEP-2021,Raytheon Beechjet 400A,N100FN,Meander Air II LLC,Unknown,Accident | hull-loss,"Airplane - Engines, Airplane - Engines - Loss/opening of engine cowling",between Youn...,Substantial,Tuesday 14 September 2021,,14-SEP-2021,2 Pratt Whitney Canada JT15D-5R,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,2008,En route (ENR),"Youngstown Airport, OH (YNG/KYNG) , United States of America","Charleston Executive Airport, SC (KJZI) , United States of America",,
15-SEP-2021,de Havilland Canada DHC-6 Twin Otter 300,PK-OTW,Rimbun Air,Cargo,Accident | hull-loss,"Result - CFIT - Hill, mountain",near Bilogai/Suga...,Destroyed,Wednesday 15 September 2021,07:29,15-SEP-2021,2 Pratt Whitney Canada PT6A-27,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3,3,1976-06-03  (45 years 4 months),Approach (APR),"Nabire Airport (NBX/WABI) , Indonesia","Bilogai/Sugapa Airport (ZGP/WAYB) , Indonesia",,
17-SEP-2021,Canadair CRJ-200LR,N444ZW,"United Express, opb Air Wisconsin",Domestic Scheduled Passenger,Accident | repairable-damage,Result - Damaged on the ground,Asheville Re...,Substantial,Friday 17 September 2021,13:40,17-SEP-2021,2 General Electric CF34-3B1,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2003,Pushback / towing (PBT),"Asheville Regional Airport, NC (AVL/KAVL) , United States of America","Chicago-O'Hare International Airport, IL (ORD/KORD) , United States of America",,
22-SEP-2021,Antonov An-26KPA,RA-26673,LPS Flight Checks Systems,"Aerial Work (Calibration, Photo)",Accident | hull-loss,"Result - CFIT - Hill, mountain",near Khabarovsk,Destroyed,Wednesday 22 September 2021,18:11,22-SEP-2021,2 Ivchenko AI-24VT,Fatalities: 6 / Occupants: 6,Fatalities: 0 / Occupants: 0,Fatalities: 6 / Occupants: 6,6,1979,En route (ENR),"Khabarovsk-Novy Airport (KHV/UHHH) , Russia","Khabarovsk-Novy Airport (KHV/UHHH) , Russia",,
23-SEP-2021,Airbus A321-271N,N208HA,Hawaiian Airlines,Domestic Scheduled Passenger,Accident | repairable-damage,"Landing/takeoff - Tailstrike, Result - Runway mishap",Honolulu-Dan...,Substantial,Thursday 23 September 2021,09:21,23-SEP-2021,2 Pratt Whitney PW1133G,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 128,Fatalities: 0 / Occupants: 134,0,2018-09-11  (3 years ),Landing (LDG),"San Jose-Norman Y. Mineta International Airport (SJC/KSJC) , United States of America","Honolulu-Daniel K. Inouye International Airport, HI (HNL/PHNL) , United States of America",,
25-SEP-2021,Cessna 208B Super Cargomaster,OO-FFB,Paracentrum Vlaanderen,Parachuting,Accident | repairable-damage,Result - Runway mishap,Moorsele Air...,Substantial,Saturday 25 September 2021,19:07,25-SEP-2021,1 Pratt Whitney Canada PT6A-114A,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 1,0,2000,Landing (LDG),"Moorsele Airfield (EBMO) , Belgium","Moorsele Airfield (EBMO) , Belgium",,
27-SEP-2021,Boeing 757-224 (WL),N12125,United Airlines,Domestic Scheduled Passenger,Accident | repairable-damage,"Landing/takeoff - Tailstrike, Result - Runway mishap",Denver Inter...,Substantial,Monday 27 September 2021,16:28,27-SEP-2021,2 Rolls-Royce RB211-535E4B,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 166,Fatalities: 0 / Occupants: 172,0,1998-01-18  (23 years 9 months),Takeoff (TOF),"Denver International Airport, CO (DEN/KDEN) , United States of America","Newark-Liberty International Airport, NJ (EWR/KEWR) , United States of America",,
28-SEP-2021,IAI 1124A Westwind II,PR-BVB,Brasil Vida Táxi Aéreo,Ambulance,Accident | repairable-damage,"Landing/takeoff - Takeoff - Aborted, Result - Runway excursion",Goiânia-Sant...,Substantial,Tuesday 28 September 2021,ca. 12:05,28-SEP-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 5,0,1983,Takeoff (TOF),"Goiânia-Santa Genoveva Airport, GO (GYN/SBGO) , Brazil","Port of Spain-Piarco Airport (POS/TTPP) , Trinidad and Tobago",,
29-SEP-2021,Britten-Norman BN-2B-26 Islander,J8-VBI,SVG Air,Domestic Scheduled Passenger,Accident | repairable-damage,Result - Runway excursion,Montserrat-J...,Substantial,Wednesday 29 September 2021,17:33,29-SEP-2021,,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 7,0,1981,Landing (LDG),"Antigua-V.C. Bird International Airport (ANU/TAPA) , Antigua and Barbuda","Montserrat-John A. Osborne Airport (MNI/TRPG) , Montserrat",,
05-OCT-2021,Dassault Falcon 20C,N283SA,Sierra West Airlines,Cargo,Accident | hull-loss,Info-Unavailable,near Thomson-McDu...,Destroyed,Tuesday 5 October 2021,05:44,05-OCT-2021,,Fatalities: 2 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 2,2,1967,Approach (APR),"Lubbock Preston Smith International Airport, TX (LBB/KLBB) , United States of America","Thomson-McDuffie County Airport, GA (KHQU) , United States of America",,
08-OCT-2021,Learjet 35A,unreg.,private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Info-Unavailable,near Little Beliz...,Destroyed,Friday 8 October 2021,,08-OCT-2021,2 Garrett TFE731,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,0,1982,Standing (STD),?,?,,
10-OCT-2021,Let L-410UVP-E3,RF-94591,DOSAAF,Parachuting,Accident | hull-loss,Result - Loss of control,near Menzelinsk A...,Damaged beyond repair,Sunday 10 October 2021,09:11,10-OCT-2021,2 Walter M-601E,Fatalities: 2 / Occupants: 2,Fatalities: 14 / Occupants: 20,Fatalities: 16 / Occupants: 22,16,1987,Approach (APR),"Menzelinsk Airport (UWKP) , Russia","Menzelinsk Airport (UWKP) , Russia",,
14-OCT-2021,Antonov An-2T,N857PF,private,Unknown,Accident | hull-loss,Result - Loss of control,near Alta Mesa Ai...,Destroyed,Thursday 14 October 2021,16:15,14-OCT-2021,1 Shvetsov ASh-62IR,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 4,0,1969,Initial climb (ICL),"Wilton-Alta Mesa Airpark, CA , United States of America",?,,
19-OCT-2021,McDonnell Douglas MD-87,N987AK,987 Investments LLC,Domestic Non Scheduled Passenger,Accident | hull-loss,"Airplane - Flight control surfaces, Airplane - Flight control surfaces - Elevator, Result - Runway excursion",Houston Exec...,Destroyed,Tuesday 19 October 2021,10:00,19-OCT-2021,2 Pratt Whitney JT8D-219,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 18,Fatalities: 0 / Occupants: 21,0,1987,Takeoff (TOF),"Houston Executive Airport, TX (KTME) , United States of America","Boston-Logan International Airport, MA (BOS/KBOS) , United States of America",,
19-OCT-2021,Rockwell Sabreliner 60,XB-ETV,private,Unknown,Accident | repairable-damage,Result - Runway excursion,Jacmel Airpo...,Substantial,Tuesday 19 October 2021,20:50,19-OCT-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,1975,Landing (LDG),?,?,,
19-OCT-2021,Antonov An-2R,RA-33350,AeroUral,Fire fighting,Accident | repairable-damage,"Result - Emergency, forced landing - Outside airport","near Alapayevsk, ...",Substantial,Tuesday 19 October 2021,15:35,19-OCT-2021,1 Shvetsov ASh-62IR,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,1987,Approach (APR),?,"Alapayevsk Airfield (USSQ) , Russia",,
22-OCT-2021,Cessna 208B Grand Caravan,N754KP,Alaska Seaplanes,Domestic Scheduled Passenger,Accident | repairable-damage,"Result - Loss of control, Result - Loss of control (presumed)",Juneau Inter...,Substantial,Friday 22 October 2021,ca 09:00,22-OCT-2021,1 Honeywell TPE331-12JR,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 6,0,2007,Takeoff (TOF),"Juneau International Airport, AK (JNU/PAJN) , United States of America","Skagway Municipal Airport, AK (SGY/PAGY) , United States of America",,
22-OCT-2021,Embraer EMB-500 Phenom 100,N925DR,Scout About LLC,Private,Accident | hull-loss,Result - Runway excursion,Orlando Inte...,Substantial,Friday 22 October 2021,17:50,22-OCT-2021,2 Pratt Whitney Canada PW617F-E,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 4,0,2009,Landing (LDG),"Charleston International Airport, SC (CHS/KCHS) , United States of America","Orlando International Airport, FL (MCO/KMCO) , United States of America",,
25-OCT-2021,Cessna 208 Caravan I,PK-SNN,Smart Cakrawala Aviation,Cargo,Accident | hull-loss,Info-Unavailable,Ilaga Airpor...,Destroyed,Monday 25 October 2021,c. 08:10,25-OCT-2021,1 Pratt Whitney Canada PT6A-114A,Fatalities: 1 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 2,1,2014,Landing (LDG),"Timika-Moses Kilangin (Tembagapura) Airport (TIM/WAYY) , Indonesia","Ilaga Airport (ILA/WABL) , Indonesia",,
29-OCT-2021,Cessna 208B Grand Caravan,PK-RVH,Reven Global Transpor,Cargo,Accident | hull-loss,Info-Unavailable,Dagi Baru Ai...,Damaged beyond repair,Friday 29 October 2021,10:30,29-OCT-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,,Landing (LDG),"Dekai - Yahukimo-Nop Goliat Airport (DEX/WAVD) , Indonesia","Dagi Baru Airstrip , Indonesia",,
30-OCT-2021,Beechcraft 200 King Air,C-GEHS,"PAL Airlines, opf EHS LifeFlight Services",Ambulance,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Landing gear collapse, Result - Emergency, forced landing - On runway",Halifax-Stan...,Substantial,Saturday 30 October 2021,15:32,30-OCT-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 6,0,1977,Landing (LDG),"Halifax-Stanfield International Airport, NS (YHZ/CYHZ) , Canada","Sydney Airport, NS (YQY/CYQY) , Canada",,
01-NOV-2021,de Havilland Canada DHC-6 Twin Otter 300,C-GNPS,Air Tindi,Domestic Scheduled Passenger,Accident | repairable-damage,"Airplane - Engines, Airplane - Engines - Fuel starvation, Result - Emergency, forced landing - Outside airport",near Fort Provide...,Unknown,Monday 1 November 2021,18:47,01-NOV-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 5,0,1978-03-06  (43 years 8 months),En route (ENR),"Yellowknife Airport, NT (YZF/CYZF) , Canada","Fort Simpson Airport, NT (YFS/CYFS) , Canada",,
02-NOV-2021,Antonov An-26,TR-NGT,"Optimum Aviation, opf Euro Airlines",Cargo,Accident | hull-loss,Info-Unavailable,near Juba Airport...,Destroyed,Tuesday 2 November 2021,10:40 UTC,02-NOV-2021,,Fatalities: 4 / Occupants: 4,Fatalities: 1 / Occupants: 1,Fatalities: 5 / Occupants: 5,5,,Initial climb (ICL),"Juba Airport (JUB/HSSJ) , South Sudan","Maban Airstrip (HSMB) , South Sudan",,
03-NOV-2021,Transall C-160NG,EY-360,Safe Air Company (SAC),Cargo,Accident | hull-loss,"Fire - Fire, Result - Damaged on the ground",Dolow Airport,Destroyed,Wednesday 3 November 2021,,03-NOV-2021,2 Rolls-Royce Tyne 522,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,1985,Landing (LDG),"Mogadishu Aden Adde International Airport (MGQ/HCMM) , Somalia","Dolow Airport , Somalia",,
03-NOV-2021,Antonov An-12BK,EW-518TI,Grodno Aircompany,Ferry/positioning,Accident | hull-loss,Info-Unavailable,near Irkutsk Airp...,Destroyed,Wednesday 3 November 2021,19:34,03-NOV-2021,,Fatalities: 7 / Occupants: 7,Fatalities: 2 / Occupants: 2,Fatalities: 9 / Occupants: 9,9,1968,Approach (APR),"Yakutsk Airport (YKS/UEEE) , Russia","Irkutsk Airport (IKT/UIII) , Russia",,
03-NOV-2021,Beechcraft Super King Air,,private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Info-Unavailable,western Vene...,Damaged beyond repair,Wednesday 3 November 2021,,03-NOV-2021,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,,Standing (STD),-,-,,
05-NOV-2021,Grumman G-1159A Gulfstream III,N42FL,private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Info-Unavailable,"near Victoria 3, ...",Destroyed,Friday 5 November 2021,,05-NOV-2021,,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,0,,Standing (STD),?,?,,
05-NOV-2021,Gulfstream ?,,private,Illegal Flight,"Criminal occurrence (sabotage, shoot down) | hull-loss",Info-Unavailable,western Vene...,Damaged beyond repair,Friday 5 November 2021,,05-NOV-2021,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,,Standing (STD),-,-,,
06-NOV-2021,Airbus A350-941,ET-AYB,Ethiopian Airlines,International Scheduled Passenger,Accident | repairable-damage,Result - Runway mishap,Johannesburg...,Unknown,Saturday 6 November 2021,12:57,06-NOV-2021,2 Rolls-Royce Trent XWB-84,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2020-05-07  (1 year 6 months),Landing (LDG),"Addis Ababa-Bole Airport (ADD/HAAB) , Ethiopia","Johannesburg-O.R. Tambo International Airport (JNB/FAOR) , South Africa",,
13-NOV-2021,Britten-Norman BN-2A-6 Islander,N866JA,Island Airways,Domestic Non Scheduled Passenger,Accident | hull-loss,Info-Unavailable,near Beaver Islan...,Destroyed,Saturday 13 November 2021,13:49,13-NOV-2021,,Fatalities: 1 / Occupants: 1,Fatalities: 3 / Occupants: 4,Fatalities: 4 / Occupants: 5,4,1970,Approach (APR),"Charlevoix Municipal Airport, MI (KCVX) , United States of America","Beaver Island-Welke Airport, MI , United States of America",,
14-NOV-2021,IAI 1125 Astra SP,N771DX,EMD Astra Holdings LLC,Private,Accident | repairable-damage,Result - Runway excursion,Las Vegas-No...,Substantial,Sunday 14 November 2021,13:15,14-NOV-2021,2 Honeywell TFE731-3C,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,1995,Landing (LDG),"Las Vegas-North Air Terminal, NV (VGT/KVGT) , United States of America","Las Vegas-North Air Terminal, NV (VGT/KVGT) , United States of America",,
29-NOV-2021,Boeing 747-4B5F,N705CK,Kalitta Air,Cargo,Accident | repairable-damage,Info-Unavailable,between Sant...,Substantial,Monday 29 November 2021,,29-NOV-2021,4 Pratt Whitney PW4056,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 6,0,2001-09-19  (20 years 3 months),En route (ENR),"Santiago-Arturo Merino Benitez Airport (SCL/SCEL) , Chile","Miami International Airport, FL (MIA/KMIA) , United States of America",,
01-DEC-2021,Cessna 208 Caravan I,N9602F,Lake Peninsula Airlines,Unknown,Accident | repairable-damage,Info-Unavailable,near Port Alswort...,Substantial,Wednesday 1 December 2021,ca 18:25,01-DEC-2021,,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 1,0,1985,Approach (APR),?,"Port Alsworth Airport, AK (PTA) , United States of America",,
01-DEC-2021,Cessna 510 Citation Mustang,N81CB,private,Private,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Gear-up landing, Result - Runway mishap",Lake Havasu ...,Substantial,Wednesday 1 December 2021,12:33,01-DEC-2021,2 Pratt Whitney Canada PW615F/A,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 1,0,2013,Landing (LDG),"Houston Executive Airport, TX (KTME) , United States of America","Lake Havasu City Airport, AZ (KHII) , United States of America",,
05-DEC-2021,Cessna 560XL Citation Excel,G-IPAX,Air Charter Scotland,Unknown,Accident | repairable-damage,"Collision - Object, Collision - Object - Mast/pole/wires, Result - Damaged on the ground",Kemi/Tornio ...,Substantial,Sunday 5 December 2021,12:40,05-DEC-2021,2 Pratt Whitney Canada PW545A,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,2002,Standing (STD),"Kemi/Tornio Airport (KEM/EFKE) , Finland","Edinburgh-Turnhouse Airport (EDI/EGPH) , United Kingdom",,
10-DEC-2021,Swearingen SA-226AT Merlin IV,N54GP,Castle Aviation,Cargo,Accident | hull-loss,"Airplane - Engines, Airplane - Engines - Shutdown of wrong engine",near Manchester-B...,Destroyed,Friday 10 December 2021,23:30,10-DEC-2021,,Fatalities: 1 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 1,1,1975,Approach (APR),"Caldwell Wright Airport, NJ (CDW/KCDW) , United States of America","Manchester-Boston Regional Airport, NH (MHT/KMHT) , United States of America",,
12-DEC-2021,Airbus A320-251N,N307FR,Frontier Airlines,Domestic Scheduled Passenger,Accident | repairable-damage,"Landing/takeoff - Tailstrike, Result - Runway mishap",Las Vegas-Mc...,Substantial,Sunday 12 December 2021,23:30,12-DEC-2021,2 CFMI LEAP-1A26,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2017-02-10  (4 years 10 months),Landing (LDG),"Memphis International Airport, TN (MEM/KMEM) , United States of America","Las Vegas-McCarran International Airport, NV (LAS/KLAS) , United States of America",,
15-DEC-2021,Gulfstream G-IVSP,HI1050,Helidosa Aviation Group,Executive,Accident | hull-loss,"Result - Loss of control, Result - Loss of control (presumed)",Santo Doming...,Destroyed,Wednesday 15 December 2021,c. 17:22,15-DEC-2021,2 Rolls-Royce Tay 611-8,Fatalities: 3 / Occupants: 3,Fatalities: 6 / Occupants: 6,Fatalities: 9 / Occupants: 9,9,2002,Landing (LDG),"Higuero/La Isabela-Dr. Joaquín Balaguer Airport (JBQ/MDJB) , Dominican Republic","Orlando International Airport, FL (MCO/KMCO) , United States of America",,
17-DEC-2021,Beechcraft B200 Super King Air,C-FSKO,Keewatin Air,Ambulance,Accident | repairable-damage,Result - Runway excursion,Sanikiluaq A...,Substantial,Friday 17 December 2021,06:32,17-DEC-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 4,0,1982,Landing (LDG),"Winnipeg-James Armstrong Richardson International Airport, MB (YWG/CYWG) , Canada","Sanikiluaq Airport, NU (YSK/CYSK) , Canada",,
21-DEC-2021,Cessna 208B Super Cargomaster,N1116N,Martinaire,Cargo,Accident | hull-loss,"Collision - Aircraft, Collision - Aircraft - In flight, Result - Loss of control","Fulshear, TX",Destroyed,Tuesday 21 December 2021,09:25,21-DEC-2021,1 Pratt Whitney Canada PT6A-114A,Fatalities: 1 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 1,1,1994,En route (ENR),"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH) , United States of America","Victoria Regional Airport, TX (VCT/KVCT) , United States of America",,Fatalities: 1
23-DEC-2021,Shorts 360-300,9S-GPS,Malu Aviation,Cargo,Accident | hull-loss,Info-Unavailable,near Shabunda,Destroyed,Thursday 23 December 2021,ca 09:15,23-DEC-2021,2 Pratt Whitney Canada PT6A-67R,Fatalities: 3 / Occupants: 3,Fatalities: 2 / Occupants: 2,Fatalities: 5 / Occupants: 5,5,1989-02-09  (32 years 11 months),Approach (APR),"Goma Airport (GOM/FZNA) , Democratic Republic of the Congo","Shabunda Airport (FZMW) , Democratic Republic of the Congo",,
25-DEC-2021,Airbus A330-343,C-GFAF,Air Canada,Domestic Scheduled Passenger,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Tire failure, Result - Runway mishap",Montreal-Pie...,Substantial,Saturday 25 December 2021,16:37 UTC,25-DEC-2021,2 Rolls-Royce Trent 772B-60,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 81,0,1999-06-07  (22 years 7 months),Landing (LDG),"Fort Lauderdale-Executive Airport, FL (FXE/KFXE) , United States of America","Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL) , Canada",,
27-DEC-2021,Learjet 35A,N880Z,Aeromedevac Air Ambulance,Ferry/positioning,Accident | hull-loss,"Result - Loss of control, Result - Loss of control (presumed)","El Cajon, Sa...",Destroyed,Monday 27 December 2021,19:14,27-DEC-2021,,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4,4,1985,Approach (APR),"Santa Ana-John Wayne International Airport, CA (SNA/KSNA) , United States of America","San Diego-Gillespie Field, CA (SEE/KSEE) , United States of America",,
28-DEC-2021,Cessna 208B Grand Caravan,Z-HAC,Halsted Aviation Corporation,Unknown,Accident | hull-loss,Result - Runway excursion,Bazaruto Isl...,Damaged beyond repair,Tuesday 28 December 2021,,28-DEC-2021,1 Pratt Whitney Canada PT6A-114A,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,1996,Landing (LDG),?,"Bazaruto Island Airport (BZB) , Mozambique",,
28-DEC-2021,Beechcraft A100 King Air,N93GT,Sky-Bound Aviation LLC,Private,Accident | repairable-damage,"Landing/takeoff - Landing, Landing/takeoff - Landing - Heavy, Result - Runway mishap",Helena-Thomp...,Substantial,Tuesday 28 December 2021,11:53,28-DEC-2021,2 Pratt Whitney Canada PT6A-60A,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,0,1974,Landing (LDG),"Helena-Thompson-Robbins Airport, AR (HEE) , United States of America","Camilla Mitchell County Airport, GA (KCXU) , United States of America",,
30-DEC-2021,Beechcraft 300 Super King Air,TG-MAM,Unknown,Private,Accident | hull-loss,Result - Runway excursion,Rio Dulce-La...,Damaged beyond repair,Thursday 30 December 2021,ca 17:00,30-DEC-2021,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,0,1987,Landing (LDG),"Guatemala City-La Aurora Airport (GUA/MGGT) , Guatemala","Rio Dulce-Las Vegas Airport (LCF/MGRD) , Guatemala",,
31-DEC-2021,IRMA/Pilatus Britten-Norman BN-2T Islander,,Royal Moroccan Gendarmerie,Military,Accident | repairable-damage,Info-Unavailable,near N'Tireft,Unknown,Friday 31 December 2021,,31-DEC-2021,,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,0,,Unknown (UNK),?,?,,
02-JAN-2020,Antonov An-12A,-,Sudan AF,Military,Accident | hull-loss,Info-Unavailable,near Geneina Airp...,Damaged beyond repair,Thursday 2 January 2020,,02-JAN-2020,,Fatalities: 7 / Occupants: 7,Fatalities: 11 / Occupants: 11,Fatalities: 18 / Occupants: 18,18,1962,Unknown (UNK),"Geneina Airport (EGN/HSCN) , Sudan","Khartoum-Civil Airport (KRT/HSSS) , Sudan",,
03-JAN-2020,Harbin Yunshuji Y-12 II,SCL-857,Sri Lanka AF,Military,Accident | hull-loss,Info-Unavailable,near Haputale,Damaged beyond repair,Friday 3 January 2020,09:15,03-JAN-2020,,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4,4,1990,En route (ENR),"Wirawila Airport (WRZ/VCCW) , Sri Lanka","Colombo-Ratmalana Airport (RML/VCCC) , Sri Lanka",,
03-JAN-2020,Hawker 900XP,N805D,Million Air San Juan,Unknown,Accident | hull-loss,"Landing/takeoff - Landing, Landing/takeoff - Landing - Heavy, Result - Undershoot / overshoot",San Juan-Fer...,Substantial,Friday 3 January 2020,10:40,03-JAN-2020,2 Honeywell TFE731-50R,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 5,0,2009,Landing (LDG),"La Romana-Casa de Campo International Airport (LRM/MDLR) , Dominican Republic","San Juan-Fernando Luis Ribas Dominicci Airport (SIG/TJIG) , Puerto Rico",,
