Incident_Date,Aircaft_Model,Aircaft_Registration,Aircaft_Operator,Aircaft_Nature,Incident_Category,Incident_Cause(es),Incident_Location,Aircaft_Damage_Type,Date,Time,Arit,Aircaft_Engines,Onboard_Crew,Onboard_Passengers,Onboard_Total,Fatalities,Aircaft_First_Flight,Aircraft_Phase,Departure_Airport,Destination_Airport,Ground_Casualties,Collision_Casualties
14-JAN-2019,Boeing 707-3J9C,EP-CPP,"Iran AF, op.for Saha Air",Military,Accident | hull-loss,Info-Unavailable,Fat'h Airport,Destroyed,Monday 14 January 2019,ca 08:30,14-JAN-2019,4 Pratt Whitney JT3D-3B,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities: 15 / Occupants: 16,15,1976,Landing (LDG),"Bishkek-Manas International Airport (FRU/UCFM) , Kyrgyzstan","Payam International Airport (PYK/OIIP) , Iran",,
16-JAN-2019,Cessna 208B Grand Caravan,8R-YAC,ASL,Domestic Scheduled Passenger,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Landing gear collapse, Result - Damaged on the ground",Georgetown-O...,Substantial,Wednesday 16 January 2019,ca 13:00,16-JAN-2019,1 Pratt Whitney Canada PT6A-114A,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,1997,Standing (STD),"Georgetown-Ogle International Airport (OGL/SYGO) , Guyana","Imbaimadai Airport (IMB/SYIB) , Guyana",,
21-JAN-2019,Aero Modifications AMI DC-3-65TP,N467KS,Priority Air Charter,Ferry/positioning,Accident | hull-loss,"Airplane - Engines, Result - Loss of control",near Kidron-Stolt...,Substantial,Monday 21 January 2019,09:12,21-JAN-2019,2 Pratt Whitney Canada PT6A-65AR,Fatalities: 2 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 2,2,1944,Initial climb (ICL),"Kidron-Stoltzfus Airfield, OH , United States of America","Akron/Canton Regional Airport, OH (CAK/KCAK) , United States of America",,
21-JAN-2019,Boeing 737-330 (QC),9S-AHJ,Serve Air,Cargo,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Landing gear collapse, Result - Runway mishap",Kinshasa-N'D...,Substantial,Monday 21 January 2019,,21-JAN-2019,2 CFMI CFM56-3B1,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,1989-02-06  (30 years),Landing (LDG),"Goma Airport (GOM/FZNA) , Democratic Republic of the Congo","Kinshasa-N'Djili Airport (FIH/FZAA) , Democratic Republic of the Congo",,
22-JAN-2019,Boeing 737-8LJ (WL),VP-BRR,Aeroflot,Domestic Scheduled Passenger,Hijacking | repairable-damage,"Result - Hijacking - Plane stormed, Security - Hijack",Khanty-Mansi...,None,Tuesday 22 January 2019,,22-JAN-2019,2 CFMI CFM56-7B26E,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 69,Fatalities: 0 / Occupants: 76,0,2013-11-21  (5 years 2 months),En route (ENR),"Surgut Airport (SGC/USRR) , Russia","Moskva-Sheremetyevo Airport (SVO/UUEE) , Russia",,
23-JAN-2019,de Havilland Canada DHC-8-102 Dash 8,C-GTCO,Air Creebec,Domestic Scheduled Passenger,Accident | repairable-damage,Result - Runway excursion,Rouyn Airpor...,Substantial,Wednesday 23 January 2019,21:34,23-JAN-2019,2 Pratt Whitney Canada PW120A,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 9,0,1988-09-30  (30 years 4 months),Takeoff (TOF),"Rouyn Airport, QC (YUY/CYUY) , Canada","Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL) , Canada",,
26-JAN-2019,Airbus A321-231,TC-OEB,Onur Air,-,"other occurrence (ground fire, sabotage) | hull-loss","External factors - Wind, hail, Result - Damaged on the ground",Antalya Airp...,Substantial,Saturday 26 January 2019,ca. 11:00,26-JAN-2019,2 IAE V2533-A5,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 0,0,1999-02-18  (20 years),Standing (STD),-,"Antalya Airport (AYT/LTAI) , Turkey",,
28-JAN-2019,ATR 72-212A (ATR 72-500),EC-LYJ,"Air Europa, opb Swiftair",Domestic Scheduled Passenger,Accident | repairable-damage,Result - Runway excursion,Palma de Mal...,Substantial,Monday 28 January 2019,17:25,28-JAN-2019,2 Pratt Whitney Canada PW127F,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 61,Fatalities: 0 / Occupants: 65,0,1996-01-19  (23 years ),Landing (LDG),"Valencia Airport (VLC/LEVC) , Spain","Palma de Mallorca Airport (PMI/LEPA) , Spain",,
28-JAN-2019,Boeing 727-2B6F Adv.,N720CK,Kalitta Charters,Cargo,Accident | repairable-damage,"Airplane - Undercarriage, Airplane - Undercarriage - Gear-up landing, Result - Runway mishap",Tuscaloosa R...,Substantial,Monday 28 January 2019,20:08,28-JAN-2019,3 Pratt Whitney JT8D-15,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 4,0,1977,Landing (LDG),"Laredo International Airport, TX (LRD/KLRD) , United States of America","Tuscaloosa Regional Airport, AL (TCL/KTCL) , United States of America",,
29-JAN-2019,Beechcraft B200 King Air,N13LY,Guardian Flight,Ambulance,Accident | hull-loss,Result - Loss of control,"near Kake, AK",Destroyed,Tuesday 29 January 2019,18:11,29-JAN-2019,2 Pratt Whitney Canada PT6A-52,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3,3,2000,En route (ENR),"Anchorage-Ted Stevens International Airport, AK (ANC/PANC) , United States of America","Kake Airport, AK (PAFE) , United States of America",,
