Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,9',0:1,Right-footed shot,Kingsley Coman
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,75',4:2,Right-footed shot,Not Applicable
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,46',1:1,Left-footed shot,Eric Maxim Choupo-Moting
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,82',3:1,Header,Niklas Süle
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,12',1:0,Penalty,Not Applicable
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,21',2:0,Penalty,Not Applicable
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,23',3:0,Right-footed shot,Not Applicable
Bundesliga ,26,3/12/22,Away,Bayern Munich,TSG 1899 Hoffenheim,1:1,CF,45'+3,1:1,Header,Joshua Kimmich
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,45'+1,3:0,Penalty,Not Applicable
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,47',4:0,Left-footed shot,Jamal Musiala
Bundesliga ,29,4/9/22,Home,Bayern Munich,FC Augsburg,1:0,CF,82',1:0,Penalty,Not Applicable
Champions League ,Quarter-Finals,4/12/22,Home,Bayern Munich,Villarreal CF,1:1,CF,52',1:0,Right-footed shot,Thomas Müller
Bundesliga ,31,4/23/22,Home,Bayern Munich,Borussia Dortmund,3:1,CF,34',2:0,Left-footed shot,Thomas Müller
Bundesliga ,32,4/30/22,Away,Bayern Munich,1.FSV Mainz 05,3:1,CF,33',2:1,Left-footed shot,Eric Maxim Choupo-Moting
Bundesliga ,34,5/14/22,Away,Bayern Munich,VfL Wolfsburg,2:2,CF,40',0:2,Header,Thomas Müller
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,1',0:1,Counter attack goal,Alejandro Balde
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,68',1:3,Right-footed shot,Ansu Fati
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,24',1:0,Left-footed shot,Raphinha
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,64',3:0,Not Applicable,Ousmane Dembélé
LaLiga ,4,9/3/22,Away,FC Barcelona,Sevilla FC,0:3,CF,36',0:2,Right-footed shot,Jules Koundé
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,34',2:0,Right-footed shot,Sergi Roberto
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,45'+3,3:1,Header,Ousmane Dembélé
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,67',4:1,Right-footed shot,Ferran Torres
LaLiga ,5,9/10/22,Away,FC Barcelona,Cádiz CF,0:4,CF,65',0:2,Tap-in,Not Applicable
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,34',1:0,Not Applicable,Alejandro Balde
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,48',3:0,Not Applicable,Not Applicable
LaLiga ,7,10/1/22,Away,FC Barcelona,RCD Mallorca,0:1,CF,20',0:1,Right-footed shot,Ansu Fati
Champions League ,Group Stage,10/12/22,Home,FC Barcelona,Inter Milan,3:3,CF,82',2:2,Left-footed shot,Not Applicable
Champions League ,Group Stage,10/12/22,Home,FC Barcelona,Inter Milan,3:3,CF,90'+2,3:3,Header,Eric García
LaLiga ,10,10/20/22,Home,FC Barcelona,Villarreal CF,3:0,CF,31',1:0,Right-footed shot,Jordi Alba
LaLiga ,10,10/20/22,Home,FC Barcelona,Villarreal CF,3:0,CF,35',2:0,Counter attack goal,Gavi
LaLiga ,11,10/23/22,Home,FC Barcelona,Athletic Bilbao,4:0,CF,22',3:0,Left-footed shot,Ousmane Dembélé
LaLiga ,12,10/29/22,Away,FC Barcelona,Valencia CF,0:1,CF,90'+3,0:1,Right-footed shot,Raphinha
