time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-15T18:54:09.380Z,5.6191,126.2464,118.62,4.4,mb,,98,1.586,1.01,us,us2000cjq8,2018-02-01T20:02:53.040Z,"74km ESE of Caburan, Philippines",earthquake,8.6,5.4,0.079,46,reviewed,us,us
2018-01-15T16:11:09.870Z,-5.5803,110.4001,531.41,4.4,mb,,37,1.459,0.65,us,us2000cjp7,2018-01-30T14:13:10.040Z,"105km NNW of Batang, Indonesia",earthquake,6.7,7.1,0.069,61,reviewed,us,us
2018-01-15T14:14:59.790Z,-9.6745,107.5209,10,4.6,mb,,92,2.007,0.42,us,us2000cjnw,2018-01-29T16:33:29.040Z,"218km ENE of Flying Fish Cove, Christmas Island",earthquake,4.6,1.9,0.104,28,reviewed,us,us
2018-01-15T06:31:50.920Z,0.4389,123.6688,237.71,5.3,mww,,30,1.722,0.97,us,us2000cjmg,2018-02-01T14:35:27.040Z,"35km W of Molibagu, Indonesia",earthquake,7.5,5.2,0.054,33,reviewed,us,us
2018-01-14T21:44:47.070Z,1.709,126.0494,87.58,4.6,mb,,81,1.612,0.61,us,us2000cjka,2018-01-15T04:56:41.590Z,"100km ENE of Bitung, Indonesia",earthquake,5,7.4,0.086,40,reviewed,us,us
2018-01-14T04:53:58.980Z,-3.5722,101.6537,49.22,4.6,mb,,176,3.112,0.78,us,us2000cjf6,2018-02-01T23:32:10.040Z,"72km WNW of Bengkulu, Indonesia",earthquake,9.7,5.9,0.083,43,reviewed,us,us
2018-01-13T07:11:27.200Z,-4.9212,102.9261,57.68,4.7,mb,,93,2.674,0.61,us,us2000cj8r,2018-02-01T12:30:20.040Z,"93km W of Kuripan, Indonesia",earthquake,5.8,7.4,0.081,46,reviewed,us,us
2018-01-13T05:38:09.570Z,-2.7556,126.8614,10,4.3,mb,,66,3.54,0.74,us,us2000cj8g,2018-02-01T12:25:06.040Z,"59km NE of Airbuaya, Indonesia",earthquake,6.3,1.6,0.126,18,reviewed,us,us
2018-01-12T21:49:04.550Z,-10.0341,122.8739,87.64,4.9,mb,,42,1.4,0.89,us,us2000cj3z,2018-01-15T06:08:07.040Z,"79km W of Kupang, Indonesia",earthquake,2.5,6.5,0.064,76,reviewed,us,us
2018-01-12T06:40:46.580Z,5.9353,126.6397,97.12,4.4,mb,,112,1.543,0.63,us,us2000cprc,2018-01-31T12:30:28.040Z,"69km SE of Pondaguitan, Philippines",earthquake,10.6,6.3,0.096,31,reviewed,us,us
2018-01-12T01:49:07.920Z,1.7672,126.4043,30.43,4.6,mb,,67,1.379,0.64,us,us2000cipm,2018-01-31T03:41:48.040Z,"140km ENE of Bitung, Indonesia",earthquake,7.9,4.7,0.088,39,reviewed,us,us
2018-01-11T11:36:20.150Z,3.812,126.6228,43.04,4.3,mb,,136,3.11,0.88,us,us2000cpai,2018-02-06T13:58:14.040Z,"217km SE of Sarangani, Philippines",earthquake,11.2,12.2,0.137,15,reviewed,us,us
2018-01-11T02:19:43.290Z,-5.198,126.9673,151.17,4.6,mb,,168,5.115,0.51,us,us2000ci1t,2018-01-11T02:43:48.040Z,"164km SSE of Leksula, Indonesia",earthquake,9.7,33.7,0.244,5,reviewed,us,us
2018-01-11T02:03:45.230Z,-9.6738,121.5495,82.58,4.5,mb,,84,1.235,0.9,us,us2000ci1m,2018-01-11T02:21:18.040Z,"88km SSE of Bengga, Indonesia",earthquake,8.7,9,0.118,21,reviewed,us,us
2018-01-10T20:53:38.330Z,1.1877,98.8931,95.23,4.1,mb,,147,1.322,0.6,us,us2000ck4r,2018-01-30T17:24:17.040Z,"46km WSW of Padangsidempuan, Indonesia",earthquake,3.9,10.7,0.131,16,reviewed,us,us
2018-01-10T18:06:26.360Z,-7.9103,117.4043,45.79,4.5,mb,,77,3.267,1.3,us,us1000c375,2018-01-30T20:41:10.040Z,"47km WNW of Labuhankananga, Indonesia",earthquake,8,8.8,0.099,30,reviewed,us,us
2018-01-10T13:13:01.600Z,-8.6917,109.1027,24.68,4.4,mb,,76,1.604,0.82,us,us2000cnvn,2018-01-31T08:43:07.040Z,"109km S of Karangbadar Kidul, Indonesia",earthquake,8.3,5.3,0.12,20,reviewed,us,us
2018-01-10T11:40:54.580Z,2.3654,126.9655,50.45,4.8,mb,,105,1.633,0.55,us,us1000c33m,2018-02-08T09:28:22.040Z,"135km WNW of Tobelo, Indonesia",earthquake,3.8,8.4,0.069,64,reviewed,us,us
2018-01-09T15:58:43.820Z,0.0794,126.0149,49.79,4.4,mb,,88,1.516,1.17,us,us2000cn7e,2018-01-24T19:34:11.040Z,"169km WSW of Kota Ternate, Indonesia",earthquake,8.9,7.4,0.12,20,reviewed,us,us
2018-01-09T14:12:24.690Z,4.2299,127.3883,32.12,4.3,mb,,91,3.435,0.61,us,us2000cn7c,2018-01-24T19:20:29.040Z,"249km ESE of Sarangani, Philippines",earthquake,8.2,6.8,0.134,16,reviewed,us,us
2018-01-08T15:51:06.220Z,2.5258,95.796,27.29,4.4,mb,,181,2.153,0.75,us,us1000c214,2018-01-24T17:13:51.040Z,"65km W of Sinabang, Indonesia",earthquake,9.7,6.6,0.09,36,reviewed,us,us
2018-01-08T14:09:47.850Z,2.681,126.727,35.74,5,mb,,76,2.001,0.82,us,us1000c20j,2018-01-24T15:44:26.040Z,"177km NW of Tobelo, Indonesia",earthquake,5.6,6.2,0.055,107,reviewed,us,us
2018-01-08T08:09:27.080Z,0.464,121.3441,86.23,4.3,mb,,103,0.854,0.4,us,us2000cmze,2018-01-31T06:49:53.040Z,"26km WSW of Lemito, Indonesia",earthquake,4.3,8.5,0.126,18,reviewed,us,us
2018-01-08T07:42:41.010Z,6.7739,127.1264,46.08,4.5,mb,,112,1.564,0.5,us,us2000cmzd,2018-01-31T06:36:26.040Z,"80km ESE of San Ignacio, Philippines",earthquake,12,8.9,0.094,33,reviewed,us,us
2018-01-07T11:15:50.460Z,4.2577,126.8796,43.26,4.4,mb,,168,3.078,1.05,us,us2000cl9v,2018-02-10T06:59:35.040Z,"201km SE of Sarangani, Philippines",earthquake,8.3,7.8,0.12,20,reviewed,us,us
2018-01-07T10:54:05.220Z,6.945,127.6972,10,4.4,mb,,131,2.106,0.75,us,us1000c1qj,2018-02-10T06:55:51.040Z,"129km ESE of Santiago, Philippines",earthquake,7.9,1.8,0.109,24,reviewed,us,us
2018-01-07T05:33:35.420Z,6.8637,127.6076,10,4.2,mb,,147,2.024,0.63,us,us2000cl9p,2018-02-04T12:16:13.040Z,"123km ESE of Santiago, Philippines",earthquake,9.7,2,0.112,22,reviewed,us,us
2018-01-07T05:16:00.890Z,6.7523,127.8341,10,4.3,mb,,149,2.26,0.46,us,us2000cl9f,2018-02-04T11:40:13.040Z,"151km ESE of Manay, Philippines",earthquake,9.9,1.9,0.128,17,reviewed,us,us
2018-01-07T04:14:06.610Z,6.8525,127.5191,10,4.4,mb,,139,1.937,1.29,us,us2000cl9d,2018-02-01T23:21:08.040Z,"115km ESE of Manay, Philippines",earthquake,10.9,1.9,0.127,18,reviewed,us,us
2018-01-07T02:39:20.560Z,6.9193,127.3398,10,4.4,mb,,107,1.754,1.04,us,us1000c1m2,2018-02-10T03:03:15.040Z,"94km ESE of Manay, Philippines",earthquake,6.2,1.7,0.089,37,reviewed,us,us
2018-01-07T02:26:24.970Z,6.9099,127.567,10,4.3,mb,,229,1.979,0.84,us,us2000cl9k,2018-02-03T03:37:14.040Z,"117km ESE of Santiago, Philippines",earthquake,12.6,2,0.189,8,reviewed,us,us
2018-01-07T02:21:51.740Z,6.9302,127.481,38.38,4.8,mb,,100,1.893,0.66,us,us2000cl97,2018-02-10T04:03:02.040Z,"107km ESE of Santiago, Philippines",earthquake,8.2,7.1,0.079,49,reviewed,us,us
2018-01-06T20:07:48.010Z,4.2303,126.7129,40.41,4.2,mb,,114,3.038,0.84,us,us2000cl7i,2018-01-21T04:04:21.040Z,"189km SE of Sarangani, Philippines",earthquake,8.6,9.2,0.105,25,reviewed,us,us
2018-01-06T18:35:09.240Z,4.1849,126.6877,28.62,5.1,mb,,87,3.07,0.93,us,us1000c1hr,2018-02-07T21:04:53.040Z,"191km SE of Sarangani, Philippines",earthquake,7.2,4.5,0.047,143,reviewed,us,us
2018-01-06T18:01:45.500Z,4.2951,126.7138,17.54,4.4,mb,,122,3.56,1.03,us,us2000cl7g,2018-02-07T20:44:55.040Z,"185km SE of Sarangani, Philippines",earthquake,10,6,0.12,20,reviewed,us,us
2018-01-06T15:39:43.690Z,0.8828,125.3597,75.67,5,mb,,28,2.009,1.3,us,us1000c1fn,2018-02-04T18:15:48.954Z,"65km SSE of Bitung, Indonesia",earthquake,7.5,5.8,0.06,89,reviewed,us,us
2018-01-06T14:06:13.200Z,4.3937,126.8816,34.21,4.4,mb,,140,3.63,1.3,us,us2000cl7s,2018-02-04T16:06:35.040Z,"192km SE of Sarangani, Philippines",earthquake,11.7,7.9,0.117,21,reviewed,us,us
2018-01-06T13:52:54.560Z,4.1491,126.7053,47.43,4.9,mb,,96,3.11,1.12,us,us1000c1ey,2018-02-04T15:44:40.040Z,"195km SE of Sarangani, Philippines",earthquake,6.2,6.1,0.065,74,reviewed,us,us
2018-01-06T10:26:39.180Z,0.3687,98.6231,50.62,4.9,mb,,115,1.4,0.69,us,us1000c1ee,2018-02-03T09:15:34.040Z,"131km SSW of Padangsidempuan, Indonesia",earthquake,7.3,7,0.059,90,reviewed,us,us
2018-01-05T18:23:41.900Z,-7.6668,127.9052,115.39,4,mb,,143,3.377,1.2,us,us2000cl58,2018-02-07T22:15:04.040Z,"275km ENE of Dili, East Timor",earthquake,6.1,33.6,0.518,1,reviewed,us,us
2018-01-05T07:56:02.590Z,6.4947,126.7141,110.68,4.6,mb,,108,1.263,0.61,us,us1000c115,2018-01-24T09:17:40.040Z,"59km SE of Bobon, Philippines",earthquake,10,7.4,0.085,41,reviewed,us,us
2018-01-05T00:40:33.140Z,5.9504,117.7198,10,4.3,mb,,324,5.695,0.5,us,us2000cl4j,2018-02-10T03:31:59.040Z,"45km WNW of Sandakan, Malaysia",earthquake,21.2,2,0.16,11,reviewed,us,us
2018-01-05T00:37:32.910Z,4.2248,127.553,10,4.4,mb,,84,3.435,1.22,us,us2000cl4k,2018-02-10T03:40:02.040Z,"265km ESE of Sarangani, Philippines",earthquake,5.6,1.9,0.123,19,reviewed,us,us
2018-01-04T19:57:33.330Z,6.7749,95.2613,214.8,4.7,mb,,119,2.273,1.08,us,us1000c0ta,2018-01-22T17:40:54.040Z,"97km N of Sabang, Indonesia",earthquake,8.6,7.7,0.078,50,reviewed,us,us
2018-01-04T16:45:32.130Z,3.6677,126.6369,46.1,4.4,mb,,74,2.967,1.12,us,us2000cksk,2018-02-03T17:05:32.040Z,"231km SE of Sarangani, Philippines",earthquake,8.9,8.1,0.089,36,reviewed,us,us
