Entity,Code,Day,Omicron_percentage
Sweden,SWE,2021-11-01,0
Sweden,SWE,2021-11-15,0
Sweden,SWE,2021-11-29,0.12
Sweden,SWE,2021-12-13,5.46
Sweden,SWE,2021-12-27,35.03
Switzerland,CHE,2021-09-20,0
Switzerland,CHE,2021-10-04,0
Switzerland,CHE,2021-10-18,0
Switzerland,CHE,2021-11-01,0
Switzerland,CHE,2021-11-15,0
Switzerland,CHE,2021-11-29,0.37
Switzerland,CHE,2021-12-13,5.07
Switzerland,CHE,2021-12-27,38.65
Thailand,THA,2021-09-20,0
Thailand,THA,2021-10-04,0
Thailand,THA,2021-10-18,0
Thailand,THA,2021-11-01,0
Thailand,THA,2021-11-15,0
Thailand,THA,2021-11-29,0.39
Thailand,THA,2021-12-13,2.17
Trinidad and Tobago,TTO,2021-09-20,0
Trinidad and Tobago,TTO,2021-10-04,0
Trinidad and Tobago,TTO,2021-10-18,0
Trinidad and Tobago,TTO,2021-11-01,0
Trinidad and Tobago,TTO,2021-11-15,0
Trinidad and Tobago,TTO,2021-11-29,0
Trinidad and Tobago,TTO,2021-12-13,1.9
Trinidad and Tobago,TTO,2021-12-27,22.86
Turkey,TUR,2021-09-20,0
Turkey,TUR,2021-10-04,0
Turkey,TUR,2021-10-18,0
Turkey,TUR,2021-11-01,0
Turkey,TUR,2021-11-15,0
Turkey,TUR,2021-11-29,0
Turkey,TUR,2021-12-13,0.11
Turkey,TUR,2021-12-27,9.62
Ukraine,UKR,2021-09-20,0
Ukraine,UKR,2021-11-01,0
Ukraine,UKR,2021-11-29,0
United Kingdom,GBR,2021-09-20,0
United Kingdom,GBR,2021-10-04,0
United Kingdom,GBR,2021-10-18,0
United Kingdom,GBR,2021-11-01,0
United Kingdom,GBR,2021-11-15,0
United Kingdom,GBR,2021-11-29,0.16
United Kingdom,GBR,2021-12-13,9.39
United Kingdom,GBR,2021-12-27,65.57
United Kingdom,GBR,2022-01-05,95.91
United States,USA,2021-09-20,0
United States,USA,2021-10-04,0
United States,USA,2021-10-18,0
United States,USA,2021-11-01,0
United States,USA,2021-11-15,0
United States,USA,2021-11-29,0.06
United States,USA,2021-12-13,3.68
United States,USA,2021-12-27,50.13
United States,USA,2022-01-05,80
Vietnam,VNM,2021-09-20,0
Vietnam,VNM,2021-10-04,0
Vietnam,VNM,2021-10-18,0
Vietnam,VNM,2021-11-01,0
Vietnam,VNM,2021-11-15,0
Vietnam,VNM,2021-11-29,0
Vietnam,VNM,2021-12-13,0
Vietnam,VNM,2021-12-27,2
Zambia,ZMB,2021-12-13,100
